,Loews_male,Loews_female,tuple,Corporation_male,Corporation_female,average_male,average_female,female-male
75,2.3561034,2.5714521,"('confident', 'shy')",5.620344,5.8767157,3.9882237911224365,4.22408390045166,0.23586010932922363
71,2.173268,2.228875,"('efficient', 'inefficient')",-0.59112847,-0.9200628,0.7910698056221008,0.6544060707092285,-0.13666373491287231
2,2.0873342,2.4071898,"('friendly', 'unfriendly')",-0.94003,-0.88627857,0.5736520886421204,0.7604556083679199,0.18680351972579956
107,2.0828204,2.138147,"('conventional', 'modern')",0.28736287,0.2149904,1.1850916147232056,1.1765687465667725,-0.008522868156433105
94,1.9923395,2.280869,"('aggressive', 'submissive')",0.3689345,0.21789002,1.180637001991272,1.2493795156478882,0.06874251365661621
99,-1.9436502,-2.2318952,"('prestigious', 'insignificant')",-0.61836255,-0.37589818,-1.2810063362121582,-1.3038966655731201,-0.022890329360961914
15,1.9047523,2.0810797,"('polite', 'impolite')",0.26644337,0.3272746,1.0855977535247803,1.2041771411895752,0.11857938766479492
64,1.8731201,1.8789998,"('clever', 'incompetent')",-1.1086632,-1.2098726,0.38222843408584595,0.33456361293792725,-0.0476648211479187
41,-1.677259,-1.9367882,"('incorrupt', 'corrupt')",1.9514761,2.1986237,0.13710856437683105,0.1309177279472351,-0.006190836429595947
5,1.6388024,1.6954836,"('pleasant', 'repellent')",-0.555156,-0.7123134,0.5418232083320618,0.4915850758552551,-0.05023813247680664
55,1.6378353,1.5914123,"('intelligent', 'unintelligent')",-1.5108752,-1.3606179,0.06348001956939697,0.11539721488952637,0.051917195320129395
81,-1.6254678,-1.9249117,"('industrious', 'lazy')",1.718256,1.8037875,0.04639410972595215,-0.0605621337890625,-0.10695624351501465
12,1.5257424,1.6695118,"('sympathetic', 'unsympathetic')",-0.9940553,-1.0356003,0.26584357023239136,0.3169557452201843,0.05111217498779297
52,1.500718,1.7204344,"('competitive', 'uncompetitive')",-1.0682502,-1.0933753,0.21623390913009644,0.3135295510292053,0.09729564189910889
82,-1.4396458,-1.4655478,"('industrious', 'meek')",0.89994884,1.1310387,-0.26984846591949463,-0.16725456714630127,0.10259389877319336
25,1.4093459,1.4480957,"('moral', 'immoral')",-0.94255114,-1.1502492,0.23339736461639404,0.14892321825027466,-0.08447414636611938
90,1.3363751,1.391677,"('motivated', 'unmotivated')",1.070176,0.9148468,1.2032755613327026,1.1532618999481201,-0.05001366138458252
76,1.3119321,1.5375386,"('secure', 'insecure')",0.30157578,0.15532562,0.806753933429718,0.8464321494102478,0.039678215980529785
98,-1.2915937,-1.5050855,"('prestigious', 'insignificant')",-0.3029409,-0.15973781,-0.7972673177719116,-0.8324116468429565,-0.03514432907104492
0,1.2779016,1.1620283,"('sociable', 'unsociable')",-0.8480689,-0.57440233,0.2149163782596588,0.29381299018859863,0.07889661192893982
32,-1.2623668,-1.3481464,"('benevolent', 'hardhearted')",-2.232848,-1.9178953,-1.7476073503494263,-1.6330208778381348,0.1145864725112915
104,-1.2314808,-1.2690179,"('conventional', 'unconventional')",-0.12385588,0.25472596,-0.6776683330535889,-0.5071460008621216,0.17052233219146729
