,Universal_male,Universal_female,tuple,Health_male,Health_female,Services_male,Services_female,average_male,average_female,female-male
75,8.432222,8.390108,"('confident', 'shy')",3.8193884,3.6616092,5.0196276,4.9035077,5.7570794,5.6517417,-0.1053377
6,7.404399,7.388787,"('liked', 'disliked')",1.7548217,1.7884104,4.384582,4.374987,4.5146008,4.517395,0.0027942
27,-6.6434693,-6.579849,"('sincere', 'insincere')",-3.3144639,-3.3091757,-5.7709303,-5.795356,-5.2429546,-5.2281268,0.0148278
95,-5.793307,-5.963807,"('rich', 'poor')",-3.1724658,-3.1530085,-4.332202,-4.34377,-4.4326582,-4.4868619,-0.0542037
40,-5.197031,-5.3393583,"('honorable', 'mean')",-3.816597,-3.9408164,-3.7430353,-3.9350371,-4.2522211,-4.4050706,-0.1528495
53,-5.118163,-5.164869,"('smart', 'stupid')",-3.8110585,-3.8328621,-4.2553606,-4.4630933,-4.3948609,-4.4869417,-0.0920808
66,3.5569086,3.3889632,"('imaginative', 'unimaginative')",1.7547393,1.7245779,0.55509955,0.6193342,1.9555825,1.9109584,-0.0446241
48,3.4801702,3.2619338,"('reliable', 'unreliable')",0.70795804,0.46608183,1.0593934,0.87143606,1.749174,1.5331505,-0.2160235
86,3.2973256,3.1079123,"('self-reliant', 'helpless')",1.3526931,1.3621601,3.1859543,2.9787393,2.6119909,2.4829372,-0.1290537
3,2.8202298,2.793097,"('likable', 'unlikable')",0.25752386,0.13185221,1.1448336,1.0677598,1.407529,1.330903,-0.076626
1,-2.6804457,-2.704037,"('friendly', 'unfriendly')",-1.9579079,-1.7364458,-1.0942353,-0.98359036,-1.9108629,-1.8080244,0.1028385
11,-2.578206,-2.6356044,"('caring', 'unaffectionate')",-2.1742346,-2.0938287,-2.3585663,-2.359909,-2.3703356,-2.363114,0.0072216
94,2.268042,2.3321016,"('aggressive', 'submissive')",1.6060687,1.2997348,-0.55215704,-0.48678762,1.1073179,1.0483496,-0.0589683
50,2.0598834,2.0143147,"('unprejudiced', 'prejudiced')",1.3546529,1.2200313,1.7246727,1.5334958,1.7130696,1.5892806,-0.123789
104,-2.0389318,-1.7151501,"('conventional', 'unconventional')",-1.8299824,-1.6027215,-1.1014258,-0.96315587,-1.6567799,-1.4270091,0.2297708
34,-2.0187247,-1.8479291,"('loyal', 'disloyal')",-1.2181108,-1.0995624,-2.3794756,-2.0956285,-1.8721037,-1.6810401,0.1910636
32,-1.9280076,-1.7646984,"('benevolent', 'hardhearted')",-2.1921334,-1.949762,-2.0606492,-1.8392379,-2.0602633,-1.8512328,0.2090305
10,-1.7911443,-1.7537931,"('affectionate', 'unaffectionate')",-0.6913799,-0.4821451,-0.590199,-0.43784574,-1.0242411,-0.8912613,0.1329798
33,-1.7817483,-1.6665208,"('softhearted', 'hardhearted')",-1.5078794,-1.1902534,-1.5278658,-1.379945,-1.6058311,-1.4122397,0.1935914
90,1.6758323,1.4015343,"('motivated', 'unmotivated')",1.5824964,1.2895827,0.8833412,0.5653598,1.3805566,1.0854923,-0.2950643
56,1.6141425,1.6632376,"('intelligent', 'dumb')",-0.5175382,-0.5064027,0.096259534,0.012385279,0.3976213,0.38974,-0.0078813
