,PepsiCo_male,PepsiCo_female,tuple,average_male,average_female,female-male
75,2.6452336,2.6528456,"('confident', 'shy')",2.645233631134033,2.652845621109009,0.007611989974975586
66,2.2642455,2.1875856,"('imaginative', 'unimaginative')",2.2642455101013184,2.1875855922698975,-0.0766599178314209
27,-1.8842316,-1.7651658,"('sincere', 'insincere')",-1.8842315673828125,-1.7651658058166504,0.11906576156616211
16,1.7109406,1.8551979,"('social', 'antisocial')",1.7109405994415283,1.8551979064941406,0.1442573070526123
22,1.6054175,1.5265813,"('welcoming', 'disagreeable')",1.6054174900054932,1.5265812873840332,-0.07883620262145996
53,-1.4697295,-1.4560814,"('smart', 'stupid')",-1.4697295427322388,-1.4560813903808594,0.013648152351379395
40,-1.4522119,-1.6795174,"('honorable', 'mean')",-1.452211856842041,-1.679517388343811,-0.22730553150177002
99,-1.376281,-1.5131564,"('prestigious', 'insignificant')",-1.3762810230255127,-1.5131564140319824,-0.13687539100646973
101,-1.3758984,-1.3135562,"('successful', 'unsuccessful')",-1.3758983612060547,-1.31355619430542,0.062342166900634766
6,1.2951438,1.2877177,"('liked', 'disliked')",1.2951438426971436,1.2877177000045776,-0.007426142692565918
95,-1.2564758,-1.2313951,"('rich', 'poor')",-1.256475806236267,-1.2313951253890991,0.02508068084716797
94,1.2378591,1.3238926,"('aggressive', 'submissive')",1.2378591299057007,1.323892593383789,0.08603346347808838
56,1.2207121,1.1335671,"('intelligent', 'dumb')",1.2207120656967163,1.1335670948028564,-0.08714497089385986
26,1.2165254,1.3087387,"('trustworthy', 'untrustworthy')",1.2165254354476929,1.3087387084960938,0.09221327304840088
19,-1.1614444,-1.0020328,"('funny', 'boring')",-1.1614444255828857,-1.00203275680542,0.15941166877746582
76,1.1334795,1.2698555,"('secure', 'insecure')",1.1334794759750366,1.2698554992675781,0.1363760232925415
11,-1.1248131,-1.1472003,"('caring', 'unaffectionate')",-1.1248130798339844,-1.147200345993042,-0.022387266159057617
7,-1.0963373,-1.2238957,"('outgoing', 'distant')",-1.0963373184204102,-1.2238956689834595,-0.12755835056304932
63,-1.0578355,-1.0798106,"('capable', 'incapable')",-1.0578354597091675,-1.079810619354248,-0.021975159645080566
48,1.0502467,0.9718076,"('reliable', 'unreliable')",1.0502467155456543,0.971807599067688,-0.07843911647796631
3,1.0475696,0.9921838,"('likable', 'unlikable')",1.0475696325302124,0.9921838045120239,-0.05538582801818848
1,-0.981042,-1.0831568,"('friendly', 'unfriendly')",-0.9810420274734497,-1.0831568241119385,-0.10211479663848877
69,-0.96452385,-0.9800358,"('wise', 'foolish')",-0.9645238518714905,-0.9800357818603516,-0.015511929988861084
103,0.9639055,0.96424043,"('traditional', 'modern')",0.9639055132865906,0.9642404317855835,0.0003349184989929199
98,-0.9323609,-0.9861107,"('prestigious', 'insignificant')",-0.9323608875274658,-0.9861106872558594,-0.053749799728393555
89,0.899245,0.8722538,"('daring', 'anxious')",0.899245023727417,0.8722537755966187,-0.02699124813079834
64,0.87170434,0.8170446,"('clever', 'incompetent')",0.8717043399810791,0.8170446157455444,-0.05465972423553467
83,0.85704654,0.8680165,"('energetic', 'lethargic')",0.8570465445518494,0.8680164813995361,0.010969936847686768
46,0.8556942,0.81123865,"('generous', 'stingy')",0.8556941747665405,0.8112386465072632,-0.044455528259277344
35,0.8537756,0.73883355,"('fair', 'unfair')",0.8537756204605103,0.7388335466384888,-0.11494207382202148
84,-0.84479004,-0.9733176,"('self-confident', 'diffident')",-0.8447900414466858,-0.9733176231384277,-0.12852758169174194
8,-0.8366699,-1.0269332,"('open', 'distant')",-0.836669921875,-1.026933193206787,-0.1902632713317871
