,Equifax_male,Equifax_female,tuple,average_male,average_female,female-male
53,2.4763517,2.5580761,"('influential', 'uninfluential')",2.476351737976074,2.5580761432647705,0.08172440528869629
21,-2.4377284,-2.5168157,"('incorrupt', 'corrupt')",-2.4377284049987793,-2.516815662384033,-0.0790872573852539
13,2.0172634,2.207841,"('sincere', 'insincere')",2.017263412475586,2.207840919494629,0.19057750701904297
0,1.9952751,2.1954641,"('sociable', 'unsociable')",1.9952751398086548,2.1954641342163086,0.2001889944076538
31,1.8632894,1.7004122,"('intelligent', 'unintelligent')",1.8632893562316895,1.7004121541976929,-0.16287720203399658
29,1.7164853,1.7075725,"('competent', 'incompetent')",1.7164852619171143,1.7075724601745605,-0.008912801742553711
11,1.7132398,1.614735,"('moral', 'immoral')",1.7132397890090942,1.6147350072860718,-0.09850478172302246
7,1.6783198,1.7368757,"('polite', 'impolite')",1.6783198118209839,1.7368756532669067,0.05855584144592285
49,1.6506612,1.3067248,"('motivated', 'unmotivated')",1.6506612300872803,1.3067247867584229,-0.3439364433288574
33,1.6421993,1.7174346,"('educated', 'uneducated')",1.6421992778778076,1.7174346446990967,0.07523536682128906
43,-1.5874224,-1.604435,"('active', 'inactive')",-1.5874223709106445,-1.6044349670410156,-0.017012596130371094
57,1.565993,1.4643675,"('conservative', 'liberal')",1.5659929513931274,1.4643675088882446,-0.10162544250488281
39,-1.5577128,-1.5327364,"('wise', 'foolish')",-1.5577127933502197,-1.5327364206314087,0.024976372718811035
4,1.5487887,1.4800642,"('sensitive', 'insensitive')",1.5487886667251587,1.4800641536712646,-0.06872451305389404
5,1.5381444,1.6706337,"('helpful', 'unhelpful')",1.5381443500518799,1.6706336736679077,0.13248932361602783
27,1.5185926,1.3817463,"('responsible', 'irresponsible')",1.5185925960540771,1.3817462921142578,-0.13684630393981934
28,-1.4509451,-1.5153946,"('unprejudiced', 'prejudiced')",-1.4509451389312744,-1.5153945684432983,-0.06444942951202393
23,1.4220157,1.5159478,"('truthful', 'untruthful')",1.42201566696167,1.5159478187561035,0.0939321517944336
46,1.360245,1.4211231,"('energetic', 'lethargic')",1.3602449893951416,1.4211231470108032,0.06087815761566162
47,1.2492304,1.2973976,"('ambitious', 'unambitious')",1.2492303848266602,1.2973976135253906,0.04816722869873047
22,-1.203699,-1.0877246,"('amicable', 'hostile')",-1.203698992729187,-1.0877245664596558,0.11597442626953125
18,-1.1498269,-1.2548428,"('good', 'evil')",-1.1498268842697144,-1.254842758178711,-0.10501587390899658
37,1.0574155,0.9989719,"('practical', 'impractical')",1.05741548538208,0.9989718794822693,-0.05844360589981079
42,1.0548294,1.2233295,"('secure', 'insecure')",1.0548293590545654,1.2233295440673828,0.16850018501281738
6,1.038942,0.8810296,"('supportive', 'unsupportive')",1.0389419794082642,0.8810296058654785,-0.15791237354278564
40,0.9844514,1.146908,"('logical', 'illogical')",0.984451413154602,1.1469080448150635,0.16245663166046143
15,0.82949245,0.982991,"('loyal', 'disloyal')",0.829492449760437,0.9829909801483154,0.15349853038787842
17,0.8233179,0.94435495,"('tolerant', 'intolerant')",0.8233178853988647,0.9443549513816833,0.1210370659828186
38,0.80956185,0.8432739,"('discriminating', 'undiscriminating')",0.8095618486404419,0.8432738780975342,0.033712029457092285
25,0.74709296,0.8665064,"('forgiving', 'unforgiving')",0.7470929622650146,0.8665063977241516,0.11941343545913696
55,-0.7330125,-0.41345218,"('conventional', 'unconventional')",-0.7330124974250793,-0.4134521782398224,0.31956031918525696
2,0.7257592,0.87494224,"('likable', 'unlikable')",0.7257592082023621,0.8749422430992126,0.14918303489685059
