,Value 1,0,1,Value 2,female-male,tuple
50,-2.373096,rich,poor,-2.2842526,0.088843346,"('rich', 'poor')"
3,2.0660071,liked,disliked,1.89832,-0.16768718,"('liked', 'disliked')"
41,2.0401618,confident,shy,0.8812235,-1.1589384,"('confident', 'shy')"
19,-1.8626392,kind,unkind,-1.2322354,0.63040376,"('kind', 'unkind')"
44,1.7709876,active,inactive,1.0946672,-0.67632043,"('active', 'inactive')"
24,1.6485002,generous,stingy,1.5695437,-0.078956485,"('generous', 'stingy')"
37,-1.5561377,practical,impractical,-1.4259207,0.13021696,"('practical', 'impractical')"
5,-1.4854428,helpful,unhelpful,-1.2672982,0.21814454,"('helpful', 'unhelpful')"
11,-1.3667707,moral,immoral,-0.9889559,0.37781483,"('moral', 'immoral')"
23,1.3108718,truthful,untruthful,1.3818672,0.07099533,"('truthful', 'untruthful')"
15,-1.2638962,loyal,disloyal,-0.48380697,0.78008926,"('loyal', 'disloyal')"
34,1.2477448,rational,irrational,1.0969201,-0.15082467,"('rational', 'irrational')"
0,-1.1781034,sociable,unsociable,-0.17083408,1.0072694,"('sociable', 'unsociable')"
30,-1.1756208,smart,stupid,-1.2012068,-0.025586009,"('smart', 'stupid')"
18,1.0966913,good,evil,0.90232277,-0.19436848,"('good', 'evil')"
28,1.009661,unprejudiced,prejudiced,0.3610435,-0.64861745,"('unprejudiced', 'prejudiced')"
48,-1.0056531,dedicated,undedicated,-0.7943468,0.21130633,"('dedicated', 'undedicated')"
6,0.85906446,supportive,unsupportive,0.6968006,-0.16226387,"('supportive', 'unsupportive')"
46,-0.82515365,energetic,lethargic,-0.7020898,0.12306386,"('energetic', 'lethargic')"
57,-0.8213116,conservative,liberal,-0.73404294,0.08726865,"('conservative', 'liberal')"
55,0.81951797,conventional,unconventional,1.1323369,0.31281888,"('conventional', 'unconventional')"
39,0.80075544,wise,foolish,0.6491648,-0.15159065,"('wise', 'foolish')"
2,-0.79971147,likable,unlikable,-0.33441567,0.4652958,"('likable', 'unlikable')"
16,0.79721737,fair,unfair,0.5645792,-0.23263818,"('fair', 'unfair')"
1,0.79382753,friendly,unfriendly,0.70064,-0.09318751,"('friendly', 'unfriendly')"
33,-0.7683375,educated,uneducated,-0.051386327,0.71695113,"('educated', 'uneducated')"
38,-0.7533632,discriminating,undiscriminating,-0.5438039,0.20955932,"('discriminating', 'undiscriminating')"
20,0.6814784,right,wrong,0.64114624,-0.04033214,"('right', 'wrong')"
21,0.6793651,incorrupt,corrupt,0.5946292,-0.08473587,"('incorrupt', 'corrupt')"
29,0.6198308,competent,incompetent,0.9177737,0.29794294,"('competent', 'incompetent')"
7,-0.60208154,polite,impolite,-0.1145581,0.48752344,"('polite', 'impolite')"
49,0.5894809,motivated,unmotivated,0.6053942,0.015913308,"('motivated', 'unmotivated')"
22,0.51997817,amicable,hostile,0.82729757,0.3073194,"('amicable', 'hostile')"
4,-0.4823974,sensitive,insensitive,-0.40854985,0.07384756,"('sensitive', 'insensitive')"
9,0.46471655,nice,nasty,0.61590564,0.15118909,"('nice', 'nasty')"
26,0.43549532,reliable,unreliable,0.21718618,-0.21830913,"('reliable', 'unreliable')"
13,0.41676712,sincere,insincere,0.56140333,0.14463621,"('sincere', 'insincere')"
47,0.356026,ambitious,unambitious,0.39738032,0.04135433,"('ambitious', 'unambitious')"
27,-0.3150292,responsible,irresponsible,-0.42615414,-0.11112493,"('responsible', 'irresponsible')"
56,0.30965048,conventional,unconventional,0.70327973,0.39362925,"('conventional', 'unconventional')"
54,0.30939636,successful,unsuccessful,0.39582673,0.08643037,"('successful', 'unsuccessful')"
43,-0.3088077,active,inactive,-0.09876533,0.21004237,"('active', 'inactive')"
17,-0.3009678,tolerant,intolerant,-0.16671172,0.1342561,"('tolerant', 'intolerant')"
35,0.26331562,creative,uncreative,0.07252085,-0.19079477,"('creative', 'uncreative')"
25,-0.25902134,forgiving,unforgiving,0.11827977,0.3773011,"('forgiving', 'unforgiving')"
31,0.22878635,intelligent,unintelligent,0.55854535,0.329759,"('intelligent', 'unintelligent')"
10,0.22739664,hospitable,inhospitable,0.48637834,0.2589817,"('hospitable', 'inhospitable')"
32,-0.1889747,able,unable,-0.2174135,-0.028438807,"('able', 'unable')"
12,-0.16729148,trustworthy,untrustworthy,-0.041117623,0.12617385,"('trustworthy', 'untrustworthy')"
52,-0.14781946,superior,inferior,0.33471248,0.48253193,"('superior', 'inferior')"
36,0.1380823,capable,incapable,0.18641564,0.048333347,"('capable', 'incapable')"
8,-0.1057446,popular,unpopular,0.3509341,0.4566787,"('popular', 'unpopular')"
45,-0.09506257,independent,dependent,0.058053516,0.15311608,"('independent', 'dependent')"
42,-0.07674565,secure,insecure,0.0434355,0.12018115,"('secure', 'insecure')"
51,0.05171065,powerful,powerless,0.5196906,0.4679799,"('powerful', 'powerless')"
14,-0.044045977,honest,dishonest,-0.113099456,-0.06905348,"('honest', 'dishonest')"
40,-0.03892082,logical,illogical,0.2012253,0.24014612,"('logical', 'illogical')"
53,0.0006507635,influential,uninfluential,0.33259687,0.3319461,"('influential', 'uninfluential')"
