,Starbucks_male,Starbucks_female,tuple,average_male,average_female,female-male
50,-3.5200958,-3.810227,"('rich', 'poor')",-3.5200958251953125,-3.8102269172668457,-0.2901310920715332
3,3.1663167,2.8663774,"('liked', 'disliked')",3.1663167476654053,2.866377353668213,-0.2999393939971924
1,-2.6241012,-2.4875846,"('friendly', 'unfriendly')",-2.624101161956787,-2.4875845909118652,0.13651657104492188
28,2.4547207,2.5824828,"('unprejudiced', 'prejudiced')",2.4547207355499268,2.5824828147888184,0.1277620792388916
30,-2.3465116,-2.3618069,"('smart', 'stupid')",-2.3465116024017334,-2.361806869506836,-0.015295267105102539
26,1.8399999,1.5638022,"('reliable', 'unreliable')",1.8399999141693115,1.5638022422790527,-0.2761976718902588
55,-1.641619,-1.5303499,"('conventional', 'unconventional')",-1.6416189670562744,-1.530349850654602,0.11126911640167236
12,1.4718683,1.3586906,"('trustworthy', 'untrustworthy')",1.4718682765960693,1.358690619468689,-0.11317765712738037
57,1.433744,1.2943131,"('conservative', 'liberal')",1.433743953704834,1.2943130731582642,-0.13943088054656982
36,-1.4189997,-1.4902225,"('capable', 'incapable')",-1.4189996719360352,-1.490222454071045,-0.07122278213500977
53,-1.4104463,-1.187199,"('influential', 'uninfluential')",-1.410446286201477,-1.1871989965438843,0.22324728965759277
35,-1.2844172,-1.2878711,"('creative', 'uncreative')",-1.2844171524047852,-1.2878711223602295,-0.003453969955444336
33,-1.2452291,-1.4005959,"('educated', 'uneducated')",-1.2452291250228882,-1.4005959033966064,-0.15536677837371826
49,1.1728766,1.0857673,"('motivated', 'unmotivated')",1.1728765964508057,1.0857672691345215,-0.08710932731628418
40,-1.1684567,-0.87918067,"('logical', 'illogical')",-1.1684566736221313,-0.8791806697845459,0.28927600383758545
42,1.1423997,0.9556588,"('secure', 'insecure')",1.1423996686935425,0.9556587934494019,-0.18674087524414062
48,-1.1355891,-1.255974,"('dedicated', 'undedicated')",-1.1355891227722168,-1.2559740543365479,-0.12038493156433105
52,-1.127975,-0.88000005,"('superior', 'inferior')",-1.1279749870300293,-0.8800000548362732,0.2479749321937561
24,1.0216112,1.0183192,"('generous', 'stingy')",1.021611213684082,1.0183192491531372,-0.0032919645309448242
41,0.9997004,1.0022215,"('confident', 'shy')",0.9997004270553589,1.0022214651107788,0.002521038055419922
13,0.97849643,0.8718522,"('sincere', 'insincere')",0.9784964323043823,0.8718522191047668,-0.10664421319961548
7,0.9518211,0.96726406,"('polite', 'impolite')",0.9518210887908936,0.9672640562057495,0.015442967414855957
9,0.91689634,1.0629096,"('nice', 'nasty')",0.9168963432312012,1.0629096031188965,0.1460132598876953
5,-0.88812876,-1.0021658,"('helpful', 'unhelpful')",-0.8881287574768066,-1.0021657943725586,-0.11403703689575195
14,-0.866822,-0.9904058,"('honest', 'dishonest')",-0.8668220043182373,-0.990405797958374,-0.12358379364013672
38,-0.82001954,-1.084325,"('discriminating', 'undiscriminating')",-0.820019543170929,-1.0843249559402466,-0.2643054127693176
31,-0.80786216,-0.7241872,"('intelligent', 'unintelligent')",-0.8078621625900269,-0.7241871953010559,0.08367496728897095
19,-0.8000064,-0.8130247,"('kind', 'unkind')",-0.8000063896179199,-0.8130246996879578,-0.013018310070037842
11,0.79380023,0.65284693,"('moral', 'immoral')",0.7938002347946167,0.6528469324111938,-0.14095330238342285
27,-0.76832503,-0.6807913,"('responsible', 'irresponsible')",-0.7683250308036804,-0.6807913184165955,0.08753371238708496
22,-0.7336501,-0.7063104,"('amicable', 'hostile')",-0.7336500883102417,-0.7063103914260864,0.027339696884155273
20,-0.69665766,-0.5320403,"('right', 'wrong')",-0.696657657623291,-0.5320402979850769,0.1646173596382141
44,-0.6715549,-0.666446,"('active', 'inactive')",-0.6715549230575562,-0.6664459705352783,0.005108952522277832
47,0.62843287,0.5164859,"('ambitious', 'unambitious')",0.6284328699111938,0.5164859294891357,-0.1119469404220581
10,-0.5840598,-0.5855758,"('hospitable', 'inhospitable')",-0.5840597748756409,-0.5855758190155029,-0.0015160441398620605
51,-0.5720128,-0.50590616,"('powerful', 'powerless')",-0.5720127820968628,-0.5059061646461487,0.06610661745071411
18,-0.5139036,-0.6172698,"('good', 'evil')",-0.5139036178588867,-0.6172698140144348,-0.1033661961555481
32,-0.49935716,-0.55677724,"('able', 'unable')",-0.4993571639060974,-0.5567772388458252,-0.05742007493972778
23,0.49896824,0.35321513,"('truthful', 'untruthful')",0.498968243598938,0.35321512818336487,-0.14575311541557312
8,-0.4727462,-0.47213602,"('popular', 'unpopular')",-0.47274619340896606,-0.4721360206604004,0.0006101727485656738
