,CVS_male,CVS_female,tuple,Health_male,Health_female,average_male,average_female,female-male
50,-3.4975963,-3.4539359,"('rich', 'poor')",-2.9434996,-2.9970498,-3.220547914505005,-3.2254929542541504,-0.004945039749145508
3,2.4651635,2.270208,"('liked', 'disliked')",2.6459792,2.5434675,2.5555713176727295,2.4068377017974854,-0.14873361587524414
30,-2.4478931,-2.3170228,"('smart', 'stupid')",-3.6686025,-3.4181607,-3.0582478046417236,-2.8675918579101562,0.19065594673156738
40,-1.6971068,-1.684648,"('logical', 'illogical')",-1.0421026,-0.8203678,-1.3696047067642212,-1.2525079250335693,0.11709678173065186
5,-1.6802208,-1.4958081,"('helpful', 'unhelpful')",-2.5496616,-2.3747358,-2.114941120147705,-1.935271978378296,0.17966914176940918
19,-1.6659553,-1.5615088,"('kind', 'unkind')",-2.88919,-2.7534976,-2.2775726318359375,-2.157503128051758,0.12006950378417969
54,-1.4776211,-1.2977283,"('successful', 'unsuccessful')",-1.4516706,-1.3761003,-1.4646458625793457,-1.336914300918579,0.1277315616607666
36,-1.4678223,-1.8496001,"('capable', 'incapable')",-0.5630629,-0.60277367,-1.0154426097869873,-1.2261868715286255,-0.21074426174163818
28,1.3021194,1.3013556,"('unprejudiced', 'prejudiced')",1.2077909,1.1025171,1.2549550533294678,1.2019363641738892,-0.05301868915557861
1,-1.2607572,-1.7857224,"('friendly', 'unfriendly')",-1.9169028,-1.7155468,-1.5888299942016602,-1.7506346702575684,-0.1618046760559082
33,-1.2600697,-1.2440608,"('educated', 'uneducated')",-0.2894466,-0.004102379,-0.7747581601142883,-0.624081552028656,0.15067660808563232
35,-1.1462667,-1.3947284,"('creative', 'uncreative')",-0.55652684,-0.31732398,-0.8513967990875244,-0.8560261726379395,-0.004629373550415039
48,-1.1168808,-0.8601771,"('dedicated', 'undedicated')",-0.7441966,-0.61692953,-0.9305386543273926,-0.7385532855987549,0.1919853687286377
10,-1.0414889,-1.6580391,"('hospitable', 'inhospitable')",-0.46069503,-0.51951355,-0.7510919570922852,-1.0887763500213623,-0.33768439292907715
44,1.0083001,0.16630125,"('active', 'inactive')",-0.062600076,-0.37630087,0.4728499948978424,-0.10499981045722961,-0.577849805355072
27,-0.9625405,-0.76248884,"('responsible', 'irresponsible')",-1.7700028,-1.7971044,-1.366271734237671,-1.2797966003417969,0.08647513389587402
26,0.93342733,0.7107773,"('reliable', 'unreliable')",0.44011047,0.22584121,0.6867688894271851,0.4683092534542084,-0.21845963597297668
14,-0.8963115,-0.666822,"('honest', 'dishonest')",-1.6837177,-1.545267,-1.290014624595642,-1.1060445308685303,0.18397009372711182
55,-0.88066643,-1.1385412,"('conventional', 'unconventional')",-0.84858,-0.7242629,-0.8646231889724731,-0.9314020872116089,-0.06677889823913574
17,-0.85087454,-0.3847702,"('tolerant', 'intolerant')",-0.90407175,-0.7740528,-0.8774731159210205,-0.579411506652832,0.2980616092681885
39,-0.8244447,-1.0942706,"('wise', 'foolish')",-1.902855,-1.7912683,-1.363649845123291,-1.4427695274353027,-0.07911968231201172
9,0.82341063,0.5827348,"('nice', 'nasty')",-0.31113744,-0.49974453,0.25613659620285034,0.04149514436721802,-0.21464145183563232
11,-0.8191408,-0.48517638,"('moral', 'immoral')",-1.4245319,-1.4685546,-1.1218364238739014,-0.9768655300140381,0.14497089385986328
20,-0.76874936,-1.076558,"('right', 'wrong')",-0.74429923,-0.69493943,-0.7565243244171143,-0.8857487440109253,-0.12922441959381104
47,0.7357773,0.87331545,"('ambitious', 'unambitious')",-0.38635147,-0.32011807,0.1747129261493683,0.2765986919403076,0.10188576579093933
24,0.6569956,0.78847486,"('generous', 'stingy')",1.4287126,1.575588,1.0428540706634521,1.1820313930511475,0.1391773223876953
22,0.6491948,0.010740817,"('amicable', 'hostile')",0.19701481,0.23131144,0.42310479283332825,0.12102612853050232,-0.3020786643028259
43,-0.62431645,-0.65361786,"('active', 'inactive')",-1.8415928,-1.4907484,-1.2329546213150024,-1.0721831321716309,0.16077148914337158
4,-0.62331426,-0.46386752,"('sensitive', 'insensitive')",-0.43903595,-0.46885306,-0.5311751365661621,-0.46636027097702026,0.06481486558914185
52,-0.55884016,-0.51665473,"('superior', 'inferior')",-1.5383914,-1.4796476,-1.0486156940460205,-0.9981511831283569,0.050464510917663574
37,-0.54068136,-0.079365134,"('practical', 'impractical')",-1.5813189,-1.6230905,-1.061000108718872,-0.8512278199195862,0.2097722887992859
15,-0.5194999,-0.31195414,"('loyal', 'disloyal')",-1.5515759,-1.2347744,-1.0355379581451416,-0.773364245891571,0.26217371225357056
0,-0.48846805,-0.017488778,"('sociable', 'unsociable')",-0.9734564,-0.66484785,-0.7309622168540955,-0.3411683142185211,0.38979390263557434
56,-0.47738206,-0.35806936,"('conventional', 'unconventional')",-0.32446018,-0.31585786,-0.400921106338501,-0.33696359395980835,0.06395751237869263
23,0.4518419,0.792868,"('truthful', 'untruthful')",0.9926599,1.0811908,0.7222509384155273,0.9370294213294983,0.21477848291397095
32,-0.43063885,-0.5024014,"('able', 'unable')",-1.1274769,-1.3473701,-0.7790578603744507,-0.9248857498168945,-0.14582788944244385
25,-0.41083938,-0.353819,"('forgiving', 'unforgiving')",-0.36458063,-0.41594085,-0.38771000504493713,-0.3848799467086792,0.0028300583362579346
21,0.39147678,-0.006152302,"('incorrupt', 'corrupt')",1.3064959,1.2364693,0.8489863276481628,0.6151584982872009,-0.23382782936096191
41,0.3785553,0.38083622,"('confident', 'shy')",0.047098964,-0.14227942,0.21282713115215302,0.11927840113639832,-0.0935487300157547
8,-0.37110656,-0.7733909,"('popular', 'unpopular')",-1.1141539,-1.198606,-0.7426302433013916,-0.9859984517097473,-0.2433682084083557
34,-0.36210516,-0.49509013,"('rational', 'irrational')",0.117359534,0.27313417,-0.1223728135228157,-0.11097797751426697,0.011394836008548737
13,-0.34074295,0.22572973,"('sincere', 'insincere')",0.27986667,0.42980963,-0.030438140034675598,0.3277696967124939,0.3582078367471695
31,-0.3262804,-0.11907458,"('intelligent', 'unintelligent')",-0.6278024,-0.57819885,-0.4770413637161255,-0.3486367166042328,0.1284046471118927
6,-0.28296587,-0.6759335,"('supportive', 'unsupportive')",-1.7779613,-1.9478301,-1.0304635763168335,-1.3118817806243896,-0.28141820430755615
46,-0.28262678,-0.04141161,"('energetic', 'lethargic')",0.37844712,0.4734296,0.0479101687669754,0.2160089910030365,0.1680988222360611
51,0.2740299,0.43360847,"('powerful', 'powerless')",-0.9707962,-0.7548498,-0.3483831584453583,-0.16062065958976746,0.18776249885559082
49,0.22182232,0.16087547,"('motivated', 'unmotivated')",1.2930036,1.0233804,0.7574129104614258,0.5921279191970825,-0.16528499126434326
38,-0.19419275,-0.19363706,"('discriminating', 'undiscriminating')",0.18100889,0.43032214,-0.006591930985450745,0.11834254115819931,0.12493447214365005
53,-0.19418901,0.024270415,"('influential', 'uninfluential')",-0.67302394,-0.47555372,-0.43360647559165955,-0.2256416529417038,0.20796482264995575
29,-0.18819158,-0.024706408,"('competent', 'incompetent')",-0.6798234,-0.7706415,-0.4340074956417084,-0.39767396450042725,0.03633353114128113
57,-0.18090072,0.5473249,"('conservative', 'liberal')",1.281525,1.2696396,0.5503121614456177,0.9084822535514832,0.3581700921058655
45,0.1772624,0.20292035,"('independent', 'dependent')",0.98865676,0.90286714,0.5829595923423767,0.5528937578201294,-0.030065834522247314
16,0.17525381,0.18672284,"('fair', 'unfair')",-0.19499594,-0.037010074,-0.009871065616607666,0.07485638558864594,0.0847274512052536
2,-0.16419916,-0.13383976,"('likable', 'unlikable')",-0.5959979,-0.4967476,-0.3800985515117645,-0.31529366970062256,0.06480488181114197
12,-0.13287805,0.07394406,"('trustworthy', 'untrustworthy')",0.23877074,0.33719334,0.05294634401798248,0.20556870102882385,0.15262235701084137
7,0.1095684,0.5886818,"('polite', 'impolite')",0.2365945,0.50891143,0.17308145761489868,0.5487966537475586,0.3757151961326599
18,0.10300207,-0.46132806,"('good', 'evil')",0.7564565,0.65257514,0.42972928285598755,0.09562353789806366,-0.3341057449579239
42,0.057489455,0.557394,"('secure', 'insecure')",0.42768216,0.5811552,0.24258580803871155,0.5692746043205261,0.3266887962818146
