,HCA_male,HCA_female,tuple,Healthcare_male,Healthcare_female,average_male,average_female,female-male
50,-2.5519018,-2.2168505,"('rich', 'poor')",-4.237748,-4.282352,-3.394824981689453,-3.249601364135742,0.14522361755371094
44,1.7238822,1.0649033,"('active', 'inactive')",1.0047293,0.7542862,1.3643057346343994,0.9095947742462158,-0.4547109603881836
30,-1.6796632,-1.6581011,"('smart', 'stupid')",-3.5424614,-3.5936847,-2.6110622882843018,-2.6258928775787354,-0.014830589294433594
3,1.6422629,1.3606017,"('liked', 'disliked')",3.644845,3.6313803,2.6435539722442627,2.4959909915924072,-0.14756298065185547
37,-1.487329,-0.9365587,"('practical', 'impractical')",-1.3660908,-1.3653274,-1.4267098903656006,-1.1509430408477783,0.27576684951782227
48,-1.3124223,-1.1478567,"('dedicated', 'undedicated')",-0.7297195,-0.6500667,-1.021070957183838,-0.8989616632461548,0.1221092939376831
22,1.1853873,0.7139126,"('amicable', 'hostile')",0.90908056,0.9303506,1.0472339391708374,0.8221316337585449,-0.22510230541229248
18,1.1830935,0.57450473,"('good', 'evil')",1.4169426,1.310235,1.300018072128296,0.9423698782920837,-0.35764819383621216
21,1.1416523,0.9865805,"('incorrupt', 'corrupt')",1.5632021,1.5407106,1.3524272441864014,1.2636455297470093,-0.08878171443939209
9,0.9684371,0.7599555,"('nice', 'nasty')",0.05938518,0.009162068,0.5139111280441284,0.3845587968826294,-0.12935233116149902
11,-0.9626097,-0.7227218,"('moral', 'immoral')",-1.4169834,-1.3203481,-1.1897965669631958,-1.0215349197387695,0.16826164722442627
5,-0.8918157,-0.49983966,"('helpful', 'unhelpful')",-3.3001766,-3.2826555,-2.095996141433716,-1.8912475109100342,0.20474863052368164
19,-0.86357266,-0.38305408,"('kind', 'unkind')",-2.7822325,-2.589192,-1.8229025602340698,-1.486122965812683,0.3367795944213867
54,-0.82497025,-0.6962557,"('successful', 'unsuccessful')",-2.0396948,-1.9122846,-1.4323325157165527,-1.3042701482772827,0.12806236743927002
36,-0.8063925,-0.66735613,"('capable', 'incapable')",-0.49761057,-0.5234298,-0.6520015001296997,-0.5953929424285889,0.05660855770111084
17,-0.8038177,-0.57087135,"('tolerant', 'intolerant')",-1.244905,-1.1323999,-1.0243613719940186,-0.8516356348991394,0.17272573709487915
33,-0.73813665,-0.56341714,"('educated', 'uneducated')",-0.82894695,-0.59439284,-0.7835417985916138,-0.5789049863815308,0.204636812210083
27,-0.71135163,-0.56853586,"('responsible', 'irresponsible')",-1.4375249,-1.5369507,-1.0744383335113525,-1.0527433156967163,0.02169501781463623
28,0.70591086,0.49024767,"('unprejudiced', 'prejudiced')",1.5873733,1.5283768,1.1466420888900757,1.0093122720718384,-0.1373298168182373
46,-0.6894673,-0.48734522,"('energetic', 'lethargic')",-0.12647314,-0.044074893,-0.40797021985054016,-0.2657100558280945,0.14226016402244568
12,-0.5391797,-0.40196437,"('trustworthy', 'untrustworthy')",0.43755037,0.46771735,-0.050814658403396606,0.03287649154663086,0.08369114995002747
57,-0.53803265,-0.10823267,"('conservative', 'liberal')",0.5784218,0.7629318,0.020194560289382935,0.32734957337379456,0.3071550130844116
40,-0.5273373,-0.21432754,"('logical', 'illogical')",-1.432231,-1.2525126,-0.9797841310501099,-0.7334200739860535,0.2463640570640564
24,0.52632296,0.34595054,"('generous', 'stingy')",1.5948601,1.8142226,1.060591459274292,1.080086588859558,0.019495129585266113
14,-0.45740452,-0.32003564,"('honest', 'dishonest')",-1.3355563,-1.2775962,-0.8964803814888,-0.7988159656524658,0.09766441583633423
0,-0.44665164,0.07884583,"('sociable', 'unsociable')",-1.0221148,-0.70110726,-0.734383225440979,-0.31113070249557495,0.42325252294540405
38,-0.41831654,-0.28110904,"('discriminating', 'undiscriminating')",-0.5407181,-0.4994375,-0.4795173108577728,-0.3902732729911804,0.08924403786659241
29,-0.4091743,-0.2844036,"('competent', 'incompetent')",-0.55989033,-0.62798077,-0.48453229665756226,-0.4561921954154968,0.02834010124206543
20,-0.40066501,-0.35513976,"('right', 'wrong')",-0.26468247,-0.22099584,-0.33267372846603394,-0.2880678176879883,0.044605910778045654
