,Newmont_male,Newmont_female,tuple,average_male,average_female,female-male
75,2.2602797,2.1512332,"('confident', 'shy')",2.2602797,2.1512332,-0.1090465
95,-1.7380179,-1.6058109,"('rich', 'poor')",-1.7380179,-1.6058109,0.132207
6,1.4782825,1.437772,"('liked', 'disliked')",1.4782825,1.437772,-0.0405105
15,1.4216824,1.4194721,"('polite', 'impolite')",1.4216824,1.4194721,-0.0022103
40,-1.3239973,-1.396448,"('honorable', 'mean')",-1.3239973,-1.396448,-0.0724507
104,-1.2971969,-1.1445236,"('conventional', 'unconventional')",-1.2971969,-1.1445236,0.1526733
100,1.2776387,1.3693042,"('influential', 'uninfluential')",1.2776387,1.3693042,0.0916655
107,1.2628496,1.4901011,"('conventional', 'modern')",1.2628496,1.4901011,0.2272515
53,-1.2312539,-1.0149138,"('smart', 'stupid')",-1.2312539,-1.0149138,0.2163401
90,1.2077425,0.91287565,"('motivated', 'unmotivated')",1.2077425,0.9128757,-0.2948668
71,1.1432483,0.7794665,"('efficient', 'inefficient')",1.1432483,0.7794665,-0.3637818
94,1.1391805,1.2278968,"('aggressive', 'submissive')",1.1391805,1.2278968,0.0887163
55,1.1331201,1.1210452,"('intelligent', 'unintelligent')",1.1331201,1.1210452,-0.0120749
70,1.080178,1.2400267,"('wise', 'unwise')",1.080178,1.2400267,0.1598487
27,-1.0774057,-0.96175647,"('sincere', 'insincere')",-1.0774057,-0.9617565,0.1156492
60,1.073664,1.0328143,"('educated', 'uneducated')",1.0736639,1.0328143,-0.0408496
0,1.0141232,1.1826615,"('sociable', 'unsociable')",1.0141232,1.1826615,0.1685383
98,-0.9929029,-0.926124,"('prestigious', 'insignificant')",-0.9929029,-0.926124,0.0667789
110,-0.9899537,-0.8237983,"('narrow-minded', 'open-minded')",-0.9899537,-0.8237983,0.1661554
91,0.9638981,0.8945508,"('resilient', 'nonresilient')",0.9638981,0.8945508,-0.0693473
54,0.96006954,0.5911946,"('smart', 'stupid')",0.9600695,0.5911946,-0.3688749
14,0.90704286,0.74113846,"('supportive', 'unsupportive')",0.9070429,0.7411385,-0.1659044
66,0.90526706,1.0374674,"('imaginative', 'unimaginative')",0.9052671,1.0374674,0.1322003
86,-0.87583315,-0.97010386,"('self-reliant', 'helpless')",-0.8758332,-0.9701039,-0.0942707
