,Verisign_male,Verisign_female,tuple,average_male,average_female,female-male
75,2.9528208,2.644797,"('confident', 'shy')",2.9528208,2.6447971,-0.3080237
71,2.7860236,2.318593,"('efficient', 'inefficient')",2.7860236,2.318593,-0.4674306
15,2.6667252,2.5418196,"('polite', 'impolite')",2.6667252,2.5418196,-0.1249056
41,-2.4663558,-2.201845,"('incorrupt', 'corrupt')",-2.4663558,-2.2018449,0.2645109
94,2.437452,2.396334,"('aggressive', 'submissive')",2.4374521,2.3963339,-0.0411182
2,2.4114208,2.3705006,"('friendly', 'unfriendly')",2.4114208,2.3705006,-0.0409202
16,2.074921,1.8404092,"('social', 'antisocial')",2.0749209,1.8404092,-0.2345117
76,2.0597534,2.0126567,"('secure', 'insecure')",2.0597534,2.0126567,-0.0470967
60,2.0580914,2.0564187,"('educated', 'uneducated')",2.0580914,2.0564187,-0.0016727
99,-2.0329108,-1.9262499,"('prestigious', 'insignificant')",-2.0329108,-1.9262499,0.1066609
25,2.0242867,1.7847161,"('moral', 'immoral')",2.0242867,1.7847161,-0.2395706
90,1.9692674,1.5961756,"('motivated', 'unmotivated')",1.9692674,1.5961756,-0.3730918
42,-1.9467688,-1.585243,"('amicable', 'hostile')",-1.9467688,-1.585243,0.3615258
0,1.9375503,1.9764614,"('sociable', 'unsociable')",1.9375503,1.9764614,0.0389111
98,-1.9156572,-1.9033091,"('prestigious', 'insignificant')",-1.9156572,-1.9033091,0.0123481
109,1.8620927,1.7126952,"('conservative', 'liberal')",1.8620927,1.7126952,-0.1493975
108,1.8620927,1.7126952,"('conservative', 'liberal')",1.8620927,1.7126952,-0.1493975
8,-1.849412,-1.6531885,"('open', 'distant')",-1.849412,-1.6531885,0.1962235
81,-1.8094919,-1.97923,"('industrious', 'lazy')",-1.8094919,-1.97923,-0.1697381
104,-1.7432537,-1.5639884,"('conventional', 'unconventional')",-1.7432537,-1.5639884,0.1792653
12,1.6889899,1.915026,"('sympathetic', 'unsympathetic')",1.6889899,1.9150259,0.226036
64,1.6202933,1.5567944,"('clever', 'incompetent')",1.6202933,1.5567944,-0.0634989
73,1.6108778,1.3050015,"('brilliant', 'incompetent')",1.6108778,1.3050015,-0.3058763
100,1.6069446,1.6700823,"('influential', 'uninfluential')",1.6069446,1.6700823,0.0631377
5,1.6050808,1.5259932,"('pleasant', 'repellent')",1.6050808,1.5259932,-0.0790876
92,-1.5518035,-1.4138731,"('unwavering', 'wavering')",-1.5518035,-1.4138731,0.1379304
52,1.5245478,1.4481333,"('competitive', 'uncompetitive')",1.5245478,1.4481333,-0.0764145
69,-1.5176293,-1.3835678,"('wise', 'foolish')",-1.5176293,-1.3835678,0.1340615
93,1.5017883,1.3641312,"('dominating', 'dominated')",1.5017883,1.3641312,-0.1376571
7,-1.4640789,-1.4669297,"('outgoing', 'distant')",-1.4640789,-1.4669297,-0.0028508
95,-1.455761,-1.351457,"('rich', 'poor')",-1.455761,-1.351457,0.104304
14,1.4264171,1.3770597,"('supportive', 'unsupportive')",1.4264171,1.3770597,-0.0493574
18,1.4252824,1.3576516,"('social', 'asocial')",1.4252824,1.3576516,-0.0676308
103,1.4127094,1.4892457,"('traditional', 'modern')",1.4127094,1.4892457,0.0765363
88,-1.3735836,-1.3278306,"('impulsive', 'meek')",-1.3735836,-1.3278306,0.045753
107,1.3068055,1.691439,"('conventional', 'modern')",1.3068055,1.691439,0.3846335
55,1.279555,1.232003,"('intelligent', 'unintelligent')",1.279555,1.232003,-0.047552
53,-1.2507404,-1.2485609,"('smart', 'stupid')",-1.2507404,-1.2485609,0.0021795
39,-1.2150383,-1.1516981,"('right', 'wrong')",-1.2150383,-1.1516981,0.0633402
49,1.2112917,1.0678043,"('responsible', 'irresponsible')",1.2112917,1.0678043,-0.1434874
105,-1.2020557,-0.9866327,"('conventional', 'modern')",-1.2020557,-0.9866327,0.215423
22,1.1621368,1.0990282,"('welcoming', 'disagreeable')",1.1621368,1.0990282,-0.0631086
61,-1.1478171,-0.7779379,"('rational', 'irrational')",-1.1478171,-0.7779379,0.3698792
1,-1.1212996,-1.0505818,"('friendly', 'unfriendly')",-1.1212996,-1.0505818,0.0707178
