,Baxter_male,Baxter_female,tuple,International_male,International_female,average_male,average_female,female-male
75,8.127928,8.247852,"('confident', 'shy')",4.4732122,4.780427,6.30057,6.5141397,0.2135697
6,6.881523,6.8227396,"('liked', 'disliked')",3.8406193,4.1015024,5.3610711,5.462121,0.1010499
27,-6.180056,-6.1378117,"('sincere', 'insincere')",-4.0837345,-4.3523536,-5.1318951,-5.2450829,-0.1131878
95,-6.095147,-6.10503,"('rich', 'poor')",-2.8154545,-3.0878992,-4.4553008,-4.5964646,-0.1411638
53,-5.6849084,-5.761367,"('smart', 'stupid')",-3.1129975,-3.3659205,-4.398953,-4.5636435,-0.1646905
40,-4.7804475,-5.0126925,"('honorable', 'mean')",-2.8081641,-3.2003965,-3.7943058,-4.1065445,-0.3122387
48,3.5443892,3.5644305,"('reliable', 'unreliable')",1.1683674,1.1768758,2.3563783,2.3706532,0.0142749
66,3.406676,3.5953918,"('imaginative', 'unimaginative')",1.5368606,1.5965319,2.4717684,2.5959618,0.1241934
86,3.1350746,3.0048037,"('self-reliant', 'helpless')",1.530324,1.5195117,2.3326993,2.2621577,-0.0705416
3,3.0191658,2.9017,"('likable', 'unlikable')",1.1399773,1.130865,2.0795715,2.0162826,-0.0632889
1,-2.5951967,-2.6129825,"('friendly', 'unfriendly')",-1.7865536,-1.5042386,-2.1908751,-2.0586104,0.1322647
11,-2.547902,-2.5890136,"('caring', 'unaffectionate')",-1.7414782,-1.7638924,-2.14469,-2.1764531,-0.0317631
94,2.4556048,2.5413842,"('aggressive', 'submissive')",0.2859678,0.21426558,1.3707863,1.3778249,0.0070386
32,-2.2560015,-2.1544857,"('benevolent', 'hardhearted')",-1.9380273,-1.7460811,-2.0970144,-1.9502834,0.146731
46,2.1003067,2.3572192,"('generous', 'stingy')",0.59707797,0.7243459,1.3486924,1.5407826,0.1920902
109,2.0842326,2.0839407,"('conservative', 'liberal')",0.5787622,0.55668604,1.3314974,1.3203135,-0.0111839
108,2.0842326,2.0839407,"('conservative', 'liberal')",0.5787622,0.55668604,1.3314974,1.3203135,-0.0111839
33,-2.0595593,-1.8421178,"('softhearted', 'hardhearted')",-0.83406705,-0.7586359,-1.4468132,-1.3003769,0.1464363
50,2.0066643,1.9401634,"('unprejudiced', 'prejudiced')",0.6416665,0.5114497,1.3241653,1.2258065,-0.0983588
104,-1.9913505,-1.7615447,"('conventional', 'unconventional')",-1.1772431,-1.0602865,-1.5842968,-1.4109156,0.1733812
10,-1.9756138,-1.9081011,"('affectionate', 'unaffectionate')",-0.88721865,-0.75759447,-1.4314163,-1.3328478,0.0985685
105,-1.8648477,-1.7123349,"('conventional', 'modern')",0.5408502,0.606601,-0.6619987,-0.5528669,0.1091318
90,1.832022,1.7032893,"('motivated', 'unmotivated')",0.6301396,0.51205194,1.2310808,1.1076705,-0.1234103
52,1.7453954,1.972676,"('competitive', 'uncompetitive')",0.0012642741,-0.08686471,0.8733299,0.9429057,0.0695758
14,1.6633536,1.6796434,"('supportive', 'unsupportive')",0.04738745,-0.1388497,0.8553705,0.7703968,-0.0849737
71,1.5919238,1.5156257,"('efficient', 'inefficient')",-0.050932884,-0.2395361,0.7704955,0.6380448,-0.1324507
25,1.5381663,1.4511373,"('moral', 'immoral')",-0.6570062,-0.71630645,0.44058,0.3674154,-0.0731646
15,1.5281281,1.6336561,"('polite', 'impolite')",0.546486,0.6936517,1.037307,1.1636539,0.1263469
63,-1.5121112,-1.6469791,"('capable', 'incapable')",-1.0933859,-1.1424937,-1.3027486,-1.3947364,-0.0919878
99,-1.4918237,-1.618784,"('prestigious', 'insignificant')",-0.6632184,-0.55497897,-1.0775211,-1.0868814,-0.0093603
28,-1.4169493,-1.2931304,"('honest', 'dishonest')",-1.2011701,-1.218241,-1.3090596,-1.2556857,0.0533739
93,1.4006827,1.4660844,"('dominating', 'dominated')",-0.109985195,-0.26749402,0.6453487,0.5992951,-0.0460536
76,1.3765864,1.4130486,"('secure', 'insecure')",-0.38263506,-0.26962233,0.4969757,0.5717131,0.0747374
56,1.355278,1.4053565,"('intelligent', 'dumb')",0.32186404,0.22502258,0.838571,0.8151895,-0.0233815
98,-1.3000008,-1.4195164,"('prestigious', 'insignificant')",-0.48768127,-0.5970609,-0.893841,-1.0082886,-0.1144476
103,1.2928448,1.479486,"('traditional', 'modern')",1.4248486,1.4347029,1.3588467,1.4570944,0.0982477
69,-1.2723409,-1.3670168,"('wise', 'foolish')",-0.49858183,-0.31653446,-0.8854613,-0.8417757,0.0436856
84,-1.2632644,-1.3951302,"('self-confident', 'diffident')",-0.7134869,-0.6776919,-0.9883757,-1.036411,-0.0480353
80,1.2556896,1.2793367,"('independent', 'dependent')",0.56212085,0.64380896,0.9089053,0.9615728,0.0526675
34,-1.2407395,-1.1446596,"('loyal', 'disloyal')",-1.4347495,-1.26946,-1.3377445,-1.2070599,0.1306846
107,1.2284702,1.4767241,"('conventional', 'modern')",2.317912,2.4004447,1.7731912,1.9385844,0.1653932
60,1.1824805,1.3595561,"('educated', 'uneducated')",0.023191184,0.17338324,0.6028358,0.7664697,0.1636339
16,1.174762,1.4605669,"('social', 'antisocial')",-0.09575555,-0.0132716,0.5395032,0.7236477,0.1841445
64,1.161838,1.2994007,"('clever', 'incompetent')",-0.16062523,-0.17125924,0.5006064,0.5640707,0.0634643
78,1.1600637,0.9400183,"('active', 'inactive')",1.2374089,1.0112218,1.1987363,0.97562,-0.2231163
31,-1.1434495,-1.1904567,"('altruistic', 'egoistic')",-0.6768621,-0.42524296,-0.9101558,-0.8078499,0.1023059
13,-1.1251109,-1.2089983,"('helpful', 'unhelpful')",-1.9416857,-2.1605744,-1.5333983,-1.6847863,-0.151388
8,-1.0999299,-1.2777662,"('open', 'distant')",-0.31112206,-0.3873872,-0.705526,-0.8325767,-0.1270507
38,-1.0841614,-0.8832927,"('kind', 'unkind')",-1.0583853,-0.89796406,-1.0712733,-0.8906283,0.180645
58,-1.002012,-0.9084965,"('able', 'clumsy')",-0.5466217,-0.5141622,-0.7743168,-0.7113293,0.0629875
72,-0.97718257,-0.6923915,"('logical', 'illogical')",-0.28855318,-0.1183579,-0.6328679,-0.4053747,0.2274932
42,-0.8945451,-0.9264281,"('amicable', 'hostile')",0.0006996989,0.3527699,-0.4469227,-0.2868291,0.1600936
26,0.8603176,0.8855914,"('trustworthy', 'untrustworthy')",-0.1403977,-0.11761686,0.35996,0.3839872,0.0240272
2,0.8065225,0.9705119,"('friendly', 'unfriendly')",-0.9057683,-0.9690632,-0.0496229,0.0007243,0.0503472
88,0.7880293,0.67584574,"('impulsive', 'meek')",0.6325371,0.5480077,0.7102832,0.6119267,-0.0983565
62,-0.78600216,-0.7276423,"('creative', 'uncreative')",-0.2259494,-0.18085468,-0.5059758,-0.4542485,0.0517273
92,-0.76903147,-0.9086853,"('unwavering', 'wavering')",-0.51220614,-0.61145514,-0.6406188,-0.7600702,-0.1194514
5,0.76567304,0.9311114,"('pleasant', 'repellent')",0.5084083,0.31694922,0.6370407,0.6240303,-0.0130104
89,0.73657125,0.814932,"('daring', 'anxious')",-0.9986146,-1.1726816,-0.1310217,-0.1788748,-0.0478531
81,0.7343695,0.6021253,"('industrious', 'lazy')",-0.023115575,0.094863266,0.355627,0.3484943,-0.0071327
97,-0.71330523,-0.7388779,"('superior', 'inferior')",-0.95727354,-0.8226222,-0.8352894,-0.78075,0.0545394
49,-0.6987853,-0.68021446,"('responsible', 'irresponsible')",-1.5461802,-1.7526569,-1.1224828,-1.2164357,-0.0939529
39,-0.6801202,-0.6944445,"('right', 'wrong')",-0.3203309,-0.032197565,-0.5002255,-0.363321,0.1369045
65,0.66802603,0.5658718,"('practical', 'impractical')",-1.3870564,-1.4802618,-0.3595152,-0.457195,-0.0976798
41,-0.6624181,-0.65419126,"('incorrupt', 'corrupt')",0.29701072,0.5737169,-0.1827037,-0.0402372,0.1424665
