,Avery_male,Avery_female,tuple,Dennison_male,Dennison_female,average_male,average_female,female-male
75,5.629755,5.396422,"('confident', 'shy')",3.4407008,3.569685,4.5352278,4.4830532,-0.0521746
6,4.6725874,4.6792197,"('liked', 'disliked')",0.7420884,0.8762881,2.7073379,2.7777538,0.0704159
27,-4.2073426,-4.25774,"('sincere', 'insincere')",-1.2210658,-1.1823887,-2.7142043,-2.7200644,-0.0058601
95,-3.6329374,-3.7489707,"('rich', 'poor')",-1.5989821,-1.7203317,-2.6159596,-2.7346511,-0.1186915
53,-3.6284668,-3.4822116,"('smart', 'stupid')",-1.2281177,-1.1760478,-2.4282923,-2.3291297,0.0991626
40,-3.035383,-3.197054,"('honorable', 'mean')",-1.4800816,-1.6378596,-2.2577324,-2.4174566,-0.1597242
86,2.741657,2.4271984,"('self-reliant', 'helpless')",0.10864097,0.07702136,1.425149,1.2521099,-0.1730391
48,2.3555303,2.0804205,"('reliable', 'unreliable')",0.8709521,0.9348787,1.6132412,1.5076497,-0.1055915
3,2.1380987,1.8771191,"('likable', 'unlikable')",0.77820224,0.73769104,1.4581505,1.307405,-0.1507455
32,-2.0678835,-1.5161986,"('benevolent', 'hardhearted')",-1.3793194,-1.2924376,-1.7236015,-1.4043181,0.3192834
50,1.8367673,1.5576423,"('unprejudiced', 'prejudiced')",1.3608785,1.3135264,1.5988228,1.4355843,-0.1632385
66,1.8296015,1.8145875,"('imaginative', 'unimaginative')",0.47209907,0.73364246,1.1508503,1.274115,0.1232647
37,1.78291,1.8943429,"('good', 'evil')",-0.042395383,-0.08188352,0.8702573,0.9062297,0.0359724
11,-1.7741394,-1.8050923,"('caring', 'unaffectionate')",-1.6930532,-1.5613743,-1.7335963,-1.6832333,0.050363
33,-1.6308148,-1.3745627,"('softhearted', 'hardhearted')",-1.1863179,-0.9579238,-1.4085664,-1.1662433,0.2423231
88,1.567982,1.504698,"('impulsive', 'meek')",-1.2300677,-1.2416207,0.1689571,0.1315387,-0.0374184
28,-1.5514114,-1.5904065,"('honest', 'dishonest')",0.076628685,0.24003017,-0.7373914,-0.6751882,0.0622032
13,-1.4543574,-1.7050235,"('helpful', 'unhelpful')",-0.29444176,-0.264612,-0.8743995,-0.9848177,-0.1104182
1,-1.4088665,-1.1414732,"('friendly', 'unfriendly')",-1.6948571,-1.5728157,-1.5518618,-1.3571444,0.1947174
35,1.3712028,1.5129511,"('fair', 'unfair')",-0.10721595,0.0121448785,0.6319934,0.762548,0.1305546
58,-1.3668586,-1.2475156,"('able', 'clumsy')",0.60716957,0.76081777,-0.3798445,-0.2433489,0.1364956
107,1.365952,1.2674544,"('conventional', 'modern')",1.3294191,1.468719,1.3476856,1.3680867,0.0204011
