,U.S._male,U.S._female,tuple,Bancorp_male,Bancorp_female,average_male,average_female,female-male
107,2.3496718,2.2348301,"('conventional', 'modern')",0.7072627,0.7468981,1.5284673,1.4908642,-0.0376031
99,-2.2700944,-1.9890828,"('prestigious', 'insignificant')",-1.6432478,-1.6205676,-1.9566711,-1.8048252,0.1518459
12,2.1579804,1.748511,"('sympathetic', 'unsympathetic')",0.8903381,0.868203,1.5241593,1.308357,-0.2158023
71,2.0481374,1.5491221,"('efficient', 'inefficient')",0.9071928,0.7381715,1.4776652,1.1436468,-0.3340184
52,2.0419455,1.801054,"('competitive', 'uncompetitive')",0.7045561,0.587734,1.3732507,1.194394,-0.1788567
5,1.9559774,1.6429478,"('pleasant', 'repellent')",0.9084768,0.8164811,1.4322271,1.2297144,-0.2025127
82,-1.8918446,-1.542979,"('industrious', 'meek')",-1.6500076,-1.6915199,-1.7709261,-1.6172495,0.1536766
104,-1.875699,-1.8040028,"('conventional', 'unconventional')",-1.9521056,-1.7449565,-1.9139023,-1.7744796,0.1394227
81,-1.8723749,-1.6403482,"('industrious', 'lazy')",-0.9256076,-0.9690464,-1.3989912,-1.3046973,0.0942939
98,-1.8498929,-1.7514066,"('prestigious', 'insignificant')",-1.2728796,-1.2997985,-1.5613862,-1.5256026,0.0357836
109,1.7185328,1.4644899,"('conservative', 'liberal')",1.4371928,1.3140886,1.5778627,1.3892893,-0.1885734
108,1.7185328,1.4644899,"('conservative', 'liberal')",1.4371928,1.3140886,1.5778627,1.3892893,-0.1885734
39,-1.7095915,-1.4731652,"('right', 'wrong')",-1.0295559,-1.022142,-1.3695737,-1.2476536,0.1219201
31,-1.6716664,-1.3497744,"('altruistic', 'egoistic')",-1.1888916,-1.1287175,-1.430279,-1.2392459,0.1910331
83,1.6285422,1.3852878,"('energetic', 'lethargic')",0.74765813,0.6679717,1.1881001,1.0266297,-0.1614704
89,1.6161405,1.238819,"('daring', 'anxious')",0.10827595,0.018494248,0.8622082,0.6286566,-0.2335516
103,1.5893896,1.5417342,"('traditional', 'modern')",1.5907371,1.6471696,1.5900633,1.5944519,0.0043886
49,1.4567003,1.0690777,"('responsible', 'irresponsible')",0.14938444,0.15321398,0.8030424,0.6111459,-0.1918965
20,-1.4247746,-1.1741277,"('popular', 'unpopular')",-0.74231505,-0.7885612,-1.0835449,-0.9813445,0.1022004
16,1.392916,1.227737,"('social', 'antisocial')",1.1203579,1.2463018,1.2566369,1.2370193,-0.0196176
2,1.3907294,1.1474696,"('friendly', 'unfriendly')",0.98237884,1.0158964,1.1865542,1.081683,-0.1048712
15,1.3710814,1.1565043,"('polite', 'impolite')",0.9586724,0.9947108,1.1648769,1.0756075,-0.0892694
69,-1.3422544,-1.0118474,"('wise', 'foolish')",-0.75620973,-0.6646353,-1.049232,-0.8382413,0.2109907
75,1.3321098,1.2218987,"('confident', 'shy')",3.9559584,3.918367,2.6440341,2.5701327,-0.0739014
8,-1.3077148,-1.2506622,"('open', 'distant')",-1.3943311,-1.3638518,-1.351023,-1.3072569,0.0437661
43,1.2918526,1.1862144,"('genuine', 'fake')",0.75778544,0.7781953,1.024819,0.9822049,-0.0426141
94,1.2479987,1.1470782,"('aggressive', 'submissive')",1.6370896,1.5175633,1.4425442,1.3323207,-0.1102235
86,-1.237215,-1.2569509,"('self-reliant', 'helpless')",1.0362083,1.010013,-0.1005034,-0.1234689,-0.0229655
51,1.2344406,0.93971294,"('competent', 'incompetent')",1.1862221,1.1249589,1.2103313,1.0323359,-0.1779954
4,-1.2313313,-1.2712153,"('likable', 'unlikable')",-1.775878,-1.7547967,-1.5036047,-1.513006,-0.0094013
100,1.1032028,1.0884458,"('influential', 'uninfluential')",0.57871866,0.7319133,0.8409607,0.9101796,0.0692189
93,1.102371,0.9592023,"('dominating', 'dominated')",0.74531984,0.6895354,0.9238454,0.8243688,-0.0994766
66,1.0927455,1.0388699,"('imaginative', 'unimaginative')",1.7179403,1.65001,1.4053429,1.34444,-0.0609029
92,-1.0854437,-1.1164958,"('unwavering', 'wavering')",-1.120909,-1.2074308,-1.1031764,-1.1619633,-0.0587869
70,1.034648,1.0197101,"('wise', 'unwise')",0.554556,0.5293754,0.794602,0.7745427,-0.0200593
41,-1.0238142,-0.5498511,"('incorrupt', 'corrupt')",-0.48872757,-0.4449134,-0.7562709,-0.4973823,0.2588886
37,-0.9526807,-0.81955653,"('good', 'evil')",-0.15605378,-0.12794459,-0.5543672,-0.4737506,0.0806166
63,-0.94630986,-0.9489276,"('capable', 'incapable')",-1.6264732,-1.717666,-1.2863915,-1.3332968,-0.0469053
61,-0.9461508,-0.55378747,"('rational', 'irrational')",-0.5411999,-0.39992988,-0.7436754,-0.4768587,0.2668167
64,0.9402639,0.7474258,"('clever', 'incompetent')",1.1806188,1.1215322,1.0604414,0.934479,-0.1259624
58,0.9056715,0.73666763,"('able', 'clumsy')",0.846349,1.1035004,0.8760102,0.920084,0.0440738
76,0.87558675,0.8795302,"('secure', 'insecure')",0.73235166,0.80439377,0.8039692,0.841962,0.0379928
95,0.8677927,0.92751765,"('rich', 'poor')",-2.3431773,-2.338536,-0.7376923,-0.7055092,0.0321831
101,-0.8418807,-0.818748,"('successful', 'unsuccessful')",-1.0689604,-1.1436951,-0.9554206,-0.9812216,-0.025801
27,0.81918883,0.6837505,"('sincere', 'insincere')",-3.205456,-3.165012,-1.1931336,-1.2406306,-0.047497
56,-0.8079483,-1.0229475,"('intelligent', 'dumb')",1.330745,1.1967142,0.2613983,0.0868833,-0.174515
6,-0.7865796,-0.6374426,"('liked', 'disliked')",2.640136,2.584316,0.9267782,0.9734367,0.0466585
21,0.77977484,0.6540998,"('nice', 'nasty')",-0.006022811,-0.14121103,0.386876,0.2564444,-0.1304316
22,-0.77879596,-0.9047844,"('welcoming', 'disagreeable')",0.5323168,0.644789,-0.1232396,-0.1299977,-0.0067581
34,-0.76154435,-0.5534173,"('loyal', 'disloyal')",-0.3385063,-0.17570406,-0.5500253,-0.3645607,0.1854646
19,-0.75451744,-0.40871638,"('funny', 'boring')",-1.2222027,-1.1212437,-0.98836,-0.7649801,0.2233799
48,-0.7460825,-0.9930329,"('reliable', 'unreliable')",0.9996687,0.93838084,0.1267931,-0.027326,-0.1541191
50,0.74422854,0.71320534,"('unprejudiced', 'prejudiced')",1.2125082,1.0245948,0.9783684,0.8689001,-0.1094683
1,-0.7343478,-0.41821492,"('friendly', 'unfriendly')",-1.9504515,-1.704984,-1.3423996,-1.0615995,0.2808001
32,-0.7212346,-0.4619943,"('benevolent', 'hardhearted')",-2.0572102,-1.753067,-1.3892224,-1.1075306,0.2816918
79,-0.7026809,-0.66389155,"('determined', 'doubtful')",0.11211574,0.1276528,-0.2952826,-0.2681194,0.0271632
80,0.6587845,0.5491862,"('independent', 'dependent')",1.9204822,1.8431057,1.2896333,1.196146,-0.0934873
13,0.65284216,0.45859197,"('helpful', 'unhelpful')",-0.5472739,-0.6868075,0.0527841,-0.1141078,-0.1668919
102,-0.6419854,-0.56507015,"('eminent', 'low')",0.61653227,0.66700196,-0.0127266,0.0509659,0.0636925
54,0.6216651,0.4355309,"('smart', 'stupid')",-0.3407641,-0.42356682,0.1404505,0.005982,-0.1344685
84,-0.59192336,-0.59481865,"('self-confident', 'diffident')",-0.7451241,-0.79094815,-0.6685237,-0.6928834,-0.0243597
30,0.583708,0.44568866,"('honest', 'dishonest')",-0.26887566,-0.38594738,0.1574162,0.0298706,-0.1275456
97,-0.5766142,-0.32194802,"('superior', 'inferior')",-0.08142984,-0.019002646,-0.329022,-0.1704753,0.1585467
90,0.5759302,0.35137543,"('motivated', 'unmotivated')",0.6862351,0.418307,0.6310827,0.3848412,-0.2462415
46,-0.5700836,-0.5737914,"('generous', 'stingy')",-0.21150649,-0.036741257,-0.3907951,-0.3052663,0.0855288
105,0.54004526,0.5864988,"('conventional', 'modern')",-1.2953658,-1.1114111,-0.3776603,-0.2624561,0.1152042
9,0.53952134,0.3256278,"('sensitive', 'insensitive')",-0.11854616,-0.15306452,0.2104876,0.0862816,-0.124206
0,0.53793126,0.51776004,"('sociable', 'unsociable')",0.087992996,0.22138533,0.3129621,0.3695727,0.0566106
65,0.4852546,0.18354344,"('practical', 'impractical')",-0.052075416,-0.070654005,0.2165896,0.0564447,-0.1601449
42,-0.46544307,-0.10950583,"('amicable', 'hostile')",-1.731288,-1.5895256,-1.0983655,-0.8495157,0.2488498
29,0.46187934,0.30472177,"('honest', 'immoral')",-0.39282596,-0.479307,0.0345267,-0.0872926,-0.1218193
78,0.45772234,0.16229653,"('active', 'inactive')",-0.2347016,-0.44312757,0.1115104,-0.1404155,-0.2519259
10,-0.43266392,-0.16792405,"('affectionate', 'unaffectionate')",-1.5623269,-1.3205888,-0.9974954,-0.7442564,0.253239
53,-0.4090774,-0.40185928,"('smart', 'stupid')",-2.4701188,-2.4461064,-1.4395981,-1.4239829,0.0156152
7,-0.39443043,-0.32762837,"('outgoing', 'distant')",-1.2778671,-1.324124,-0.8361487,-0.8258762,0.0102725
3,0.38941765,0.24814442,"('likable', 'unlikable')",0.22545908,0.18522127,0.3074384,0.2166829,-0.0907555
35,0.38576585,0.39694977,"('fair', 'unfair')",0.5353263,0.46784583,0.4605461,0.4323978,-0.0281483
57,-0.33025363,-0.40701652,"('able', 'unable')",0.5531497,0.41502818,0.111448,0.0040058,-0.1074422
11,-0.32820642,-0.3355367,"('caring', 'unaffectionate')",-2.2525544,-2.1560955,-1.2903805,-1.2458161,0.0445644
36,0.3191456,0.17147596,"('tolerant', 'intolerant')",0.7283498,0.7550156,0.5237477,0.4632458,-0.0605019
59,-0.3068942,-0.25285864,"('skillful', 'clumsy')",-0.5590751,-0.5918952,-0.4329847,-0.4223769,0.0106078
67,0.28766254,0.32447284,"('discriminating', 'undiscriminating')",-0.9567169,-0.9573529,-0.3345272,-0.31644,0.0180872
60,0.2534653,0.20449042,"('educated', 'uneducated')",1.3860749,1.3720744,0.8197701,0.7882824,-0.0314877
