,Teleflex_male,Teleflex_female,tuple,average_male,average_female,female-male
12,2.8118646,2.7296286,"('sympathetic', 'unsympathetic')",2.8118646,2.7296286,-0.082236
52,2.7354221,2.6852908,"('competitive', 'uncompetitive')",2.7354221,2.6852908,-0.0501313
41,-2.5671158,-2.3908029,"('incorrupt', 'corrupt')",-2.5671158,-2.3908029,0.1763129
2,2.4390388,2.4239259,"('friendly', 'unfriendly')",2.4390388,2.4239259,-0.0151129
81,-2.3767958,-2.3078535,"('industrious', 'lazy')",-2.3767958,-2.3078535,0.0689423
71,2.2642295,2.1511443,"('efficient', 'inefficient')",2.2642295,2.1511443,-0.1130852
0,2.2638664,2.294863,"('sociable', 'unsociable')",2.2638664,2.294863,0.0309966
100,2.1231246,2.268951,"('influential', 'uninfluential')",2.1231246,2.2689509,0.1458263
14,2.0312667,1.945557,"('supportive', 'unsupportive')",2.0312667,1.945557,-0.0857097
64,2.018272,1.9361925,"('clever', 'incompetent')",2.0182719,1.9361925,-0.0820794
15,2.0166316,1.9770991,"('polite', 'impolite')",2.0166316,1.9770991,-0.0395325
82,-1.9873414,-1.8839321,"('industrious', 'meek')",-1.9873414,-1.8839321,0.1034093
51,1.9723085,1.8699919,"('competent', 'incompetent')",1.9723085,1.8699919,-0.1023166
109,1.8738525,1.8882204,"('conservative', 'liberal')",1.8738525,1.8882204,0.0143679
108,1.8738525,1.8882204,"('conservative', 'liberal')",1.8738525,1.8882204,0.0143679
94,1.7701473,1.6725605,"('aggressive', 'submissive')",1.7701473,1.6725605,-0.0975868
9,1.7489665,1.7014908,"('sensitive', 'insensitive')",1.7489665,1.7014908,-0.0474757
49,1.7424495,1.6061511,"('responsible', 'irresponsible')",1.7424495,1.6061511,-0.1362984
74,1.6939049,1.6412296,"('insightful', 'unperceptive')",1.6939049,1.6412296,-0.0526753
31,-1.6842134,-1.5795197,"('altruistic', 'egoistic')",-1.6842134,-1.5795197,0.1046937
76,1.6605856,1.678749,"('secure', 'insecure')",1.6605856,1.678749,0.0181634
83,1.6563487,1.5574387,"('energetic', 'lethargic')",1.6563487,1.5574387,-0.09891
66,1.6268361,1.5804354,"('imaginative', 'unimaginative')",1.6268361,1.5804354,-0.0464007
13,1.6177124,1.5561771,"('helpful', 'unhelpful')",1.6177124,1.5561771,-0.0615353
55,1.6107793,1.6434168,"('intelligent', 'unintelligent')",1.6107793,1.6434168,0.0326375
69,-1.4839149,-1.43314,"('wise', 'foolish')",-1.4839149,-1.43314,0.0507749
42,-1.4762263,-1.2135572,"('amicable', 'hostile')",-1.4762263,-1.2135572,0.2626691
36,1.4671991,1.4496465,"('tolerant', 'intolerant')",1.4671991,1.4496465,-0.0175526
92,-1.4590745,-1.3898193,"('unwavering', 'wavering')",-1.4590745,-1.3898193,0.0692552
25,1.4255795,1.4358678,"('moral', 'immoral')",1.4255795,1.4358678,0.0102883
60,1.4252405,1.4769002,"('educated', 'uneducated')",1.4252405,1.4769002,0.0516597
75,1.3810651,1.322678,"('confident', 'shy')",1.3810651,1.322678,-0.0583871
73,1.3783132,1.2079146,"('brilliant', 'incompetent')",1.3783132,1.2079146,-0.1703986
16,1.3689082,1.2894212,"('social', 'antisocial')",1.3689082,1.2894212,-0.079487
91,1.3054037,1.331184,"('resilient', 'nonresilient')",1.3054037,1.331184,0.0257803
27,1.2834778,1.2998228,"('sincere', 'insincere')",1.2834778,1.2998228,0.016345
99,-1.2447263,-1.1452761,"('prestigious', 'insignificant')",-1.2447263,-1.1452761,0.0994502
8,-1.2177471,-1.1544911,"('open', 'distant')",-1.2177471,-1.1544911,0.063256
107,1.2175808,1.1836109,"('conventional', 'modern')",1.2175808,1.1836109,-0.0339699
5,1.1919473,1.1088558,"('pleasant', 'repellent')",1.1919473,1.1088558,-0.0830915
30,1.1579716,1.1776005,"('honest', 'dishonest')",1.1579716,1.1776005,0.0196289
61,-1.1462281,-0.88235253,"('rational', 'irrational')",-1.1462281,-0.8823525,0.2638756
90,1.140419,1.0991738,"('motivated', 'unmotivated')",1.140419,1.0991738,-0.0412452
26,1.0991861,1.1252561,"('trustworthy', 'untrustworthy')",1.0991861,1.1252561,0.02607
98,-1.067632,-0.9721586,"('prestigious', 'insignificant')",-1.067632,-0.9721586,0.0954734
58,1.0587487,1.0417795,"('able', 'clumsy')",1.0587487,1.0417795,-0.0169692
103,1.0378581,1.1505046,"('traditional', 'modern')",1.0378581,1.1505046,0.1126465
7,-1.0128824,-1.0132654,"('outgoing', 'distant')",-1.0128824,-1.0132654,-0.000383
88,-0.95960206,-0.96797734,"('impulsive', 'meek')",-0.9596021,-0.9679773,-0.0083752
28,0.9390271,0.94134086,"('honest', 'dishonest')",0.9390271,0.9413409,0.0023138
19,-0.9215604,-0.88292533,"('funny', 'boring')",-0.9215604,-0.8829253,0.0386351
89,0.9138555,0.76991045,"('daring', 'anxious')",0.9138555,0.7699105,-0.143945
80,0.9086851,1.0066692,"('independent', 'dependent')",0.9086851,1.0066692,0.0979841
37,-0.8862658,-0.88622016,"('good', 'evil')",-0.8862658,-0.8862202,4.56e-05
104,-0.8665981,-0.6425606,"('conventional', 'unconventional')",-0.8665981,-0.6425606,0.2240375
50,-0.8331669,-0.893917,"('unprejudiced', 'prejudiced')",-0.8331669,-0.893917,-0.0607501
4,-0.82814103,-0.8753784,"('likable', 'unlikable')",-0.828141,-0.8753784,-0.0472374
39,-0.7629733,-0.60021615,"('right', 'wrong')",-0.7629733,-0.6002162,0.1627571
47,0.74233454,0.8044032,"('forgiving', 'unforgiving')",0.7423345,0.8044032,0.0620687
70,0.72604716,0.80526066,"('wise', 'unwise')",0.7260472,0.8052607,0.0792135
93,0.70815724,0.6953457,"('dominating', 'dominated')",0.7081572,0.6953457,-0.0128115
20,-0.70670223,-0.7136642,"('popular', 'unpopular')",-0.7067022,-0.7136642,-0.006962
48,0.6850852,0.5203779,"('reliable', 'unreliable')",0.6850852,0.5203779,-0.1647073
