,Nielsen_male,Nielsen_female,tuple,Holdings_male,Holdings_female,average_male,average_female,female-male
3,4.4758115,4.6616774,"('liked', 'disliked')",4.7999625,4.922592,4.637887001037598,4.792134761810303,0.15424776077270508
50,-4.3629017,-4.8107824,"('rich', 'poor')",-6.3864164,-6.896472,-5.374659061431885,-5.8536272048950195,-0.47896814346313477
30,-3.0242429,-3.235165,"('smart', 'stupid')",-4.5411077,-4.6372824,-3.782675266265869,-3.9362237453460693,-0.1535484790802002
28,2.2803478,2.3138878,"('unprejudiced', 'prejudiced')",2.525052,2.5821576,2.4026999473571777,2.4480228424072266,0.04532289505004883
15,-2.2771015,-2.099111,"('loyal', 'disloyal')",-2.0474734,-2.0751586,-2.162287473678589,-2.087134838104248,0.07515263557434082
26,1.9347434,2.1701722,"('reliable', 'unreliable')",2.2076168,2.184045,2.0711801052093506,2.1771087646484375,0.10592865943908691
24,1.9322721,2.274558,"('generous', 'stingy')",2.012135,2.260336,1.9722034931182861,2.267446994781494,0.295243501663208
44,1.8176166,1.4338148,"('active', 'inactive')",1.5063173,1.2957523,1.6619669198989868,1.364783525466919,-0.29718339443206787
1,-1.7176323,-1.7829876,"('friendly', 'unfriendly')",-0.8443091,-0.73054564,-1.2809706926345825,-1.2567665576934814,0.024204134941101074
19,-1.5836117,-1.3587832,"('kind', 'unkind')",-2.1110625,-2.1741424,-1.8473371267318726,-1.766462802886963,0.08087432384490967
57,1.5320593,1.8930224,"('conservative', 'liberal')",-0.5183059,-0.70227265,0.5068767070770264,0.5953748822212219,0.08849817514419556
41,1.4657277,1.3190986,"('confident', 'shy')",0.68430835,0.7989827,1.075018048286438,1.0590406656265259,-0.01597738265991211
7,1.4617109,1.8458843,"('polite', 'impolite')",0.0027109832,0.09257588,0.7322109341621399,0.9692301154136658,0.23701918125152588
5,-1.4025027,-1.2497251,"('helpful', 'unhelpful')",-3.0220122,-3.119163,-2.2122573852539062,-2.184443950653076,0.027813434600830078
33,-1.1835864,-1.0115496,"('educated', 'uneducated')",-1.6694813,-1.960857,-1.426533818244934,-1.4862033128738403,-0.05966949462890625
45,1.1811287,1.0462682,"('independent', 'dependent')",0.57112694,0.26032668,0.8761278390884399,0.6532974243164062,-0.2228304147720337
53,-1.0489357,-0.7158286,"('influential', 'uninfluential')",-1.2892718,-1.0903666,-1.169103741645813,-0.9030976295471191,0.26600611209869385
49,0.9743405,0.75120497,"('motivated', 'unmotivated')",0.27812344,-0.05965805,0.6262319684028625,0.34577345848083496,-0.2804585099220276
14,-0.9385518,-0.8629168,"('honest', 'dishonest')",-1.8094034,-1.8929139,-1.3739776611328125,-1.377915382385254,-0.003937721252441406
