,Walgreens_male,Walgreens_female,tuple,Boots_male,Boots_female,Alliance_male,Alliance_female,average_male,average_female,female-male
75,2.3365827,2.3089113,"('confident', 'shy')",6.8878374,6.7830687,5.483932,5.523814,4.9027843,4.8719314,-0.0308529
94,2.2610574,2.3688474,"('aggressive', 'submissive')",1.2027342,1.1419598,0.57299554,0.24733548,1.3455957,1.2527142,-0.0928815
12,2.019627,2.0531623,"('sympathetic', 'unsympathetic')",0.07569349,-0.028210312,-1.0842204,-1.3433018,0.3370334,0.2272167,-0.1098167
25,1.9807009,1.6796879,"('moral', 'immoral')",0.8249183,0.6695876,-0.0596703,-0.46307355,0.9153163,0.628734,-0.2865823
16,1.6966605,1.7993271,"('social', 'antisocial')",1.0813484,1.1990991,-0.08915992,-0.14883609,0.896283,0.9498634,0.0535804
109,1.6935353,1.4783536,"('conservative', 'liberal')",1.9602815,1.8366585,0.5143756,0.3125332,1.3893975,1.2091817,-0.1802158
108,1.6935353,1.4783536,"('conservative', 'liberal')",1.9602815,1.8366585,0.5143756,0.3125332,1.3893975,1.2091817,-0.1802158
90,1.6559309,1.3093561,"('motivated', 'unmotivated')",1.225199,1.052639,0.7742908,0.53604376,1.2184735,0.966013,-0.2524605
5,1.6419337,1.483247,"('pleasant', 'repellent')",1.092883,1.014788,-0.029975563,-0.09539558,0.9016136,0.8008798,-0.1007338
2,1.58563,1.7339119,"('friendly', 'unfriendly')",0.5646435,0.5944352,-0.7792438,-1.0274909,0.4570099,0.4336188,-0.0233911
8,-1.5733919,-1.6428528,"('open', 'distant')",-0.9978571,-1.0033917,-0.46836454,-0.3663271,-1.0132045,-1.0041905,0.009014
104,-1.5660748,-1.3546711,"('conventional', 'unconventional')",-1.7865542,-1.4862108,-0.9350022,-0.72567964,-1.4292105,-1.1888538,0.2403567
66,1.5655664,1.7098637,"('imaginative', 'unimaginative')",2.9034657,2.8904014,1.9728773,2.0399878,2.1473033,2.2134177,0.0661144
99,-1.5582142,-1.7296265,"('prestigious', 'insignificant')",-1.1388576,-1.0923978,0.03383632,0.2555644,-0.8877451,-0.8554866,0.0322585
103,1.5035137,1.5955045,"('traditional', 'modern')",1.0917346,1.2388794,0.6839304,0.56887496,1.0930595,1.1344196,0.0413601
98,-1.4584363,-1.4819036,"('prestigious', 'insignificant')",-0.90354735,-0.74379337,-0.25296682,-0.1286583,-0.8716501,-0.7847851,0.086865
100,1.431498,1.612942,"('influential', 'uninfluential')",-0.7418723,-0.5186194,-0.7327803,-0.49969617,-0.0143848,0.1982088,0.2125936
101,-1.3993418,-1.3681971,"('successful', 'unsuccessful')",-0.6038424,-0.72540456,-0.039412826,-0.16312751,-0.6808657,-0.752243,-0.0713773
15,1.3976564,1.3448641,"('polite', 'impolite')",1.5840499,1.5668193,0.44995514,0.45810252,1.1438872,1.123262,-0.0206252
40,-1.3490636,-1.5239108,"('honorable', 'mean')",-4.1804514,-4.312527,-4.6923094,-5.045623,-3.4072749,-3.6273537,-0.2200788
55,1.3054012,1.3527187,"('intelligent', 'unintelligent')",-0.52439547,-0.6153244,-0.8960685,-0.9536615,-0.0383543,-0.0720891,-0.0337348
81,-1.2821711,-1.6057487,"('industrious', 'lazy')",0.5218111,0.39757448,1.0178261,1.0554677,0.085822,-0.0509022,-0.1367242
71,1.2682947,1.1122375,"('efficient', 'inefficient')",0.5788996,0.3272789,-0.5691736,-0.88486075,0.4260069,0.1848852,-0.2411217
53,-1.2488992,-1.3551013,"('smart', 'stupid')",-4.7264166,-4.6802473,-4.869001,-5.0354657,-3.6147722,-3.6902714,-0.0754992
42,-1.2349207,-1.326303,"('amicable', 'hostile')",-1.0334313,-0.8319355,0.49831074,0.73332936,-0.5900137,-0.4749697,0.115044
80,1.2166336,1.1993321,"('independent', 'dependent')",1.377488,1.3132979,0.29954612,0.34985602,0.9645559,0.954162,-0.0103939
41,-1.2052219,-1.1226445,"('incorrupt', 'corrupt')",-0.47138333,-0.37594676,0.70015275,1.0332762,-0.3254842,-0.155105,0.1703792
95,-1.2006834,-1.1502007,"('rich', 'poor')",-5.0062532,-4.9664726,-4.9863615,-5.138629,-3.7310994,-3.7517675,-0.0206681
76,1.1694187,1.3441707,"('secure', 'insecure')",1.3951423,1.3227024,-0.3692025,-0.5672194,0.7317861,0.6998846,-0.0319015
85,1.1351631,1.3147566,"('ambitious', 'unambitious')",0.3231948,0.3770188,-0.5494267,-0.48799285,0.302977,0.4012609,0.0982839
89,1.1325752,0.9793333,"('daring', 'anxious')",0.74554574,0.59451824,0.04152739,-0.062100053,0.6398828,0.5039172,-0.1359656
63,-1.1170337,-1.1823426,"('capable', 'incapable')",-0.8106985,-0.881955,-1.3872333,-1.5407664,-1.1049885,-1.201688,-0.0966995
1,-1.1161146,-0.9973304,"('friendly', 'unfriendly')",-2.597521,-2.3332038,-1.7736673,-1.5461757,-1.8291009,-1.62557,0.2035309
64,1.0854466,1.0533382,"('clever', 'incompetent')",0.3738375,0.2599855,-0.25086915,-0.45942032,0.402805,0.2846345,-0.1181705
83,1.0608642,1.2192154,"('energetic', 'lethargic')",0.54840183,0.5376867,-1.1995397,-1.4296298,0.1365755,0.1090908,-0.0274847
32,-1.0443195,-0.83894813,"('benevolent', 'hardhearted')",-2.0562103,-1.6865219,-1.8803566,-1.785013,-1.6602955,-1.4368277,0.2234678
7,-1.0361902,-1.1018918,"('outgoing', 'distant')",-0.69134927,-0.7824632,0.101924896,0.13245882,-0.5418715,-0.5839654,-0.0420939
58,1.0361027,1.3098829,"('able', 'clumsy')",-0.09943846,0.12996154,-1.6491488,-1.6517754,-0.2374949,-0.0706437,0.1668512
82,-1.0266949,-1.1819357,"('industrious', 'meek')",-0.657289,-0.6069117,0.6593052,0.78871644,-0.3415596,-0.333377,0.0081826
36,1.0021658,1.0954581,"('tolerant', 'intolerant')",0.2974163,0.25298375,-0.83452857,-1.0368073,0.1550179,0.1038782,-0.0511397
107,0.992639,0.8906713,"('conventional', 'modern')",1.3184729,1.3762436,0.90581554,0.96021605,1.0723092,1.0757103,0.0034011
74,0.9618195,0.8648782,"('insightful', 'unperceptive')",-0.9100146,-0.9273906,-1.3302042,-1.4262171,-0.4261331,-0.4962432,-0.0701101
60,0.9440927,1.0009661,"('educated', 'uneducated')",0.3808147,0.49395987,0.206047,0.26250586,0.5103181,0.5858106,0.0754925
10,-0.9349657,-0.76752627,"('affectionate', 'unaffectionate')",-1.9387566,-1.681332,-0.8110112,-0.56720275,-1.2282445,-1.0053537,0.2228908
26,0.9207505,1.1780131,"('trustworthy', 'untrustworthy')",1.3143451,1.3687725,-0.35056135,-0.47322273,0.628178,0.6911876,0.0630096
52,0.9180521,0.9179193,"('competitive', 'uncompetitive')",0.92696476,0.9344576,-0.10276574,-0.21625656,0.5807504,0.5453734,-0.035377
92,-0.90803087,-1.044722,"('unwavering', 'wavering')",-0.811405,-0.81807613,-0.06380537,-0.032630622,-0.5944138,-0.6318096,-0.0373958
23,-0.89439917,-0.9904226,"('hospitable', 'inhospitable')",0.061817765,-0.090893984,0.43438935,0.39310235,-0.1327307,-0.2294047,-0.096674
14,0.8743845,0.76468056,"('supportive', 'unsupportive')",0.8935368,0.8555349,0.9259021,0.7768134,0.8979411,0.7990096,-0.0989315
102,0.82537913,0.80971193,"('eminent', 'low')",-0.4569286,-0.4564754,-0.53976685,-0.6315275,-0.0571054,-0.0927637,-0.0356583
22,0.8166069,0.69096345,"('welcoming', 'disagreeable')",1.5185661,1.5715389,0.5683001,0.61205244,0.9678245,0.958185,-0.0096395
54,0.8163292,0.44276553,"('smart', 'stupid')",0.17907667,-0.022945225,0.48254588,0.2805508,0.4926506,0.233457,-0.2591936
13,0.80877215,0.98539054,"('helpful', 'unhelpful')",-1.4468279,-1.5415264,-1.9688416,-2.3379023,-0.8689658,-0.9646794,-0.0957136
46,0.8006748,0.87973976,"('generous', 'stingy')",1.6822709,1.8524795,1.2488133,1.4676598,1.2439197,1.3999597,0.15604
69,-0.793536,-0.73870367,"('wise', 'foolish')",-0.66201735,-0.5747036,-0.029701382,0.043591797,-0.4950849,-0.4232718,0.0718131
73,0.7556421,0.61612284,"('brilliant', 'incompetent')",0.35291445,0.1046285,-0.97274315,-1.3217063,0.0452711,-0.2003183,-0.2455894
11,-0.7439494,-0.64903104,"('caring', 'unaffectionate')",-2.219151,-2.1450539,-1.6138548,-1.6409464,-1.5256518,-1.4783438,0.047308
19,-0.74332345,-0.6645372,"('funny', 'boring')",-0.7977843,-0.7490756,0.16404563,0.17222875,-0.4590207,-0.4137947,0.045226
51,0.73307514,0.87830764,"('competent', 'incompetent')",-0.123325944,-0.24354073,-0.37460092,-0.4833846,0.0783828,0.0504608,-0.027922
70,0.72312826,0.7423029,"('wise', 'unwise')",-0.15901843,-0.11588848,0.5347574,0.5235326,0.3662891,0.3833157,0.0170266
39,-0.7111174,-0.8146554,"('right', 'wrong')",-0.39502075,-0.39896038,0.36699945,0.59075147,-0.2463796,-0.2076214,0.0387582
106,-0.70461744,-0.79988176,"('conventional', 'unconventional')",-1.1749126,-1.1384348,-0.048361763,0.057338692,-0.6426306,-0.6269926,0.015638
84,-0.6827966,-0.8363387,"('self-confident', 'diffident')",-0.7006976,-0.80845743,-0.91647387,-1.0152819,-0.766656,-0.8866927,-0.1200367
77,-0.678691,-0.70261276,"('active', 'inactive')",0.1607981,0.2691021,0.58413845,0.7404541,0.0220818,0.1023145,0.0802327
20,-0.666998,-0.9776312,"('popular', 'unpopular')",0.11444709,-0.079946935,1.2265319,1.3080962,0.2246603,0.083506,-0.1411543
17,0.6609864,0.83699584,"('social', 'antisocial')",-0.14898719,0.07600248,-0.23532069,-0.076535374,0.0922262,0.278821,0.1865948
6,0.63695145,0.5439541,"('liked', 'disliked')",4.902317,4.856345,6.017925,6.298399,3.8523979,3.899566,0.0471681
61,-0.6267978,-0.53462976,"('rational', 'irrational')",-0.4308591,-0.23959905,0.60846806,0.7372402,-0.1497296,-0.0123295,0.1374001
68,-0.62350935,-0.7106354,"('clever', 'inept')",-0.5120929,-0.6390153,-0.9982707,-1.1811179,-0.711291,-0.8435895,-0.1322985
9,0.62063974,0.62686276,"('sensitive', 'insensitive')",-0.11994302,-0.14218773,-1.1005275,-1.3275176,-0.1999436,-0.2809475,-0.0810039
93,0.59753615,0.6401809,"('dominating', 'dominated')",0.75926787,0.81828,-0.18470071,-0.2278239,0.3907011,0.4102123,0.0195112
4,-0.5899694,-0.6096753,"('likable', 'unlikable')",0.5178262,0.33934098,-0.59141725,-0.66346085,-0.2211868,-0.3112651,-0.0900783
65,0.5824769,0.59399617,"('practical', 'impractical')",-0.5661601,-0.7888583,-0.63828653,-0.9287863,-0.2073232,-0.3745495,-0.1672263
27,-0.5633043,-0.41471457,"('sincere', 'insincere')",-4.9411416,-4.8305087,-5.942134,-6.1639385,-3.8155266,-3.8030539,0.0124727
47,0.5609008,0.6363399,"('forgiving', 'unforgiving')",-0.48712763,-0.41988695,-0.44583213,-0.4067943,-0.1240197,-0.0634471,0.0605726
0,0.5501419,0.59680486,"('sociable', 'unsociable')",0.008751631,0.03848809,-0.500925,-0.4313979,0.0193228,0.067965,0.0486422
97,-0.50593233,-0.27653795,"('superior', 'inferior')",-0.970856,-0.82466805,-0.73144925,-0.66564053,-0.7360792,-0.5889489,0.1471303
37,-0.5038514,-0.58608127,"('good', 'evil')",-0.1786772,-0.106640816,1.2735394,1.3967974,0.1970036,0.2346918,0.0376882
28,0.4796248,0.7352218,"('honest', 'dishonest')",-1.659283,-1.6012567,-1.9713713,-1.9665918,-1.0503432,-0.9442089,0.1061343
59,-0.4633064,-0.48706174,"('skillful', 'clumsy')",0.6042131,0.7311876,0.5073951,0.6679176,0.2161006,0.3040145,0.0879139
105,-0.45862073,-0.31375176,"('conventional', 'modern')",-1.6732084,-1.496433,-1.0902414,-0.86286944,-1.0740235,-0.8910181,0.1830054
29,0.4431677,0.25064346,"('honest', 'immoral')",-0.7030666,-0.74585074,-1.4227511,-1.5514883,-0.5608833,-0.6822318,-0.1213485
