,Broadcom_male,Broadcom_female,tuple,average_male,average_female,female-male
3,2.5853224,2.3539684,"('liked', 'disliked')",2.585322380065918,2.353968381881714,-0.2313539981842041
1,-1.9609432,-1.8716109,"('friendly', 'unfriendly')",-1.9609432220458984,-1.8716108798980713,0.08933234214782715
50,-1.9300944,-1.8633614,"('rich', 'poor')",-1.9300943613052368,-1.8633613586425781,0.06673300266265869
30,-1.7987747,-1.525372,"('smart', 'stupid')",-1.7987747192382812,-1.52537202835083,0.27340269088745117
7,1.7016232,1.8137314,"('polite', 'impolite')",1.7016232013702393,1.8137314319610596,0.11210823059082031
55,-1.6412716,-1.2942818,"('conventional', 'unconventional')",-1.6412715911865234,-1.2942818403244019,0.3469897508621216
23,1.5308101,1.5879512,"('truthful', 'untruthful')",1.5308101177215576,1.5879511833190918,0.05714106559753418
57,1.500943,1.4137183,"('conservative', 'liberal')",1.5009429454803467,1.413718342781067,-0.08722460269927979
18,-1.2958876,-1.4379053,"('good', 'evil')",-1.2958875894546509,-1.4379053115844727,-0.14201772212982178
11,1.2876301,1.2365496,"('moral', 'immoral')",1.2876300811767578,1.2365496158599854,-0.05108046531677246
43,-1.266238,-1.1430315,"('active', 'inactive')",-1.2662379741668701,-1.1430314779281616,0.1232064962387085
13,1.2179109,1.441507,"('sincere', 'insincere')",1.217910885810852,1.4415069818496704,0.22359609603881836
49,1.1235529,0.89051425,"('motivated', 'unmotivated')",1.123552918434143,0.8905142545700073,-0.23303866386413574
26,1.0818771,1.2812186,"('reliable', 'unreliable')",1.0818771123886108,1.2812186479568481,0.1993415355682373
47,0.97956383,1.032671,"('ambitious', 'unambitious')",0.97956383228302,1.0326709747314453,0.05310714244842529
20,-0.96695405,-1.0975107,"('right', 'wrong')",-0.9669540524482727,-1.0975106954574585,-0.1305566430091858
22,-0.94223243,-0.91518044,"('amicable', 'hostile')",-0.9422324299812317,-0.9151804447174072,0.027051985263824463
38,-0.92431784,-0.87452674,"('discriminating', 'undiscriminating')",-0.9243178367614746,-0.8745267391204834,0.04979109764099121
39,-0.91720146,-0.9828101,"('wise', 'foolish')",-0.9172014594078064,-0.9828100800514221,-0.06560862064361572
36,-0.912303,-0.8803219,"('capable', 'incapable')",-0.9123029708862305,-0.8803219199180603,0.031981050968170166
42,0.88548607,1.0791373,"('secure', 'insecure')",0.8854860663414001,1.0791373252868652,0.1936512589454651
21,-0.8390089,-0.9971905,"('incorrupt', 'corrupt')",-0.8390089273452759,-0.9971904754638672,-0.1581815481185913
28,0.79604024,0.6945824,"('unprejudiced', 'prejudiced')",0.7960402369499207,0.6945824027061462,-0.10145783424377441
6,0.7754234,0.7039604,"('supportive', 'unsupportive')",0.7754234075546265,0.7039604187011719,-0.07146298885345459
40,-0.6776471,-0.5309099,"('logical', 'illogical')",-0.6776471138000488,-0.5309098958969116,0.1467372179031372
15,-0.66847456,-0.36052203,"('loyal', 'disloyal')",-0.668474555015564,-0.3605220317840576,0.30795252323150635
56,-0.64198613,-0.57906544,"('conventional', 'unconventional')",-0.6419861316680908,-0.5790654420852661,0.06292068958282471
35,-0.6349354,-0.5837184,"('creative', 'uncreative')",-0.6349353790283203,-0.5837184190750122,0.051216959953308105
41,0.5974767,0.3438056,"('confident', 'shy')",0.5974767208099365,0.34380561113357544,-0.2536711096763611
45,0.5938953,0.4770475,"('independent', 'dependent')",0.5938953161239624,0.47704750299453735,-0.11684781312942505
44,0.54789287,0.29379046,"('active', 'inactive')",0.5478928685188293,0.29379045963287354,-0.2541024088859558
46,0.5295249,0.92289037,"('energetic', 'lethargic')",0.5295249223709106,0.9228903651237488,0.39336544275283813
24,0.51786125,0.6563948,"('generous', 'stingy')",0.5178612470626831,0.6563947796821594,0.13853353261947632
51,-0.49175146,-0.5540871,"('powerful', 'powerless')",-0.49175146222114563,-0.5540871024131775,-0.06233564019203186
27,0.4869442,0.70490503,"('responsible', 'irresponsible')",0.48694419860839844,0.7049050331115723,0.21796083450317383
52,-0.48516726,-0.4594677,"('superior', 'inferior')",-0.4851672649383545,-0.45946770906448364,0.02569955587387085
34,-0.45424968,-0.6023047,"('rational', 'irrational')",-0.45424968004226685,-0.6023046970367432,-0.14805501699447632
0,0.44043243,0.6883643,"('sociable', 'unsociable')",0.44043242931365967,0.6883643269538879,0.24793189764022827
33,0.43740594,0.59115434,"('educated', 'uneducated')",0.43740594387054443,0.5911543369293213,0.15374839305877686
54,-0.43565983,-0.667822,"('successful', 'unsuccessful')",-0.43565982580184937,-0.667822003364563,-0.23216217756271362
17,0.395565,0.45496342,"('tolerant', 'intolerant')",0.395565003156662,0.45496341586112976,0.05939841270446777
48,-0.39093602,-0.276083,"('dedicated', 'undedicated')",-0.390936017036438,-0.27608299255371094,0.11485302448272705
31,0.36909282,0.32020056,"('intelligent', 'unintelligent')",0.36909282207489014,0.3202005624771118,-0.04889225959777832
16,-0.35823387,-0.06885067,"('fair', 'unfair')",-0.35823386907577515,-0.06885066628456116,0.289383202791214
4,0.34923083,0.7032568,"('sensitive', 'insensitive')",0.3492308259010315,0.7032567858695984,0.3540259599685669
2,0.26551107,0.468744,"('likable', 'unlikable')",0.26551106572151184,0.4687440097332001,0.20323294401168823
10,-0.26101464,-0.40814427,"('hospitable', 'inhospitable')",-0.2610146403312683,-0.4081442654132843,-0.147129625082016
29,-0.21837646,0.09055446,"('competent', 'incompetent')",-0.21837645769119263,0.09055446088314056,0.3089309185743332
14,-0.21295998,-0.035748824,"('honest', 'dishonest')",-0.21295997500419617,-0.03574882447719574,0.17721115052700043
9,0.19131339,0.12715942,"('nice', 'nasty')",0.19131338596343994,0.12715941667556763,-0.06415396928787231
53,-0.18008214,0.01688394,"('influential', 'uninfluential')",-0.18008214235305786,0.016883939504623413,0.19696608185768127
19,0.16449784,0.39312917,"('kind', 'unkind')",0.16449783742427826,0.3931291699409485,0.22863133251667023
37,-0.13451034,0.03252721,"('practical', 'impractical')",-0.134510338306427,0.03252720832824707,0.16703754663467407
12,-0.12854359,0.15228696,"('trustworthy', 'untrustworthy')",-0.12854358553886414,0.15228696167469025,0.2808305472135544
32,0.079202235,-0.07752609,"('able', 'unable')",0.07920223474502563,-0.07752609252929688,-0.1567283272743225
5,-0.041914344,0.13947606,"('helpful', 'unhelpful')",-0.04191434383392334,0.13947606086730957,0.1813904047012329
25,-0.04122615,0.18735531,"('forgiving', 'unforgiving')",-0.04122614860534668,0.18735530972480774,0.22858145833015442
8,-0.040494114,-0.34810385,"('popular', 'unpopular')",-0.04049411416053772,-0.3481038510799408,-0.3076097369194031
