,AbbVie_male,AbbVie_female,tuple,average_male,average_female,female-male
75,1.8579472,1.442243,"('confident', 'shy')",1.8579472,1.442243,-0.4157042
70,1.5267608,1.450602,"('wise', 'unwise')",1.5267608,1.4506021,-0.0761587
22,1.3834801,1.3470922,"('welcoming', 'disagreeable')",1.3834801,1.3470922,-0.0363879
55,1.3161252,1.3263743,"('intelligent', 'unintelligent')",1.3161252,1.3263743,0.0102491
66,1.2919511,1.1552556,"('imaginative', 'unimaginative')",1.2919511,1.1552556,-0.1366955
2,1.2828178,1.2403853,"('friendly', 'unfriendly')",1.2828178,1.2403853,-0.0424325
60,1.2062571,1.4544129,"('educated', 'uneducated')",1.2062571,1.4544129,0.2481558
94,1.1803287,1.0247471,"('aggressive', 'submissive')",1.1803287,1.0247471,-0.1555816
40,-1.176492,-1.2206962,"('honorable', 'mean')",-1.176492,-1.2206962,-0.0442042
95,-1.1694422,-1.0539033,"('rich', 'poor')",-1.1694422,-1.0539033,0.1155389
15,1.1230367,1.1738417,"('polite', 'impolite')",1.1230367,1.1738417,0.050805
80,1.0961446,1.2115599,"('independent', 'dependent')",1.0961446,1.2115599,0.1154153
100,1.0925756,1.2172005,"('influential', 'uninfluential')",1.0925756,1.2172005,0.1246249
12,1.0879123,1.0191221,"('sympathetic', 'unsympathetic')",1.0879123,1.0191221,-0.0687902
109,1.0858514,1.2381703,"('conservative', 'liberal')",1.0858514,1.2381703,0.1523189
108,1.0858514,1.2381703,"('conservative', 'liberal')",1.0858514,1.2381703,0.1523189
76,1.0741854,1.0543585,"('secure', 'insecure')",1.0741854,1.0543585,-0.0198269
81,-1.0708137,-1.2041602,"('industrious', 'lazy')",-1.0708137,-1.2041602,-0.1333465
90,1.0643618,0.81033576,"('motivated', 'unmotivated')",1.0643618,0.8103358,-0.254026
102,1.0615098,0.8693109,"('eminent', 'low')",1.0615098,0.8693109,-0.1921989
85,1.008692,1.0749483,"('ambitious', 'unambitious')",1.008692,1.0749483,0.0662563
25,0.9888952,0.8077268,"('moral', 'immoral')",0.9888952,0.8077268,-0.1811684
71,0.97035396,0.66437835,"('efficient', 'inefficient')",0.970354,0.6643783,-0.3059757
52,0.9680345,0.83890456,"('competitive', 'uncompetitive')",0.9680345,0.8389046,-0.1291299
16,0.9332957,0.8162261,"('social', 'antisocial')",0.9332957,0.8162261,-0.1170696
92,-0.8935637,-1.0779428,"('unwavering', 'wavering')",-0.8935637,-1.0779428,-0.1843791
18,0.8879354,0.8279109,"('social', 'asocial')",0.8879354,0.8279109,-0.0600245
62,0.8752526,1.0169694,"('creative', 'uncreative')",0.8752526,1.0169694,0.1417168
54,0.86572236,0.59573066,"('smart', 'stupid')",0.8657224,0.5957307,-0.2699917
96,0.8525493,0.7174042,"('powerful', 'powerless')",0.8525493,0.7174042,-0.1351451
101,-0.84474695,-0.9750538,"('successful', 'unsuccessful')",-0.8447469,-0.9750538,-0.1303069
82,-0.84301615,-0.9048962,"('industrious', 'meek')",-0.8430161,-0.9048962,-0.0618801
64,0.8350842,0.8046956,"('clever', 'incompetent')",0.8350842,0.8046956,-0.0303886
