,IQVIA_male,IQVIA_female,tuple,average_male,average_female,female-male
75,2.4579315,1.9177474,"('confident', 'shy')",2.4579315185546875,1.9177473783493042,-0.5401841402053833
95,-2.2793407,-1.933354,"('rich', 'poor')",-2.2793407440185547,-1.9333540201187134,0.3459867238998413
78,2.2591443,1.6863848,"('active', 'inactive')",2.2591443061828613,1.6863847970962524,-0.5727595090866089
6,1.9248977,1.7821369,"('liked', 'disliked')",1.9248976707458496,1.7821369171142578,-0.1427607536315918
58,-1.8156096,-1.525767,"('able', 'clumsy')",-1.8156095743179321,-1.5257669687271118,0.2898426055908203
77,1.7483139,1.6910758,"('active', 'inactive')",1.7483139038085938,1.6910758018493652,-0.057238101959228516
53,-1.7466459,-1.4886072,"('smart', 'stupid')",-1.7466459274291992,-1.4886071681976318,0.2580387592315674
27,-1.6353953,-1.4150523,"('sincere', 'insincere')",-1.6353952884674072,-1.4150522947311401,0.2203429937362671
37,1.5953085,1.2960887,"('good', 'evil')",1.595308542251587,1.296088695526123,-0.29921984672546387
40,-1.4632543,-1.6455973,"('honorable', 'mean')",-1.4632543325424194,-1.6455973386764526,-0.1823430061340332
32,-1.3869816,-1.0996524,"('benevolent', 'hardhearted')",-1.3869816064834595,-1.0996524095535278,0.28732919692993164
70,1.3816323,1.1980321,"('wise', 'unwise')",1.3816323280334473,1.1980321407318115,-0.18360018730163574
90,1.3748076,0.9307687,"('motivated', 'unmotivated')",1.374807596206665,0.9307687282562256,-0.44403886795043945
46,1.154788,1.0527226,"('generous', 'stingy')",1.1547880172729492,1.0527225732803345,-0.10206544399261475
36,-1.1286147,-1.13053,"('tolerant', 'intolerant')",-1.1286146640777588,-1.1305299997329712,-0.0019153356552124023
66,1.1173877,1.1127511,"('imaginative', 'unimaginative')",1.1173876523971558,1.1127511262893677,-0.004636526107788086
82,1.0907359,0.7579199,"('industrious', 'meek')",1.090735912322998,0.7579199075698853,-0.3328160047531128
7,1.0469456,0.4979037,"('outgoing', 'distant')",1.046945571899414,0.4979037046432495,-0.5490418672561646
28,-1.0303497,-0.6286495,"('honest', 'dishonest')",-1.0303497314453125,-0.6286494731903076,0.4017002582550049
81,1.0257807,0.46826786,"('industrious', 'lazy')",1.0257806777954102,0.46826785802841187,-0.5575128197669983
3,1.0163808,1.0903208,"('likable', 'unlikable')",1.016380786895752,1.0903208255767822,0.07394003868103027
91,0.9993626,0.8407572,"('resilient', 'nonresilient')",0.999362587928772,0.8407571911811829,-0.1586053967475891
38,-0.9707962,-0.5296829,"('kind', 'unkind')",-0.9707962274551392,-0.5296828746795654,0.44111335277557373
64,-0.8778514,-0.94108236,"('clever', 'incompetent')",-0.8778514266014099,-0.9410823583602905,-0.06323093175888062
63,-0.87190175,-0.69928473,"('capable', 'incapable')",-0.8719017505645752,-0.6992847323417664,0.17261701822280884
23,0.8460621,0.768343,"('hospitable', 'inhospitable')",0.8460621237754822,0.7683429718017578,-0.07771915197372437
48,0.82844144,0.8773901,"('reliable', 'unreliable')",0.8284414410591125,0.8773900866508484,0.04894864559173584
16,0.8199417,0.5442086,"('social', 'antisocial')",0.8199416995048523,0.5442085862159729,-0.2757331132888794
14,0.8079469,0.6153601,"('supportive', 'unsupportive')",0.8079469203948975,0.6153600811958313,-0.19258683919906616
8,0.79282486,0.400981,"('open', 'distant')",0.7928248643875122,0.40098100900650024,-0.39184385538101196
92,0.7782256,0.65406466,"('unwavering', 'wavering')",0.7782256007194519,0.6540646553039551,-0.12416094541549683
102,-0.7358834,-0.6544959,"('eminent', 'low')",-0.7358834147453308,-0.654495894908905,0.08138751983642578
