,Intuit_male,Intuit_female,tuple,average_male,average_female,female-male
3,2.5845163,2.5085728,"('liked', 'disliked')",2.5845162868499756,2.508572816848755,-0.0759434700012207
30,-1.7844814,-1.7368321,"('smart', 'stupid')",-1.784481406211853,-1.7368321418762207,0.047649264335632324
50,-1.7548329,-1.5556401,"('rich', 'poor')",-1.7548328638076782,-1.5556401014328003,0.19919276237487793
1,-1.6507325,-1.2566047,"('friendly', 'unfriendly')",-1.6507325172424316,-1.2566046714782715,0.39412784576416016
49,1.4109691,1.4189758,"('motivated', 'unmotivated')",1.4109691381454468,1.418975830078125,0.008006691932678223
13,1.2773807,1.7009202,"('sincere', 'insincere')",1.2773807048797607,1.7009202241897583,0.42353951930999756
35,-1.2388477,-0.72854424,"('creative', 'uncreative')",-1.2388477325439453,-0.7285442352294922,0.5103034973144531
26,1.2257786,1.5510643,"('reliable', 'unreliable')",1.225778579711914,1.5510642528533936,0.3252856731414795
42,1.1917875,1.4015889,"('secure', 'insecure')",1.1917874813079834,1.4015889167785645,0.20980143547058105
41,1.1914897,0.83990633,"('confident', 'shy')",1.1914896965026855,0.8399063348770142,-0.3515833616256714
44,1.1545177,0.76435524,"('active', 'inactive')",1.154517650604248,0.7643552422523499,-0.3901624083518982
6,1.0532863,1.1189909,"('supportive', 'unsupportive')",1.0532863140106201,1.1189908981323242,0.0657045841217041
7,1.0363798,1.3481585,"('polite', 'impolite')",1.0363798141479492,1.3481584787368774,0.3117786645889282
55,-1.0331721,-0.817769,"('conventional', 'unconventional')",-1.0331721305847168,-0.8177689909934998,0.21540313959121704
46,1.0324836,1.4617136,"('energetic', 'lethargic')",1.0324835777282715,1.4617135524749756,0.4292299747467041
56,-1.0100456,-0.6797227,"('conventional', 'unconventional')",-1.0100456476211548,-0.6797227263450623,0.33032292127609253
47,0.9884004,1.1432747,"('ambitious', 'unambitious')",0.988400399684906,1.1432746648788452,0.1548742651939392
29,0.9348792,1.22922,"('competent', 'incompetent')",0.9348791837692261,1.2292200326919556,0.2943408489227295
43,-0.83949596,-0.86552155,"('active', 'inactive')",-0.8394959568977356,-0.8655215501785278,-0.026025593280792236
24,0.83661187,0.99197954,"('generous', 'stingy')",0.8366118669509888,0.9919795393943787,0.1553676724433899
23,0.7677185,1.2475917,"('truthful', 'untruthful')",0.767718493938446,1.2475917339324951,0.4798732399940491
36,-0.7400559,-0.65155834,"('capable', 'incapable')",-0.7400559186935425,-0.6515583395957947,0.0884975790977478
38,-0.64233565,-0.19243577,"('discriminating', 'undiscriminating')",-0.6423356533050537,-0.19243577122688293,0.4498998820781708
28,0.6155081,0.035452887,"('unprejudiced', 'prejudiced')",0.6155080795288086,0.035452887415885925,-0.5800551921129227
20,-0.6000638,-0.6533409,"('right', 'wrong')",-0.6000638008117676,-0.6533408761024475,-0.05327707529067993
57,0.5976043,0.77979636,"('conservative', 'liberal')",0.5976042747497559,0.7797963619232178,0.18219208717346191
34,-0.589785,-0.6507896,"('rational', 'irrational')",-0.5897849798202515,-0.6507896184921265,-0.061004638671875
32,-0.565729,-0.64578027,"('able', 'unable')",-0.565729022026062,-0.6457802653312683,-0.0800512433052063
22,-0.5578887,-0.5638045,"('amicable', 'hostile')",-0.5578886866569519,-0.5638045072555542,-0.005915820598602295
39,-0.531387,-0.708937,"('wise', 'foolish')",-0.5313869714736938,-0.7089369893074036,-0.17755001783370972
25,-0.5287688,-0.25188476,"('forgiving', 'unforgiving')",-0.52876877784729,-0.2518847584724426,0.2768840193748474
53,0.5279731,1.0873888,"('influential', 'uninfluential')",0.5279731154441833,1.0873887538909912,0.5594156384468079
52,-0.501094,-0.38108507,"('superior', 'inferior')",-0.5010939836502075,-0.381085067987442,0.1200089156627655
48,-0.49303016,-0.015207902,"('dedicated', 'undedicated')",-0.4930301606655121,-0.01520790159702301,0.4778222590684891
18,-0.46684897,-0.6845168,"('good', 'evil')",-0.4668489694595337,-0.6845167875289917,-0.217667818069458
