,Corning_male,Corning_female,tuple,average_male,average_female,female-male
50,-1.9135303,-1.9058756,"('rich', 'poor')",-1.9135303497314453,-1.905875563621521,0.007654786109924316
30,-1.7744403,-1.9185619,"('smart', 'stupid')",-1.7744402885437012,-1.9185619354248047,-0.14412164688110352
15,-1.4966216,-1.0811951,"('loyal', 'disloyal')",-1.4966216087341309,-1.0811951160430908,0.41542649269104004
57,1.4831245,1.1152167,"('conservative', 'liberal')",1.4831244945526123,1.1152167320251465,-0.3679077625274658
44,1.4733663,1.3800694,"('active', 'inactive')",1.4733662605285645,1.380069375038147,-0.09329688549041748
41,1.4238914,0.61627734,"('confident', 'shy')",1.4238914251327515,0.6162773370742798,-0.8076140880584717
49,1.342354,0.84431815,"('motivated', 'unmotivated')",1.3423540592193604,0.844318151473999,-0.49803590774536133
55,-1.2738584,-0.6971588,"('conventional', 'unconventional')",-1.2738584280014038,-0.6971588134765625,0.5766996145248413
28,1.2261872,1.1355845,"('unprejudiced', 'prejudiced')",1.2261872291564941,1.1355844736099243,-0.09060275554656982
3,1.1612316,1.4011883,"('liked', 'disliked')",1.1612316370010376,1.4011882543563843,0.23995661735534668
24,1.1044937,1.3165913,"('generous', 'stingy')",1.1044937372207642,1.3165912628173828,0.21209752559661865
45,1.0570984,0.8984532,"('independent', 'dependent')",1.057098388671875,0.8984531760215759,-0.15864521265029907
5,-0.864635,-0.8936205,"('helpful', 'unhelpful')",-0.8646349906921387,-0.893620491027832,-0.02898550033569336
18,0.7848867,1.0241482,"('good', 'evil')",0.7848867177963257,1.0241482257843018,0.23926150798797607
34,-0.7697305,-0.27847064,"('rational', 'irrational')",-0.7697305083274841,-0.27847063541412354,0.4912598729133606
39,-0.7541071,-0.5762204,"('wise', 'foolish')",-0.7541071176528931,-0.5762203931808472,0.1778867244720459
36,-0.7183691,-0.53664386,"('capable', 'incapable')",-0.7183691263198853,-0.5366438627243042,0.18172526359558105
9,0.7080166,0.82863015,"('nice', 'nasty')",0.708016574382782,0.8286301493644714,0.12061357498168945
6,0.7012755,0.8901886,"('supportive', 'unsupportive')",0.7012755274772644,0.8901885747909546,0.18891304731369019
2,-0.6949142,-0.45618695,"('likable', 'unlikable')",-0.6949142217636108,-0.4561869502067566,0.23872727155685425
40,-0.6838915,-0.3974625,"('logical', 'illogical')",-0.6838914752006531,-0.39746248722076416,0.2864289879798889
38,-0.6813481,-0.48086834,"('discriminating', 'undiscriminating')",-0.6813480854034424,-0.4808683395385742,0.20047974586486816
14,-0.67603636,-0.52390915,"('honest', 'dishonest')",-0.6760363578796387,-0.5239091515541077,0.152127206325531
19,-0.6363663,-0.4176386,"('kind', 'unkind')",-0.6363663077354431,-0.4176385998725891,0.218727707862854
33,-0.6353124,-0.5799819,"('educated', 'uneducated')",-0.6353123784065247,-0.5799819231033325,0.05533045530319214
20,-0.6342395,-0.42402017,"('right', 'wrong')",-0.6342394948005676,-0.4240201711654663,0.21021932363510132
13,0.6305063,0.13403866,"('sincere', 'insincere')",0.6305062770843506,0.13403865694999695,-0.49646762013435364
52,-0.5848863,-0.27010822,"('superior', 'inferior')",-0.5848863124847412,-0.2701082229614258,0.31477808952331543
23,0.55416757,0.19472101,"('truthful', 'untruthful')",0.5541675686836243,0.1947210133075714,-0.35944655537605286
51,-0.52240115,-0.6255575,"('powerful', 'powerless')",-0.5224011540412903,-0.6255574822425842,-0.10315632820129395
11,0.49812746,0.04741828,"('moral', 'immoral')",0.49812746047973633,0.04741828143596649,-0.45070917904376984
43,-0.46222785,-0.18766417,"('active', 'inactive')",-0.46222785115242004,-0.18766416609287262,0.2745636850595474
47,0.3665005,0.4456559,"('ambitious', 'unambitious')",0.36650049686431885,0.4456559121608734,0.07915541529655457
8,-0.34193778,0.21817058,"('popular', 'unpopular')",-0.341937780380249,0.21817058324813843,0.5601083636283875
17,-0.3225729,-0.9369976,"('tolerant', 'intolerant')",-0.32257288694381714,-0.9369975924491882,-0.6144247055053711
