,Leidos_male,Leidos_female,tuple,average_male,average_female,female-male
99,-3.3720834,-3.069704,"('prestigious', 'insignificant')",-3.3720834255218506,-3.069704055786133,0.3023793697357178
75,2.9052877,2.8436651,"('confident', 'shy')",2.905287742614746,2.84366512298584,-0.06162261962890625
1,-2.8822734,-2.5231519,"('friendly', 'unfriendly')",-2.8822734355926514,-2.5231518745422363,0.35912156105041504
94,2.812538,2.8210454,"('aggressive', 'submissive')",2.812537908554077,2.821045398712158,0.008507490158081055
2,2.8120852,2.7652164,"('friendly', 'unfriendly')",2.8120851516723633,2.76521635055542,-0.04686880111694336
42,-2.7524269,-2.432394,"('amicable', 'hostile')",-2.752426862716675,-2.432394027709961,0.32003283500671387
71,2.6521668,2.2795718,"('efficient', 'inefficient')",2.6521668434143066,2.279571771621704,-0.37259507179260254
109,2.4474547,2.2659984,"('conservative', 'liberal')",2.4474546909332275,2.265998363494873,-0.1814563274383545
108,2.4474547,2.2659984,"('conservative', 'liberal')",2.4474546909332275,2.265998363494873,-0.1814563274383545
16,2.3646064,1.8013103,"('social', 'antisocial')",2.3646063804626465,1.8013103008270264,-0.5632960796356201
12,2.3208547,2.4723873,"('sympathetic', 'unsympathetic')",2.320854663848877,2.4723873138427734,0.15153264999389648
15,2.2711914,2.3707254,"('polite', 'impolite')",2.271191358566284,2.370725393295288,0.0995340347290039
8,-2.085713,-1.9932345,"('open', 'distant')",-2.0857129096984863,-1.9932345151901245,0.09247839450836182
61,-2.0097566,-1.8182586,"('rational', 'irrational')",-2.009756565093994,-1.8182586431503296,0.19149792194366455
104,-2.0073745,-1.8996615,"('conventional', 'unconventional')",-2.0073745250701904,-1.8996615409851074,0.10771298408508301
107,1.9710134,2.3130956,"('conventional', 'modern')",1.9710134267807007,2.3130955696105957,0.342082142829895
10,-1.950019,-1.5503991,"('affectionate', 'unaffectionate')",-1.9500190019607544,-1.5503990650177002,0.3996199369430542
98,-1.9066572,-1.8580596,"('prestigious', 'insignificant')",-1.9066572189331055,-1.8580596446990967,0.04859757423400879
90,1.8365904,1.5067112,"('motivated', 'unmotivated')",1.8365904092788696,1.5067112445831299,-0.32987916469573975
52,1.8285452,1.8901497,"('competitive', 'uncompetitive')",1.8285452127456665,1.890149712562561,0.06160449981689453
76,1.7916921,1.5464786,"('secure', 'insecure')",1.7916921377182007,1.5464786291122437,-0.24521350860595703
66,1.7045277,1.8465989,"('imaginative', 'unimaginative')",1.704527735710144,1.8465988636016846,0.14207112789154053
31,-1.6556472,-1.5841005,"('altruistic', 'egoistic')",-1.6556471586227417,-1.5841004848480225,0.07154667377471924
7,-1.6452785,-1.60824,"('outgoing', 'distant')",-1.6452784538269043,-1.608240008354187,0.037038445472717285
89,1.630877,1.5545619,"('daring', 'anxious')",1.6308770179748535,1.5545618534088135,-0.07631516456604004
25,1.623572,1.4519471,"('moral', 'immoral')",1.6235719919204712,1.4519470930099487,-0.17162489891052246
40,-1.6004133,-1.7559804,"('honorable', 'mean')",-1.6004133224487305,-1.755980372428894,-0.15556704998016357
11,-1.5241275,-0.95633894,"('caring', 'unaffectionate')",-1.52412748336792,-0.9563389420509338,0.5677885413169861
41,-1.5076401,-1.2894073,"('incorrupt', 'corrupt')",-1.5076401233673096,-1.2894072532653809,0.2182328701019287
64,1.4624531,1.2055072,"('clever', 'incompetent')",1.4624531269073486,1.2055071592330933,-0.25694596767425537
4,-1.461993,-1.4240081,"('likable', 'unlikable')",-1.4619929790496826,-1.4240081310272217,0.03798484802246094
5,1.4434539,1.2130203,"('pleasant', 'repellent')",1.4434539079666138,1.2130203247070312,-0.23043358325958252
93,1.3845544,1.2961149,"('dominating', 'dominated')",1.384554386138916,1.2961149215698242,-0.0884394645690918
39,-1.3429503,-1.2258658,"('right', 'wrong')",-1.3429503440856934,-1.2258658409118652,0.11708450317382812
48,1.3346965,1.5334051,"('reliable', 'unreliable')",1.3346965312957764,1.533405065536499,0.19870853424072266
65,1.324399,1.3251276,"('practical', 'impractical')",1.3243989944458008,1.3251276016235352,0.000728607177734375
105,-1.3214602,-0.9820367,"('conventional', 'modern')",-1.321460247039795,-0.9820367097854614,0.3394235372543335
51,1.3170924,1.3556186,"('competent', 'incompetent')",1.3170924186706543,1.3556185960769653,0.038526177406311035
32,-1.2706838,-1.3814608,"('benevolent', 'hardhearted')",-1.270683765411377,-1.3814607858657837,-0.11077702045440674
