,Tyson_male,Tyson_female,tuple,Foods_male,Foods_female,average_male,average_female,female-male
50,-5.72202,-5.9965854,"('rich', 'poor')",-3.6438344,-3.4418898,-4.682927131652832,-4.719237327575684,-0.03631019592285156
3,4.6686764,4.7079535,"('liked', 'disliked')",2.8248847,2.642436,3.7467803955078125,3.67519474029541,-0.07158565521240234
30,-4.5002985,-4.4616346,"('smart', 'stupid')",-3.2733984,-3.2278938,-3.8868484497070312,-3.844764232635498,0.0420842170715332
28,2.7996843,2.5304966,"('unprejudiced', 'prejudiced')",1.2708983,1.0871174,2.0352911949157715,1.8088070154190063,-0.22648417949676514
26,2.5214505,2.517484,"('reliable', 'unreliable')",0.93384176,0.7003718,1.7276461124420166,1.608927845954895,-0.11871826648712158
24,2.2100136,2.4643607,"('generous', 'stingy')",1.8928108,1.7460321,2.0514121055603027,2.105196475982666,0.05378437042236328
33,-2.1541145,-2.2987783,"('educated', 'uneducated')",-1.2346311,-0.9908729,-1.6943727731704712,-1.6448255777359009,0.04954719543457031
19,-2.0577152,-1.9280063,"('kind', 'unkind')",-1.924602,-1.5978315,-1.9911586046218872,-1.7629189491271973,0.22823965549468994
5,-1.9391901,-2.0893571,"('helpful', 'unhelpful')",-2.719457,-2.4338264,-2.3293235301971436,-2.261591911315918,0.06773161888122559
15,-1.9270251,-1.876258,"('loyal', 'disloyal')",-1.5575418,-1.3338872,-1.7422834634780884,-1.6050726175308228,0.13721084594726562
21,1.9118743,2.0509615,"('incorrupt', 'corrupt')",2.089489,2.0829446,2.0006816387176514,2.066953182220459,0.06627154350280762
14,-1.8882542,-1.9351525,"('honest', 'dishonest')",-1.1927004,-1.1479347,-1.5404772758483887,-1.5415436029434204,-0.0010663270950317383
17,-1.8105024,-1.7126828,"('tolerant', 'intolerant')",-1.1433845,-1.1615341,-1.4769434928894043,-1.4371085166931152,0.03983497619628906
53,-1.7491293,-1.3190746,"('influential', 'uninfluential')",-0.89923096,-0.6034043,-1.3241801261901855,-0.9612394571304321,0.3629406690597534
44,1.6984782,1.3765488,"('active', 'inactive')",0.6132746,0.19267444,1.1558763980865479,0.7846115827560425,-0.37126481533050537
4,-1.6524484,-1.8157125,"('sensitive', 'insensitive')",-0.84751534,-0.935288,-1.2499818801879883,-1.375500202178955,-0.1255183219909668
41,1.6276404,1.6214827,"('confident', 'shy')",1.2530797,0.86674917,1.4403600692749023,1.244115948677063,-0.19624412059783936
1,-1.5141447,-1.5598159,"('friendly', 'unfriendly')",-0.39044738,-0.4608666,-0.9522960186004639,-1.0103412866592407,-0.058045268058776855
