,Fortinet_male,Fortinet_female,tuple,average_male,average_female,female-male
6,1.7742634,1.8793757,"('liked', 'disliked')",1.7742634,1.8793757,0.1051123
106,-1.6309783,-1.4256287,"('conventional', 'unconventional')",-1.6309783,-1.4256287,0.2053496
53,-1.5585176,-1.4904189,"('smart', 'stupid')",-1.5585176,-1.4904189,0.0680987
70,1.4801407,1.585112,"('wise', 'unwise')",1.4801407,1.585112,0.1049713
75,1.4159927,1.1631954,"('confident', 'shy')",1.4159927,1.1631954,-0.2527973
95,-1.1316423,-1.072793,"('rich', 'poor')",-1.1316423,-1.072793,0.0588493
4,-1.0805291,-1.2655486,"('likable', 'unlikable')",-1.0805291,-1.2655486,-0.1850195
68,-1.0753224,-1.1034646,"('clever', 'inept')",-1.0753224,-1.1034646,-0.0281422
24,-1.0164745,-0.9878267,"('thoughtful', 'rough')",-1.0164745,-0.9878267,0.0286478
90,1.0037701,0.68993795,"('motivated', 'unmotivated')",1.0037701,0.6899379,-0.3138322
79,-0.9883362,-1.0670409,"('determined', 'doubtful')",-0.9883362,-1.0670409,-0.0787047
55,0.9386487,0.7985406,"('intelligent', 'unintelligent')",0.9386487,0.7985406,-0.1401081
77,0.9373889,0.8588989,"('active', 'inactive')",0.9373889,0.8588989,-0.07849
100,0.9334449,1.0970657,"('influential', 'uninfluential')",0.9334449,1.0970657,0.1636208
78,0.9162044,0.5398377,"('active', 'inactive')",0.9162044,0.5398377,-0.3763667
14,0.909999,0.8866209,"('supportive', 'unsupportive')",0.909999,0.8866209,-0.0233781
26,-0.9085191,-0.7927098,"('trustworthy', 'untrustworthy')",-0.9085191,-0.7927098,0.1158093
65,-0.87017053,-1.0886359,"('practical', 'impractical')",-0.8701705,-1.0886359,-0.2184654
27,-0.86538714,-0.85643375,"('sincere', 'insincere')",-0.8653871,-0.8564337,0.0089534
66,0.86507195,0.93678385,"('imaginative', 'unimaginative')",0.865072,0.9367839,0.0717119
103,0.86140156,0.9434778,"('traditional', 'modern')",0.8614016,0.9434778,0.0820762
42,0.83194256,1.0516201,"('amicable', 'hostile')",0.8319426,1.0516201,0.2196775
21,0.8069951,0.7438003,"('nice', 'nasty')",0.8069951,0.7438003,-0.0631948
87,-0.78651816,-0.8203414,"('dedicated', 'undedicated')",-0.7865182,-0.8203414,-0.0338232
84,0.7776953,0.61926925,"('self-confident', 'diffident')",0.7776953,0.6192693,-0.158426
37,0.76565063,0.703437,"('good', 'evil')",0.7656506,0.703437,-0.0622136
40,-0.7233433,-0.76663834,"('honorable', 'mean')",-0.7233433,-0.7666383,-0.043295
63,-0.70388734,-0.6069878,"('capable', 'incapable')",-0.7038873,-0.6069878,0.0968995
60,0.6909511,0.8026251,"('educated', 'uneducated')",0.6909511,0.8026251,0.111674
91,0.6760812,0.74908984,"('resilient', 'nonresilient')",0.6760812,0.7490898,0.0730086
35,-0.66973627,-0.53319085,"('fair', 'unfair')",-0.6697363,-0.5331908,0.1365455
102,0.6430558,0.519409,"('eminent', 'low')",0.6430558,0.519409,-0.1236468
62,0.6299523,0.5613849,"('creative', 'uncreative')",0.6299523,0.5613849,-0.0685674
1,0.6278631,0.6746756,"('friendly', 'unfriendly')",0.6278631,0.6746756,0.0468125
11,0.6218574,0.73917866,"('caring', 'unaffectionate')",0.6218574,0.7391787,0.1173213
43,-0.61260235,-0.7389529,"('genuine', 'fake')",-0.6126024,-0.7389529,-0.1263505
25,-0.60131943,-0.6684289,"('moral', 'immoral')",-0.6013194,-0.6684289,-0.0671095
109,-0.5981795,-0.5744275,"('conservative', 'liberal')",-0.5981795,-0.5744275,0.023752
108,-0.5981795,-0.5744275,"('conservative', 'liberal')",-0.5981795,-0.5744275,0.023752
81,-0.57251316,-0.73731494,"('industrious', 'lazy')",-0.5725132,-0.7373149,-0.1648017
23,0.57240856,0.64143676,"('hospitable', 'inhospitable')",0.5724086,0.6414368,0.0690282
9,0.5704885,0.38511044,"('sensitive', 'insensitive')",0.5704885,0.3851104,-0.1853781
69,-0.54144335,-0.35901082,"('wise', 'foolish')",-0.5414433,-0.3590108,0.1824325
52,0.5404009,0.48214865,"('competitive', 'uncompetitive')",0.5404009,0.4821486,-0.0582523
34,-0.51151735,-0.38293803,"('loyal', 'disloyal')",-0.5115173,-0.382938,0.1285793
105,-0.5095691,-0.35900068,"('conventional', 'modern')",-0.5095691,-0.3590007,0.1505684
15,0.50493866,0.3702183,"('polite', 'impolite')",0.5049387,0.3702183,-0.1347204
22,0.5001474,0.45641923,"('welcoming', 'disagreeable')",0.5001474,0.4564192,-0.0437282
39,-0.4619817,-0.37534893,"('right', 'wrong')",-0.4619817,-0.3753489,0.0866328
29,-0.4471246,-0.6586369,"('honest', 'immoral')",-0.4471246,-0.6586369,-0.2115123
72,-0.4313237,-0.41526654,"('logical', 'illogical')",-0.4313237,-0.4152665,0.0160572
46,0.40850425,0.4847137,"('generous', 'stingy')",0.4085042,0.4847137,0.0762095
64,-0.40430748,-0.53354955,"('clever', 'incompetent')",-0.4043075,-0.5335495,-0.129242
104,-0.39968753,-0.21962434,"('conventional', 'unconventional')",-0.3996875,-0.2196243,0.1800632
73,-0.38777637,-0.67037,"('brilliant', 'incompetent')",-0.3877764,-0.67037,-0.2825936
54,0.37905106,0.16705832,"('smart', 'stupid')",0.3790511,0.1670583,-0.2119928
10,0.36008143,0.5242146,"('affectionate', 'unaffectionate')",0.3600814,0.5242146,0.1641332
83,-0.35776338,-0.44562107,"('energetic', 'lethargic')",-0.3577634,-0.4456211,-0.0878577
59,-0.35222113,-0.30913204,"('skillful', 'clumsy')",-0.3522211,-0.309132,0.0430891
2,0.326625,0.34701958,"('friendly', 'unfriendly')",0.326625,0.3470196,0.0203946
88,0.31851608,0.518548,"('impulsive', 'meek')",0.3185161,0.518548,0.2000319
99,0.30023417,0.50643677,"('prestigious', 'insignificant')",0.3002342,0.5064368,0.2062026
71,0.30018845,-0.21345496,"('efficient', 'inefficient')",0.3001885,-0.213455,-0.5136435
48,-0.2996032,-0.4310891,"('reliable', 'unreliable')",-0.2996032,-0.4310891,-0.1314859
96,0.29453105,0.25563833,"('powerful', 'powerless')",0.294531,0.2556383,-0.0388927
