,Accenture_male,Accenture_female,tuple,average_male,average_female,female-male
75,3.4791288,3.1641586,"('confident', 'shy')",3.4791288,3.1641586,-0.3149702
95,-2.3734539,-2.273838,"('rich', 'poor')",-2.3734539,-2.273838,0.0996159
107,2.3514142,2.3727174,"('conventional', 'modern')",2.3514142,2.3727174,0.0213032
53,-2.21136,-1.954474,"('smart', 'stupid')",-2.21136,-1.954474,0.256886
1,-2.1633086,-2.2601075,"('friendly', 'unfriendly')",-2.1633086,-2.2601075,-0.0967989
40,-2.0457737,-1.888022,"('honorable', 'mean')",-2.0457737,-1.8880219,0.1577518
99,-2.0433133,-2.2931068,"('prestigious', 'insignificant')",-2.0433133,-2.2931068,-0.2497935
76,1.9161413,2.0803685,"('secure', 'insecure')",1.9161413,2.0803685,0.1642272
6,1.7973355,1.3117069,"('liked', 'disliked')",1.7973355,1.3117069,-0.4856286
94,1.7035946,1.9979293,"('aggressive', 'submissive')",1.7035946,1.9979293,0.2943347
31,-1.7012388,-1.8415408,"('altruistic', 'egoistic')",-1.7012388,-1.8415408,-0.140302
52,1.6969205,1.7731231,"('competitive', 'uncompetitive')",1.6969205,1.7731231,0.0762026
71,1.6614528,1.7686186,"('efficient', 'inefficient')",1.6614528,1.7686186,0.1071658
81,-1.6439123,-1.8624582,"('industrious', 'lazy')",-1.6439123,-1.8624582,-0.2185459
16,1.6238431,1.7513342,"('social', 'antisocial')",1.6238431,1.7513342,0.1274911
62,-1.5618191,-1.6524999,"('creative', 'uncreative')",-1.5618191,-1.6524999,-0.0906808
2,1.5430024,1.832334,"('friendly', 'unfriendly')",1.5430024,1.832334,0.2893316
8,-1.5309525,-1.7282867,"('open', 'distant')",-1.5309525,-1.7282867,-0.1973342
98,-1.474668,-1.6486917,"('prestigious', 'insignificant')",-1.474668,-1.6486917,-0.1740237
105,-1.4403867,-1.3501899,"('conventional', 'modern')",-1.4403867,-1.3501899,0.0901968
41,-1.3525503,-1.429663,"('incorrupt', 'corrupt')",-1.3525503,-1.4296629,-0.0771126
90,1.3511474,1.2294729,"('motivated', 'unmotivated')",1.3511474,1.2294729,-0.1216745
103,1.3491156,1.4520348,"('traditional', 'modern')",1.3491156,1.4520348,0.1029192
42,-1.3268372,-1.5373199,"('amicable', 'hostile')",-1.3268372,-1.5373199,-0.2104827
15,1.3114719,1.4437408,"('polite', 'impolite')",1.3114719,1.4437408,0.1322689
7,-1.2940444,-1.572349,"('outgoing', 'distant')",-1.2940444,-1.572349,-0.2783046
3,1.2622472,1.1335328,"('likable', 'unlikable')",1.2622472,1.1335328,-0.1287144
13,1.2462828,1.4466798,"('helpful', 'unhelpful')",1.2462828,1.4466798,0.200397
14,1.241625,1.0857891,"('supportive', 'unsupportive')",1.241625,1.0857891,-0.1558359
60,1.1982701,1.4230379,"('educated', 'uneducated')",1.1982701,1.4230379,0.2247678
109,1.1855273,1.4135346,"('conservative', 'liberal')",1.1855273,1.4135346,0.2280073
108,1.1855273,1.4135346,"('conservative', 'liberal')",1.1855273,1.4135346,0.2280073
82,-1.1798729,-1.3521005,"('industrious', 'meek')",-1.1798729,-1.3521005,-0.1722276
92,-1.1266805,-1.4286157,"('unwavering', 'wavering')",-1.1266805,-1.4286157,-0.3019352
10,-1.1165657,-1.0658206,"('affectionate', 'unaffectionate')",-1.1165657,-1.0658206,0.0507451
4,-1.1131649,-1.1672051,"('likable', 'unlikable')",-1.1131649,-1.1672051,-0.0540402
32,-1.0891633,-0.94825757,"('benevolent', 'hardhearted')",-1.0891633,-0.9482576,0.1409057
45,1.0880582,1.0738012,"('cooperative', 'exploitative')",1.0880582,1.0738012,-0.014257
29,-1.0473399,-1.2198455,"('honest', 'immoral')",-1.0473399,-1.2198455,-0.1725056
49,1.0320431,1.0519673,"('responsible', 'irresponsible')",1.0320431,1.0519673,0.0199242
5,1.0190922,1.1420473,"('pleasant', 'repellent')",1.0190922,1.1420473,0.1229551
12,0.98922384,1.2111145,"('sympathetic', 'unsympathetic')",0.9892238,1.2111145,0.2218907
33,-0.94293404,-0.7065397,"('softhearted', 'hardhearted')",-0.942934,-0.7065397,0.2363943
9,0.94124556,1.1264052,"('sensitive', 'insensitive')",0.9412456,1.1264052,0.1851596
51,0.9324807,0.9745188,"('competent', 'incompetent')",0.9324807,0.9745188,0.0420381
63,-0.9095808,-1.0453018,"('capable', 'incapable')",-0.9095808,-1.0453018,-0.135721
19,-0.88630396,-1.1237311,"('funny', 'boring')",-0.886304,-1.1237311,-0.2374271
93,0.88446575,0.9974948,"('dominating', 'dominated')",0.8844658,0.9974948,0.113029
104,-0.86744094,-0.75081545,"('conventional', 'unconventional')",-0.8674409,-0.7508155,0.1166254
48,0.8623034,0.64025545,"('reliable', 'unreliable')",0.8623034,0.6402555,-0.2220479
39,-0.85547507,-0.87430024,"('right', 'wrong')",-0.8554751,-0.8743002,-0.0188251
68,-0.83813035,-1.0019567,"('clever', 'inept')",-0.8381304,-1.0019567,-0.1638263
