,Genuine_male,Genuine_female,tuple,Parts_male,Parts_female,average_male,average_female,female-male
50,-5.59694,-6.2326813,"('rich', 'poor')",-5.899732,-6.1704245,-5.748335838317871,-6.201552867889404,-0.4532170295715332
3,5.5226936,5.6335692,"('liked', 'disliked')",5.1581945,5.1232696,5.340444087982178,5.378419399261475,0.037975311279296875
30,-4.8118973,-4.984949,"('smart', 'stupid')",-4.6973224,-4.908798,-4.754610061645508,-4.946873664855957,-0.19226360321044922
5,-3.1209712,-3.2793002,"('helpful', 'unhelpful')",-2.687085,-2.7829685,-2.9040279388427734,-3.0311343669891357,-0.1271064281463623
44,2.8925958,2.373857,"('active', 'inactive')",2.598473,2.025806,2.7455344200134277,2.199831485748291,-0.5457029342651367
15,-2.5564442,-2.0963104,"('loyal', 'disloyal')",-2.2938492,-1.9443084,-2.4251465797424316,-2.0203094482421875,0.40483713150024414
18,2.515771,2.758131,"('good', 'evil')",1.6673584,1.7805722,2.091564655303955,2.2693514823913574,0.17778682708740234
14,-2.3248148,-2.4015262,"('honest', 'dishonest')",-1.5298536,-1.8172516,-1.927334189414978,-2.109388828277588,-0.18205463886260986
21,2.3151734,2.6372275,"('incorrupt', 'corrupt')",2.3557606,2.4951816,2.3354668617248535,2.56620454788208,0.23073768615722656
19,-2.0905776,-2.0394156,"('kind', 'unkind')",-2.9638734,-2.529487,-2.5272254943847656,-2.2844512462615967,0.24277424812316895
24,1.9595425,2.25486,"('generous', 'stingy')",1.8881583,2.1587539,1.923850417137146,2.2068068981170654,0.28295648097991943
37,-1.8428345,-2.1456172,"('practical', 'impractical')",-1.6439732,-1.8270533,-1.7434039115905762,-1.986335277557373,-0.24293136596679688
26,1.7975433,1.8513801,"('reliable', 'unreliable')",2.5385616,2.3266568,2.1680524349212646,2.0890183448791504,-0.07903409004211426
27,-1.7712914,-2.0001252,"('responsible', 'irresponsible')",-1.2909478,-1.6294875,-1.5311195850372314,-1.814806342124939,-0.2836867570877075
46,-1.635145,-1.8240926,"('energetic', 'lethargic')",-1.103457,-1.3659998,-1.3693009614944458,-1.5950462818145752,-0.2257453203201294
11,-1.6205012,-1.7136713,"('moral', 'immoral')",-1.1828188,-1.5662539,-1.4016599655151367,-1.6399626731872559,-0.23830270767211914
25,-1.581682,-1.1637381,"('forgiving', 'unforgiving')",-1.1419063,-0.94498116,-1.361794114112854,-1.0543596744537354,0.30743443965911865
33,-1.57167,-1.4419118,"('educated', 'uneducated')",-2.2616756,-2.0301085,-1.9166728258132935,-1.7360100746154785,0.18066275119781494
4,-1.4958298,-1.9284836,"('sensitive', 'insensitive')",-1.351119,-1.6243093,-1.4234744310379028,-1.7763965129852295,-0.35292208194732666
41,1.4791379,0.81038374,"('confident', 'shy')",2.652497,1.5780137,2.065817356109619,1.194198727607727,-0.8716186285018921
17,-1.4780362,-1.9617027,"('tolerant', 'intolerant')",-1.3610263,-1.855795,-1.419531226158142,-1.9087488651275635,-0.4892176389694214
28,1.4406843,1.4820001,"('unprejudiced', 'prejudiced')",1.5690854,1.4293754,1.5048848390579224,1.4556877613067627,-0.04919707775115967
34,1.4223105,2.1053016,"('rational', 'irrational')",1.0181919,1.264522,1.220251202583313,1.6849117279052734,0.46466052532196045
0,-1.3207014,-1.1226194,"('sociable', 'unsociable')",-1.4735322,-1.3209999,-1.397116780281067,-1.2218096256256104,0.17530715465545654
29,-1.3044096,-1.3933074,"('competent', 'incompetent')",-1.4789286,-1.4363694,-1.3916690349578857,-1.414838433265686,-0.023169398307800293
6,1.2704082,1.0281848,"('supportive', 'unsupportive')",0.865205,0.6846868,1.067806601524353,0.8564357757568359,-0.2113708257675171
22,1.2703445,2.2162092,"('amicable', 'hostile')",0.86525816,1.3553598,1.0678013563156128,1.7857844829559326,0.7179831266403198
39,1.2552357,1.518919,"('wise', 'foolish')",0.5526845,0.8147909,0.903960108757019,1.166854977607727,0.262894868850708
42,-1.2309715,-1.2069279,"('secure', 'insecure')",-0.7715695,-1.0801749,-1.0012705326080322,-1.1435513496398926,-0.14228081703186035
36,-1.2135816,-1.0764269,"('capable', 'incapable')",-0.9045153,-0.75009894,-1.0590484142303467,-0.9132629036903381,0.14578551054000854
48,-1.1834133,-1.4067624,"('dedicated', 'undedicated')",-1.238654,-1.4482299,-1.211033582687378,-1.4274961948394775,-0.2164626121520996
31,-1.1666728,-1.3509487,"('intelligent', 'unintelligent')",-1.0430303,-1.1158352,-1.104851484298706,-1.2333920001983643,-0.1285405158996582
40,-1.1349586,-0.99296236,"('logical', 'illogical')",-0.7060653,-0.7986446,-0.9205119609832764,-0.8958034515380859,0.02470850944519043
7,-1.1081731,-0.9611764,"('polite', 'impolite')",-0.8889596,-0.4702258,-0.9985663890838623,-0.7157011032104492,0.2828652858734131
12,-1.0964037,-0.855528,"('trustworthy', 'untrustworthy')",0.46888632,0.30336994,-0.3137587010860443,-0.2760790288448334,0.03767967224121094
13,-1.0728173,-1.5734665,"('sincere', 'insincere')",-0.96410006,-1.1130903,-1.0184587240219116,-1.343278408050537,-0.3248196840286255
53,-0.9524387,-1.0757278,"('influential', 'uninfluential')",-1.1364471,-1.093034,-1.044442892074585,-1.084380865097046,-0.03993797302246094
57,-0.9322834,-1.2711575,"('conservative', 'liberal')",-0.2588811,-0.32053447,-0.5955822467803955,-0.7958459854125977,-0.20026373863220215
10,0.9135815,1.2448363,"('hospitable', 'inhospitable')",0.8762704,1.1878043,0.8949259519577026,1.216320276260376,0.32139432430267334
54,-0.9047178,-1.0363656,"('successful', 'unsuccessful')",-0.95376354,-1.0197868,-0.9292407035827637,-1.028076171875,-0.09883546829223633
56,-0.887806,-0.5563035,"('conventional', 'unconventional')",-0.010167539,0.1636634,-0.4489867687225342,-0.1963200569152832,0.252666711807251
52,-0.7779375,-0.305398,"('superior', 'inferior')",0.014460444,0.08884299,-0.3817385137081146,-0.10827749967575073,0.2734610140323639
1,-0.70956427,-0.25938362,"('friendly', 'unfriendly')",-0.5708087,-0.6411457,-0.6401864886283875,-0.45026466250419617,0.18992182612419128
32,-0.70255613,-0.7567731,"('able', 'unable')",-0.05529836,-0.43302113,-0.37892723083496094,-0.5948971509933472,-0.21596992015838623
45,0.6888525,0.60285044,"('independent', 'dependent')",0.32968628,0.4044941,0.5092693567276001,0.5036722421646118,-0.005597114562988281
2,-0.6646043,-0.5400178,"('likable', 'unlikable')",-0.7283333,-0.6866623,-0.6964688301086426,-0.6133400201797485,0.08312880992889404
55,-0.582839,-0.1955695,"('conventional', 'unconventional')",-0.07471511,-0.02024129,-0.3287770748138428,-0.10790539532899857,0.2208716794848442
49,0.5497374,0.1662719,"('motivated', 'unmotivated')",1.7116234,1.1865895,1.1306804418563843,0.6764307022094727,-0.4542497396469116
38,-0.5477332,-0.11488284,"('discriminating', 'undiscriminating')",-1.2995455,-1.1468163,-0.9236393570899963,-0.6308495402336121,0.2927898168563843
