,Ceridian_male,Ceridian_female,tuple,average_male,average_female,female-male
49,1.7576146,1.4500867,"('motivated', 'unmotivated')",1.7576146125793457,1.4500867128372192,-0.30752789974212646
39,-1.3072813,-1.0252264,"('wise', 'foolish')",-1.307281255722046,-1.025226354598999,0.2820549011230469
50,-1.2261664,-1.2110939,"('rich', 'poor')",-1.2261663675308228,-1.2110939025878906,0.015072464942932129
53,1.2200191,1.2912637,"('influential', 'uninfluential')",1.2200191020965576,1.2912636995315552,0.07124459743499756
36,-1.1240268,-0.57194686,"('capable', 'incapable')",-1.1240267753601074,-0.5719468593597412,0.5520799160003662
30,-1.1168317,-1.2087889,"('smart', 'stupid')",-1.116831660270691,-1.2087888717651367,-0.0919572114944458
41,1.0832304,0.34029517,"('confident', 'shy')",1.0832303762435913,0.3402951657772064,-0.7429352104663849
3,0.9388275,1.0225455,"('liked', 'disliked')",0.9388275146484375,1.0225454568862915,0.083717942237854
52,-0.9379777,-0.7723602,"('superior', 'inferior')",-0.93797767162323,-0.7723602056503296,0.1656174659729004
13,0.9308106,0.664142,"('sincere', 'insincere')",0.9308105707168579,0.6641420125961304,-0.26666855812072754
20,-0.8904222,-0.34062743,"('right', 'wrong')",-0.8904222249984741,-0.34062743186950684,0.5497947931289673
33,-0.86785775,-0.366766,"('educated', 'uneducated')",-0.8678577542304993,-0.3667660057544708,0.5010917484760284
47,0.8488847,0.8022097,"('ambitious', 'unambitious')",0.8488847017288208,0.8022096753120422,-0.046675026416778564
34,-0.82232904,-0.23027384,"('rational', 'irrational')",-0.822329044342041,-0.23027384281158447,0.5920552015304565
56,-0.8123631,-0.8377182,"('conventional', 'unconventional')",-0.8123630881309509,-0.8377181887626648,-0.025355100631713867
15,-0.79585093,-0.26102117,"('loyal', 'disloyal')",-0.795850932598114,-0.2610211670398712,0.5348297655582428
16,-0.7376112,-0.53599477,"('fair', 'unfair')",-0.7376111745834351,-0.5359947681427002,0.20161640644073486
22,-0.72369635,0.07831988,"('amicable', 'hostile')",-0.7236963510513306,0.07831987738609314,0.8020162284374237
