,Value 1,0,1,Value 2,female-male,tuple
50,-5.1121655,rich,poor,-4.552968,0.5591974,"('rich', 'poor')"
3,4.457836,liked,disliked,3.5505009,-0.9073353,"('liked', 'disliked')"
30,-4.2237344,smart,stupid,-3.5931888,0.6305456,"('smart', 'stupid')"
5,-3.4512076,helpful,unhelpful,-3.441537,0.009670734,"('helpful', 'unhelpful')"
19,-2.9220536,kind,unkind,-2.6596508,0.26240277,"('kind', 'unkind')"
15,-2.4961233,loyal,disloyal,-1.7998374,0.69628596,"('loyal', 'disloyal')"
24,2.2035189,generous,stingy,2.091683,-0.11183596,"('generous', 'stingy')"
14,-2.1974807,honest,dishonest,-2.204616,-0.0071353912,"('honest', 'dishonest')"
21,2.1669383,incorrupt,corrupt,2.1403267,-0.026611567,"('incorrupt', 'corrupt')"
37,-2.1668355,practical,impractical,-2.5783722,-0.4115367,"('practical', 'impractical')"
26,2.0653806,reliable,unreliable,1.7175678,-0.34781277,"('reliable', 'unreliable')"
44,2.0505965,active,inactive,1.2129486,-0.8376479,"('active', 'inactive')"
41,2.0286124,confident,shy,0.8282592,-1.2003531,"('confident', 'shy')"
18,1.9757628,good,evil,1.8977255,-0.07803738,"('good', 'evil')"
28,1.8835086,unprejudiced,prejudiced,1.553234,-0.33027458,"('unprejudiced', 'prejudiced')"
4,-1.7833552,sensitive,insensitive,-1.6011367,0.18221855,"('sensitive', 'insensitive')"
17,-1.7615329,tolerant,intolerant,-1.6388209,0.122712016,"('tolerant', 'intolerant')"
33,-1.5624623,educated,uneducated,-0.7931769,0.76928544,"('educated', 'uneducated')"
25,-1.4554641,forgiving,unforgiving,-1.0410435,0.4144206,"('forgiving', 'unforgiving')"
27,-1.3904272,responsible,irresponsible,-1.499407,-0.10897982,"('responsible', 'irresponsible')"
1,-1.312159,friendly,unfriendly,-1.6127832,-0.30062425,"('friendly', 'unfriendly')"
7,-1.2899747,polite,impolite,-1.1046624,0.18531227,"('polite', 'impolite')"
29,-1.2262042,competent,incompetent,-1.156971,0.06923318,"('competent', 'incompetent')"
45,1.2005261,independent,dependent,1.3031912,0.10266507,"('independent', 'dependent')"
51,-1.1401477,powerful,powerless,-0.8681413,0.2720064,"('powerful', 'powerless')"
36,-1.138133,capable,incapable,-0.9366901,0.20144296,"('capable', 'incapable')"
11,-1.1097932,moral,immoral,-1.3550797,-0.24528646,"('moral', 'immoral')"
22,1.0899554,amicable,hostile,1.0677832,-0.022172213,"('amicable', 'hostile')"
49,1.0500938,motivated,unmotivated,0.56110054,-0.48899323,"('motivated', 'unmotivated')"
16,1.0066229,fair,unfair,0.822181,-0.18444192,"('fair', 'unfair')"
53,-0.94849646,influential,uninfluential,-0.53398967,0.4145068,"('influential', 'uninfluential')"
34,0.94127524,rational,irrational,1.333794,0.39251876,"('rational', 'irrational')"
31,-0.91691566,intelligent,unintelligent,-0.40257287,0.5143428,"('intelligent', 'unintelligent')"
40,-0.89145726,logical,illogical,-0.89781225,-0.0063549876,"('logical', 'illogical')"
48,-0.8650166,dedicated,undedicated,-1.1425501,-0.27753353,"('dedicated', 'undedicated')"
0,-0.85811687,sociable,unsociable,-0.49103945,0.3670774,"('sociable', 'unsociable')"
20,-0.805559,right,wrong,-0.9507122,-0.14515322,"('right', 'wrong')"
6,0.77627504,supportive,unsupportive,0.016422555,-0.75985247,"('supportive', 'unsupportive')"
23,0.76275694,truthful,untruthful,0.78649247,0.023735523,"('truthful', 'untruthful')"
38,-0.7614375,discriminating,undiscriminating,-1.2484696,-0.48703212,"('discriminating', 'undiscriminating')"
47,-0.7593325,ambitious,unambitious,-0.77028906,-0.010956585,"('ambitious', 'unambitious')"
54,-0.74294007,successful,unsuccessful,-0.883128,-0.14018792,"('successful', 'unsuccessful')"
52,-0.7334281,superior,inferior,-0.573565,0.15986311,"('superior', 'inferior')"
46,-0.64895236,energetic,lethargic,-0.617962,0.030990362,"('energetic', 'lethargic')"
43,-0.60174,active,inactive,-0.7241699,-0.12242991,"('active', 'inactive')"
2,-0.54785717,likable,unlikable,-0.3017125,0.24614465,"('likable', 'unlikable')"
8,-0.4981214,popular,unpopular,-0.06319475,0.43492666,"('popular', 'unpopular')"
42,-0.4974759,secure,insecure,0.09344499,0.59092087,"('secure', 'insecure')"
13,-0.46832666,sincere,insincere,-0.06500432,0.40332234,"('sincere', 'insincere')"
35,-0.44725364,creative,uncreative,-1.1390367,-0.691783,"('creative', 'uncreative')"
57,0.3254736,conservative,liberal,0.16867979,-0.15679382,"('conservative', 'liberal')"
9,0.19866699,nice,nasty,0.18652713,-0.012139857,"('nice', 'nasty')"
12,0.13407227,trustworthy,untrustworthy,0.16564834,0.031576067,"('trustworthy', 'untrustworthy')"
55,-0.12426953,conventional,unconventional,0.17426792,0.29853743,"('conventional', 'unconventional')"
39,-0.113197535,wise,foolish,0.32884467,0.4420422,"('wise', 'foolish')"
32,-0.09767413,able,unable,-0.09361307,0.004061058,"('able', 'unable')"
10,0.066411346,hospitable,inhospitable,-0.50797665,-0.574388,"('hospitable', 'inhospitable')"
56,-0.009893715,conventional,unconventional,-0.15832679,-0.14843307,"('conventional', 'unconventional')"
