,Oracle_male,Oracle_female,tuple,average_male,average_female,female-male
75,5.5731144,4.942164,"('confident', 'shy')",5.5731144,4.9421639,-0.6309505
27,-5.102789,-4.7654934,"('sincere', 'insincere')",-5.1027889,-4.7654934,0.3372955
6,4.820137,4.360341,"('liked', 'disliked')",4.820137,4.3603411,-0.4597959
40,-4.4675016,-4.2791424,"('honorable', 'mean')",-4.4675016,-4.2791424,0.1883592
95,-4.324122,-3.9313142,"('rich', 'poor')",-4.324122,-3.9313142,0.3928078
48,3.5885088,3.2288117,"('reliable', 'unreliable')",3.5885088,3.2288117,-0.3596971
53,-3.3569827,-3.003624,"('smart', 'stupid')",-3.3569827,-3.003624,0.3533587
1,-2.4584436,-2.2151752,"('friendly', 'unfriendly')",-2.4584436,-2.2151752,0.2432684
50,2.420407,2.303268,"('unprejudiced', 'prejudiced')",2.4204071,2.303268,-0.1171391
86,2.2485924,1.9239843,"('self-reliant', 'helpless')",2.2485924,1.9239843,-0.3246081
11,-2.2161176,-2.0506213,"('caring', 'unaffectionate')",-2.2161176,-2.0506213,0.1654963
66,2.118104,1.7514981,"('imaginative', 'unimaginative')",2.118104,1.7514981,-0.3666059
13,-1.998933,-1.9721336,"('helpful', 'unhelpful')",-1.998933,-1.9721336,0.0267994
46,1.9985723,1.9189901,"('generous', 'stingy')",1.9985723,1.9189901,-0.0795822
107,1.9064226,2.0340648,"('conventional', 'modern')",1.9064226,2.0340648,0.1276422
94,1.8460968,1.7169212,"('aggressive', 'submissive')",1.8460968,1.7169212,-0.1291756
104,-1.821779,-1.7390764,"('conventional', 'unconventional')",-1.821779,-1.7390764,0.0827026
99,-1.7494688,-1.5895963,"('prestigious', 'insignificant')",-1.7494688,-1.5895963,0.1598725
56,1.6958306,1.7037721,"('intelligent', 'dumb')",1.6958306,1.7037721,0.0079415
32,-1.6692536,-1.4890889,"('benevolent', 'hardhearted')",-1.6692536,-1.4890889,0.1801647
93,1.6641109,1.6263587,"('dominating', 'dominated')",1.6641109,1.6263587,-0.0377522
3,1.5658884,1.3933191,"('likable', 'unlikable')",1.5658884,1.3933191,-0.1725693
97,-1.5285056,-1.5062361,"('superior', 'inferior')",-1.5285056,-1.5062361,0.0222695
58,-1.483794,-1.1903977,"('able', 'clumsy')",-1.483794,-1.1903977,0.2933963
105,-1.4826689,-1.3377994,"('conventional', 'modern')",-1.4826689,-1.3377994,0.1448695
28,-1.40822,-1.3658309,"('honest', 'dishonest')",-1.4082201,-1.3658309,0.0423892
72,-1.3948026,-1.3209212,"('logical', 'illogical')",-1.3948026,-1.3209212,0.0738814
98,-1.2923843,-1.1866727,"('prestigious', 'insignificant')",-1.2923843,-1.1866727,0.1057116
15,1.2802414,1.3850324,"('polite', 'impolite')",1.2802414,1.3850324,0.104791
84,-1.2492101,-1.2690588,"('self-confident', 'diffident')",-1.2492101,-1.2690588,-0.0198487
16,1.2320881,1.1994746,"('social', 'antisocial')",1.2320881,1.1994746,-0.0326135
62,-1.1827072,-1.0656047,"('creative', 'uncreative')",-1.1827072,-1.0656047,0.1171025
8,-1.1538084,-1.0641475,"('open', 'distant')",-1.1538084,-1.0641475,0.0896609
44,-1.1483928,-1.1526216,"('truthful', 'untruthful')",-1.1483928,-1.1526216,-0.0042288
102,-1.11179,-1.1697888,"('eminent', 'low')",-1.1117899,-1.1697888,-0.0579989
83,1.1074445,1.0656916,"('energetic', 'lethargic')",1.1074445,1.0656916,-0.0417529
38,-1.0926559,-0.86271626,"('kind', 'unkind')",-1.0926559,-0.8627163,0.2299396
109,1.0790596,1.103414,"('conservative', 'liberal')",1.0790596,1.1034141,0.0243545
108,1.0790596,1.103414,"('conservative', 'liberal')",1.0790596,1.1034141,0.0243545
63,-1.0546339,-1.000325,"('capable', 'incapable')",-1.0546339,-1.000325,0.0543089
33,-1.0479357,-0.8905872,"('softhearted', 'hardhearted')",-1.0479357,-0.8905872,0.1573485
10,-1.0343789,-0.8177566,"('affectionate', 'unaffectionate')",-1.0343789,-0.8177566,0.2166223
81,1.0105538,0.9326267,"('industrious', 'lazy')",1.0105538,0.9326267,-0.0779271
34,-0.9974715,-0.7406659,"('loyal', 'disloyal')",-0.9974715,-0.7406659,0.2568056
68,-0.9721226,-1.0896502,"('clever', 'inept')",-0.9721226,-1.0896502,-0.1175276
29,-0.96908617,-1.025111,"('honest', 'immoral')",-0.9690862,-1.025111,-0.0560248
110,0.9573007,0.85994434,"('narrow-minded', 'open-minded')",0.9573007,0.8599443,-0.0973564
100,-0.94438314,-0.87446696,"('influential', 'uninfluential')",-0.9443831,-0.874467,0.0699161
74,-0.9207288,-0.95645595,"('insightful', 'unperceptive')",-0.9207288,-0.9564559,-0.0357271
21,0.85399115,0.703128,"('nice', 'nasty')",0.8539912,0.703128,-0.1508632
49,-0.8380892,-0.93504804,"('responsible', 'irresponsible')",-0.8380892,-0.935048,-0.0969588
60,0.82639873,0.97262466,"('educated', 'uneducated')",0.8263987,0.9726247,0.146226
69,-0.8140264,-0.6845536,"('wise', 'foolish')",-0.8140264,-0.6845536,0.1294728
78,0.79761255,0.6198697,"('active', 'inactive')",0.7976125,0.6198697,-0.1777428
79,0.7948605,0.7719511,"('determined', 'doubtful')",0.7948605,0.7719511,-0.0229094
89,0.7875495,0.72937804,"('daring', 'anxious')",0.7875495,0.729378,-0.0581715
4,-0.7597776,-0.8041421,"('likable', 'unlikable')",-0.7597776,-0.8041421,-0.0443645
37,0.7295774,0.69147986,"('good', 'evil')",0.7295774,0.6914799,-0.0380975
88,0.7201391,0.7348424,"('impulsive', 'meek')",0.7201391,0.7348424,0.0147033
76,0.7137814,0.46209973,"('secure', 'insecure')",0.7137814,0.4620997,-0.2516817
90,0.71313095,0.37755212,"('motivated', 'unmotivated')",0.713131,0.3775521,-0.3355789
92,-0.6315773,-0.55620223,"('unwavering', 'wavering')",-0.6315773,-0.5562022,0.0753751
36,-0.62168413,-0.61402357,"('tolerant', 'intolerant')",-0.6216841,-0.6140236,0.0076605
14,0.5898954,0.31291708,"('supportive', 'unsupportive')",0.5898954,0.3129171,-0.2769783
31,-0.5868486,-0.34195387,"('altruistic', 'egoistic')",-0.5868486,-0.3419539,0.2448947
96,-0.5851023,-0.69092286,"('powerful', 'powerless')",-0.5851023,-0.6909229,-0.1058206
91,-0.58458936,-0.6012386,"('resilient', 'nonresilient')",-0.5845894,-0.6012386,-0.0166492
26,0.57759714,0.60873187,"('trustworthy', 'untrustworthy')",0.5775971,0.6087319,0.0311348
67,-0.5728817,-0.57524824,"('discriminating', 'undiscriminating')",-0.5728817,-0.5752482,-0.0023665
20,-0.565877,-0.5509254,"('popular', 'unpopular')",-0.565877,-0.5509254,0.0149516
55,-0.56176704,-0.732254,"('intelligent', 'unintelligent')",-0.561767,-0.732254,-0.170487
39,-0.5587529,-0.54415655,"('right', 'wrong')",-0.5587529,-0.5441566,0.0145963
45,-0.5413142,-0.6687698,"('cooperative', 'exploitative')",-0.5413142,-0.6687698,-0.1274556
59,0.52507937,0.6386669,"('skillful', 'clumsy')",0.5250794,0.6386669,0.1135875
2,0.5233645,0.392426,"('friendly', 'unfriendly')",0.5233645,0.392426,-0.1309385
43,0.5124841,0.5893951,"('genuine', 'fake')",0.5124841,0.5893951,0.076911
24,-0.50927866,-0.542047,"('thoughtful', 'rough')",-0.5092787,-0.542047,-0.0327683
77,0.50836074,0.58177304,"('active', 'inactive')",0.5083607,0.581773,0.0734123
17,0.48997533,0.5191605,"('social', 'antisocial')",0.4899753,0.5191605,0.0291852
7,-0.4536599,-0.4667039,"('outgoing', 'distant')",-0.4536599,-0.4667039,-0.013044
80,0.44195515,0.39171553,"('independent', 'dependent')",0.4419551,0.3917155,-0.0502396
51,0.4254873,0.2337184,"('competent', 'incompetent')",0.4254873,0.2337184,-0.1917689
82,0.419329,0.49260524,"('industrious', 'meek')",0.419329,0.4926052,0.0732762
22,0.40039498,0.44035262,"('welcoming', 'disagreeable')",0.400395,0.4403526,0.0399576
101,-0.4002985,-0.5705293,"('successful', 'unsuccessful')",-0.4002985,-0.5705293,-0.1702308
61,-0.38406307,-0.27378672,"('rational', 'irrational')",-0.3840631,-0.2737867,0.1102764
35,0.3804472,0.44245243,"('fair', 'unfair')",0.3804472,0.4424524,0.0620052
85,-0.3652513,-0.59457463,"('ambitious', 'unambitious')",-0.3652513,-0.5945746,-0.2293233
73,-0.33218932,-0.6472294,"('brilliant', 'incompetent')",-0.3321893,-0.6472294,-0.3150401
