,Southern_male,Southern_female,tuple,Company_male,Company_female,average_male,average_female,female-male
3,4.94108,4.8967876,"('liked', 'disliked')",4.6010456,4.608712,4.771062850952148,4.752749919891357,-0.018312931060791016
50,-4.6219673,-4.3973236,"('rich', 'poor')",-5.7106314,-5.7415104,-5.166299343109131,-5.0694169998168945,0.09688234329223633
30,-3.3276439,-2.8309708,"('smart', 'stupid')",-3.648521,-3.8080907,-3.4880824089050293,-3.319530725479126,0.16855168342590332
26,2.096199,2.0486708,"('reliable', 'unreliable')",1.9145089,1.8205051,2.0053539276123047,1.9345879554748535,-0.07076597213745117
44,1.7899058,1.2271137,"('active', 'inactive')",2.4846003,2.2688856,2.1372530460357666,1.747999668121338,-0.3892533779144287
15,-1.6646554,-1.2782565,"('loyal', 'disloyal')",-2.1376889,-1.7798164,-1.901172161102295,-1.529036521911621,0.37213563919067383
5,-1.6208344,-1.1549628,"('helpful', 'unhelpful')",-3.6787496,-3.5016527,-2.649791955947876,-2.328307628631592,0.3214843273162842
28,1.6159023,1.5268204,"('unprejudiced', 'prejudiced')",2.3217878,2.2123914,1.9688451290130615,1.8696058988571167,-0.09923923015594482
1,-1.5912622,-1.6403886,"('friendly', 'unfriendly')",-1.6749282,-1.6091913,-1.6330952644348145,-1.6247899532318115,0.00830531120300293
24,1.4693446,1.3148552,"('generous', 'stingy')",1.9384167,2.1499496,1.7038806676864624,1.7324023246765137,0.02852165699005127
23,1.3768792,1.4994206,"('truthful', 'untruthful')",0.33848107,0.36739427,0.8576801419258118,0.9334074258804321,0.07572728395462036
55,-1.3036838,-1.4425594,"('conventional', 'unconventional')",0.17481478,0.38147148,-0.5644344687461853,-0.5305439233779907,0.03389054536819458
19,-1.2558277,-0.56916314,"('kind', 'unkind')",-2.9702783,-2.6353807,-2.1130528450012207,-1.6022719144821167,0.510780930519104
41,1.2156558,0.99087465,"('confident', 'shy')",2.276843,1.5616796,1.7462494373321533,1.2762770652770996,-0.4699723720550537
33,-1.0450256,-0.9132593,"('educated', 'uneducated')",-2.2257392,-1.8989105,-1.6353824138641357,-1.4060848951339722,0.22929751873016357
14,-1.033442,-0.86135006,"('honest', 'dishonest')",-1.133698,-1.1101726,-1.0835700035095215,-0.9857613444328308,0.09780865907669067
36,-0.9983674,-1.0561461,"('capable', 'incapable')",-0.91820496,-0.9240596,-0.9582861661911011,-0.9901028871536255,-0.031816720962524414
21,0.92494893,0.6353005,"('incorrupt', 'corrupt')",2.4343433,2.4374638,1.6796461343765259,1.5363821983337402,-0.14326393604278564
4,-0.92287827,-0.76545566,"('sensitive', 'insensitive')",-1.1515735,-1.1100597,-1.0372259616851807,-0.9377577304840088,0.09946823120117188
22,0.9213681,0.5437467,"('amicable', 'hostile')",1.2511683,1.4880103,1.0862681865692139,1.015878438949585,-0.0703897476196289
12,0.86391777,1.2182084,"('trustworthy', 'untrustworthy')",0.5204803,0.5127214,0.6921989917755127,0.8654649257659912,0.17326593399047852
31,-0.8209462,-0.8408804,"('intelligent', 'unintelligent')",-1.6035653,-1.4336234,-1.2122557163238525,-1.137251853942871,0.07500386238098145
6,0.8193759,0.6232326,"('supportive', 'unsupportive')",-0.090426534,-0.04036078,0.36447465419769287,0.2914358973503113,-0.07303875684738159
