,Hilton_male,Hilton_female,tuple,Worldwide_male,Worldwide_female,average_male,average_female,female-male
75,7.5461464,7.2270927,"('confident', 'shy')",5.592423,5.576126,6.5692844,6.4016094,-0.167675
6,5.935318,5.585833,"('liked', 'disliked')",5.059539,5.0546627,5.4974284,5.3202477,-0.1771807
95,-5.6585793,-5.638197,"('rich', 'poor')",-4.375592,-4.340766,-5.017086,-4.9894814,0.0276046
27,-5.6318355,-5.195132,"('sincere', 'insincere')",-5.6222725,-5.599762,-5.6270542,-5.3974466,0.2296076
53,-5.4076347,-5.2863655,"('smart', 'stupid')",-3.20122,-3.2853312,-4.3044271,-4.2858486,0.0185785
40,-5.270191,-5.161802,"('honorable', 'mean')",-3.9317508,-4.0735517,-4.6009712,-4.6176767,-0.0167055
86,3.7134376,3.40171,"('self-reliant', 'helpless')",2.1606333,2.1164942,2.9370356,2.7591021,-0.1779335
1,-3.0916557,-3.1048496,"('friendly', 'unfriendly')",-1.7241566,-1.5739081,-2.4079061,-2.3393788,0.0685273
48,3.0402303,2.7997568,"('reliable', 'unreliable')",1.9877063,1.7176735,2.5139682,2.2587152,-0.255253
32,-2.6741753,-2.71905,"('benevolent', 'hardhearted')",-1.5285883,-1.4538984,-2.1013818,-2.0864742,0.0149076
66,2.6539526,2.6593895,"('imaginative', 'unimaginative')",2.2223387,2.1469913,2.4381456,2.4031904,-0.0349552
11,-2.5329545,-2.4781976,"('caring', 'unaffectionate')",-2.0911856,-2.1253648,-2.3120699,-2.3017812,0.0102887
99,-2.5121944,-2.7144756,"('prestigious', 'insignificant')",-1.0001048,-0.82915413,-1.7561495,-1.7718148,-0.0156653
94,2.3789458,2.2658656,"('aggressive', 'submissive')",0.9511723,0.87551665,1.6650591,1.5706911,-0.094368
50,2.2928853,2.0631883,"('unprejudiced', 'prejudiced')",1.0566278,0.9838699,1.6747565,1.5235291,-0.1512274
105,-2.2491107,-2.2021399,"('conventional', 'modern')",0.0877997,0.066228986,-1.0806555,-1.0679555,0.0127
104,-2.206739,-1.8248621,"('conventional', 'unconventional')",-2.0603924,-1.878897,-2.1335657,-1.8518796,0.2816861
3,2.029296,1.6806521,"('likable', 'unlikable')",1.5300152,1.6308348,1.7796556,1.6557435,-0.1239121
109,1.959506,1.9888996,"('conservative', 'liberal')",1.2910339,1.3546968,1.6252699,1.6717982,0.0465283
108,1.959506,1.9888996,"('conservative', 'liberal')",1.2910339,1.3546968,1.6252699,1.6717982,0.0465283
93,1.8243276,1.9720567,"('dominating', 'dominated')",-0.13226995,-0.11896527,0.8460288,0.9265457,0.0805169
10,-1.7716787,-1.7328609,"('affectionate', 'unaffectionate')",-0.7080991,-0.61944354,-1.2398889,-1.1761522,0.0637367
90,1.7469926,1.4328537,"('motivated', 'unmotivated')",0.8891139,0.76776195,1.3180532,1.1003078,-0.2177454
38,-1.7194059,-1.4803956,"('kind', 'unkind')",-1.7897015,-1.6892653,-1.7545537,-1.5848304,0.1697233
33,-1.6950014,-1.2423753,"('softhearted', 'hardhearted')",-1.4694126,-1.400652,-1.582207,-1.3215137,0.2606933
98,-1.6946692,-1.8798034,"('prestigious', 'insignificant')",-0.67782414,-0.6539132,-1.1862466,-1.2668583,-0.0806117
63,-1.6474576,-1.8798748,"('capable', 'incapable')",-1.1586301,-1.1777257,-1.4030439,-1.5288002,-0.1257563
62,-1.606522,-1.6340591,"('creative', 'uncreative')",-0.50788796,-0.45772088,-1.057205,-1.04589,0.011315
78,1.5718924,1.4476144,"('active', 'inactive')",1.0907885,0.82441676,1.3313404,1.1360157,-0.1953247
46,1.5063267,1.527726,"('generous', 'stingy')",1.2867926,1.2889156,1.3965597,1.4083209,0.0117612
84,-1.4981309,-1.7744689,"('self-confident', 'diffident')",-1.0950272,-1.2707613,-1.2965791,-1.5226151,-0.226036
47,-1.4240651,-1.3375318,"('forgiving', 'unforgiving')",-0.55419147,-0.45051047,-0.9891283,-0.8940212,0.0951071
56,1.3220701,1.4390433,"('intelligent', 'dumb')",0.69468594,0.569509,1.008378,1.0042762,-0.0041018
72,-1.3189304,-1.0610086,"('logical', 'illogical')",-0.9756735,-0.69775236,-1.1473019,-0.8793805,0.2679214
28,-1.2955222,-1.003391,"('honest', 'dishonest')",-1.786356,-1.7948709,-1.5409391,-1.3991309,0.1418082
68,-1.2268939,-1.3928952,"('clever', 'inept')",-1.0568323,-1.1965799,-1.1418631,-1.2947376,-0.1528745
58,-1.2128091,-0.76037115,"('able', 'clumsy')",-0.99082243,-0.84408724,-1.1018157,-0.8022292,0.2995865
88,1.1603689,1.0141071,"('impulsive', 'meek')",0.83352876,0.79629725,0.9969488,0.9052022,-0.0917466
8,-1.1543896,-1.2749603,"('open', 'distant')",-0.3070442,-0.46311963,-0.7307169,-0.86904,-0.1383231
24,-1.1467122,-1.085204,"('thoughtful', 'rough')",-1.2955,-1.1027566,-1.2211061,-1.0939803,0.1271258
42,-1.1243937,-1.1440988,"('amicable', 'hostile')",0.45850265,0.74414986,-0.3329455,-0.1999744,0.1329711
107,1.1068376,1.2572502,"('conventional', 'modern')",2.366695,2.3951294,1.7367663,1.8261898,0.0894235
31,-1.0985342,-1.1297097,"('altruistic', 'egoistic')",-0.63022476,-0.44564575,-0.8643795,-0.7876778,0.0767017
71,1.0526135,0.91806865,"('efficient', 'inefficient')",-0.19000638,-0.3613627,0.4313036,0.278353,-0.1529506
15,1.0509055,1.2282263,"('polite', 'impolite')",1.3169248,1.4589376,1.1839151,1.3435819,0.1596668
4,-1.0407184,-1.4675615,"('likable', 'unlikable')",-0.41435862,-0.3270173,-0.7275385,-0.8972894,-0.1697509
52,1.027965,1.1714592,"('competitive', 'uncompetitive')",-0.287472,-0.22662014,0.3702465,0.4724195,0.102173
49,-1.0123941,-0.99926174,"('responsible', 'irresponsible')",-1.3220577,-1.587289,-1.1672258,-1.2932754,-0.1260496
81,0.9832799,0.74610394,"('industrious', 'lazy')",0.6432792,0.6723623,0.8132795,0.7092332,-0.1040463
34,-0.97890663,-0.7427417,"('loyal', 'disloyal')",-1.7749066,-1.6404247,-1.3769066,-1.1915832,0.1853234
97,-0.96672595,-0.72137153,"('superior', 'inferior')",-1.0338212,-0.85673356,-1.0002736,-0.7890525,0.2112211
20,-0.9190507,-1.1390278,"('popular', 'unpopular')",-0.08811289,0.035705775,-0.5035818,-0.551661,-0.0480792
2,0.90437746,1.1315109,"('friendly', 'unfriendly')",-0.7161157,-0.6878749,0.0941309,0.221818,0.1276871
5,0.864589,0.97289413,"('pleasant', 'repellent')",0.55776143,0.51379436,0.7111752,0.7433442,0.032169
39,-0.8435831,-0.9568617,"('right', 'wrong')",0.11124414,0.3006114,-0.3661695,-0.3281251,0.0380444
14,0.81800145,0.5282502,"('supportive', 'unsupportive')",-0.06413555,-0.45600793,0.3769329,0.0361211,-0.3408118
80,0.8167979,0.9600425,"('independent', 'dependent')",0.13016912,0.14040948,0.4734835,0.550226,0.0767425
61,-0.8151806,-0.80053526,"('rational', 'irrational')",0.35758653,0.681664,-0.228797,-0.0594356,0.1693614
51,0.80426675,0.97342825,"('competent', 'incompetent')",-0.14402902,-0.33428806,0.3301189,0.3195701,-0.0105488
101,-0.7544419,-1.0321548,"('successful', 'unsuccessful')",-1.8422601,-1.7918298,-1.298351,-1.4119923,-0.1136413
92,-0.7397946,-0.78789586,"('unwavering', 'wavering')",-0.9961719,-1.2247822,-0.8679832,-1.0063391,-0.1383559
83,0.7311125,0.94356567,"('energetic', 'lethargic')",-0.10092276,-0.24453282,0.3150949,0.3495164,0.0344215
21,0.68225044,0.58239365,"('nice', 'nasty')",1.2373991,1.0464272,0.9598248,0.8144104,-0.1454144
45,-0.6670395,-0.6698967,"('cooperative', 'exploitative')",-1.1507679,-1.1227063,-0.9089037,-0.8963015,0.0126022
13,-0.6652586,-0.44199055,"('helpful', 'unhelpful')",-2.362183,-2.5036013,-1.5137209,-1.472796,0.0409249
69,-0.63445824,-0.49571204,"('wise', 'foolish')",-0.52589506,-0.4290014,-0.5801767,-0.4623567,0.11782
89,0.6307833,0.5182686,"('daring', 'anxious')",-0.73012984,-0.84916925,-0.0496733,-0.1654503,-0.115777
74,-0.59403515,-0.6416033,"('insightful', 'unperceptive')",-1.642498,-1.8200347,-1.1182666,-1.230819,-0.1125524
