,International_male,International_female,tuple,Paper_male,Paper_female,average_male,average_female,female-male
75,4.4732122,4.780427,"('confident', 'shy')",6.372245,6.5860577,5.4227285,5.6832423,0.2605138
27,-4.0837345,-4.3523536,"('sincere', 'insincere')",-5.920582,-5.970211,-5.0021582,-5.1612825,-0.1591243
6,3.8406193,4.1015024,"('liked', 'disliked')",5.7710238,5.9186378,4.8058214,5.0100698,0.2042484
53,-3.1129975,-3.3659205,"('smart', 'stupid')",-4.6903324,-4.9716473,-3.901665,-4.1687841,-0.2671191
95,-2.8154545,-3.0878992,"('rich', 'poor')",-5.563911,-5.765592,-4.189683,-4.4267454,-0.2370624
40,-2.8081641,-3.2003965,"('honorable', 'mean')",-4.738019,-4.8373523,-3.7730916,-4.0188742,-0.2457826
107,2.317912,2.4004447,"('conventional', 'modern')",-0.25749987,-0.05370903,1.0302061,1.1733679,0.1431618
13,-1.9416857,-2.1605744,"('helpful', 'unhelpful')",-2.2579422,-2.022766,-2.0998139,-2.0916703,0.0081436
32,-1.9380273,-1.7460811,"('benevolent', 'hardhearted')",-1.6061382,-1.4443117,-1.7720828,-1.5951965,0.1768863
1,-1.7865536,-1.5042386,"('friendly', 'unfriendly')",-1.2671508,-1.478174,-1.5268521,-1.4912063,0.0356458
11,-1.7414782,-1.7638924,"('caring', 'unaffectionate')",-1.5584235,-1.7437539,-1.6499509,-1.7538232,-0.1038723
49,-1.5461802,-1.7526569,"('responsible', 'irresponsible')",-1.0885133,-1.3170555,-1.3173468,-1.5348562,-0.2175094
66,1.5368606,1.5965319,"('imaginative', 'unimaginative')",1.4428103,1.3312963,1.4898355,1.4639142,-0.0259213
86,1.530324,1.5195117,"('self-reliant', 'helpless')",3.146052,2.976398,2.3381879,2.2479548,-0.0902331
34,-1.4347495,-1.26946,"('loyal', 'disloyal')",-1.645495,-1.3886232,-1.5401223,-1.3290416,0.2110807
103,1.4248486,1.4347029,"('traditional', 'modern')",0.6699178,0.81013054,1.0473832,1.1224167,0.0750335
65,-1.3870564,-1.4802618,"('practical', 'impractical')",-1.3802748,-1.3538711,-1.3836656,-1.4170665,-0.0334009
24,-1.3044584,-1.2857392,"('thoughtful', 'rough')",-0.651686,-0.60580885,-0.9780722,-0.945774,0.0322982
78,1.2374089,1.0112218,"('active', 'inactive')",1.9689314,1.5750072,1.6031702,1.2931144,-0.3100558
