,Western_male,Western_female,tuple,Union_male,Union_female,average_male,average_female,female-male
3,2.329173,1.9870521,"('liked', 'disliked')",3.52357,3.4950747,2.9263715744018555,2.741063356399536,-0.18530821800231934
50,-1.9450929,-1.6153829,"('rich', 'poor')",-2.8457317,-2.9134552,-2.3954124450683594,-2.2644190788269043,0.13099336624145508
30,-1.9077065,-1.3023815,"('smart', 'stupid')",-3.28663,-3.0840287,-2.597168207168579,-2.1932051181793213,0.4039630889892578
44,1.5342758,0.8066242,"('active', 'inactive')",1.7057142,1.2638942,1.6199949979782104,1.0352592468261719,-0.5847357511520386
55,-1.5074632,-1.7700665,"('conventional', 'unconventional')",-0.73828053,-0.65312684,-1.1228718757629395,-1.2115967273712158,-0.08872485160827637
11,-1.3695378,-0.7641508,"('moral', 'immoral')",-0.4075997,-0.46877688,-0.8885687589645386,-0.616463840007782,0.2721049189567566
21,1.2513591,0.83091474,"('incorrupt', 'corrupt')",1.38138,1.490912,1.3163695335388184,1.160913348197937,-0.15545618534088135
15,-1.2209885,-0.8970878,"('loyal', 'disloyal')",-1.2776642,-1.0081558,-1.2493263483047485,-0.9526218175888062,0.2967045307159424
37,-1.184626,-0.6286372,"('practical', 'impractical')",-1.7591294,-1.4653631,-1.4718776941299438,-1.0470001697540283,0.4248775243759155
14,-1.1635412,-0.87960565,"('honest', 'dishonest')",-1.4881476,-1.3952501,-1.325844407081604,-1.137427806854248,0.18841660022735596
19,-0.9945573,-0.27990618,"('kind', 'unkind')",-1.0545638,-0.6778372,-1.024560570716858,-0.4788717031478882,0.5456888675689697
22,0.95187986,0.4160458,"('amicable', 'hostile')",0.5894364,0.4716053,0.7706581354141235,0.44382554292678833,-0.3268325924873352
23,0.9181895,1.0364718,"('truthful', 'untruthful')",0.272317,0.35361537,0.5952532291412354,0.6950436234474182,0.09979039430618286
2,0.877952,1.038085,"('likable', 'unlikable')",0.17902316,0.35053837,0.5284875631332397,0.6943116784095764,0.16582411527633667
49,0.850704,0.7526983,"('motivated', 'unmotivated')",1.1720614,0.9914645,1.0113826990127563,0.8720813989639282,-0.13930130004882812
5,-0.8499677,-0.31996727,"('helpful', 'unhelpful')",-1.599249,-1.3648024,-1.2246084213256836,-0.8423848152160645,0.38222360610961914
35,-0.81996304,-0.99676406,"('creative', 'uncreative')",0.14137855,0.23391339,-0.3392922282218933,-0.38142532110214233,-0.04213309288024902
7,0.76266664,1.3288968,"('polite', 'impolite')",0.4820348,0.7444893,0.6223506927490234,1.0366930961608887,0.41434240341186523
33,-0.75823504,-0.45923853,"('educated', 'uneducated')",-0.77677065,-0.64251137,-0.7675028443336487,-0.5508749485015869,0.21662789583206177
4,-0.7567651,-0.4715947,"('sensitive', 'insensitive')",-0.47868508,-0.45359057,-0.617725133895874,-0.46259263157844543,0.1551325023174286
36,-0.72788596,-0.82512164,"('capable', 'incapable')",-0.701956,-0.82001996,-0.7149209976196289,-0.82257080078125,-0.1076498031616211
25,-0.7227178,-0.5752512,"('forgiving', 'unforgiving')",-0.36976138,-0.23409475,-0.5462396144866943,-0.4046729803085327,0.14156663417816162
1,-0.72190446,-1.0299649,"('friendly', 'unfriendly')",-1.491853,-1.335459,-1.1068787574768066,-1.1827119588851929,-0.07583320140838623
8,0.71902585,0.7661642,"('popular', 'unpopular')",1.088484,1.0156344,0.9037549495697021,0.8908993005752563,-0.0128556489944458
54,-0.6285533,-0.2776636,"('successful', 'unsuccessful')",-0.048683733,0.34322736,-0.33861851692199707,0.03278188407421112,0.3714004009962082
38,-0.6201573,-0.4839683,"('discriminating', 'undiscriminating')",-0.52545714,-0.30767614,-0.5728071928024292,-0.3958222270011902,0.176984965801239
31,-0.61394644,-0.579952,"('intelligent', 'unintelligent')",0.13431382,0.2186457,-0.2398163080215454,-0.1806531548500061,0.05916315317153931
57,0.6082766,1.2760586,"('conservative', 'liberal')",1.1823909,1.2880777,0.8953337669372559,1.282068133354187,0.38673436641693115
