,LyondellBasell_male,LyondellBasell_female,tuple,average_male,average_female,female-male
75,1.7601542,1.742027,"('confident', 'shy')",1.7601542,1.742027,-0.0181272
6,1.7000747,1.7866342,"('liked', 'disliked')",1.7000747,1.7866342,0.0865595
53,-1.4231677,-1.5191412,"('smart', 'stupid')",-1.4231677,-1.5191412,-0.0959735
27,-1.3578962,-1.4360251,"('sincere', 'insincere')",-1.3578962,-1.4360251,-0.0781289
95,-1.3229272,-1.3949527,"('rich', 'poor')",-1.3229272,-1.3949527,-0.0720255
109,1.2301466,1.1756318,"('conservative', 'liberal')",1.2301466,1.1756318,-0.0545148
108,1.2301466,1.1756318,"('conservative', 'liberal')",1.2301466,1.1756318,-0.0545148
103,1.2080299,1.2213877,"('traditional', 'modern')",1.2080299,1.2213877,0.0133578
15,1.1433544,1.1335835,"('polite', 'impolite')",1.1433544,1.1335835,-0.0097709
107,1.1319227,1.1501018,"('conventional', 'modern')",1.1319227,1.1501018,0.0181791
0,1.123092,1.1695244,"('sociable', 'unsociable')",1.1230921,1.1695244,0.0464323
69,-1.0310371,-1.0365038,"('wise', 'foolish')",-1.0310371,-1.0365038,-0.0054667
40,-1.0030011,-1.1410863,"('honorable', 'mean')",-1.0030011,-1.1410863,-0.1380852
81,-0.95179653,-0.9524869,"('industrious', 'lazy')",-0.9517965,-0.9524869,-0.0006904
12,0.95015126,0.96341336,"('sympathetic', 'unsympathetic')",0.9501513,0.9634134,0.0132621
94,0.9472073,0.90004706,"('aggressive', 'submissive')",0.9472073,0.9000471,-0.0471602
41,-0.9182707,-0.74111414,"('incorrupt', 'corrupt')",-0.9182707,-0.7411141,0.1771566
82,-0.9159253,-0.8740798,"('industrious', 'meek')",-0.9159253,-0.8740798,0.0418455
71,0.9038808,0.68467414,"('efficient', 'inefficient')",0.9038808,0.6846741,-0.2192067
2,0.8646984,0.79159945,"('friendly', 'unfriendly')",0.8646984,0.7915995,-0.0730989
80,0.84990335,0.7838767,"('independent', 'dependent')",0.8499033,0.7838767,-0.0660266
90,0.7930773,0.589888,"('motivated', 'unmotivated')",0.7930773,0.589888,-0.2031893
22,0.79242533,0.7281981,"('welcoming', 'disagreeable')",0.7924253,0.7281981,-0.0642272
110,-0.7820771,-0.7975445,"('narrow-minded', 'open-minded')",-0.7820771,-0.7975445,-0.0154674
