,Cintas_male,Cintas_female,tuple,Corporation_male,Corporation_female,average_male,average_female,female-male
75,1.9969289,1.6568534,"('confident', 'shy')",5.620344,5.8767157,3.8086366653442383,3.76678466796875,-0.04185199737548828
6,1.5432959,1.4696952,"('liked', 'disliked')",4.652212,4.975748,3.0977540016174316,3.222721576690674,0.12496757507324219
81,1.4330276,1.0178849,"('industrious', 'lazy')",1.718256,1.8037875,1.5756418704986572,1.4108362197875977,-0.16480565071105957
82,1.248859,1.1043155,"('industrious', 'meek')",0.89994884,1.1310387,1.074404001235962,1.117677092552185,0.043273091316223145
77,1.1820168,1.1346534,"('active', 'inactive')",0.8717165,1.2289567,1.0268666744232178,1.18180513381958,0.1549384593963623
78,1.1424186,0.858112,"('active', 'inactive')",2.3348618,2.1795244,1.7386401891708374,1.5188181400299072,-0.21982204914093018
89,-1.1018829,-1.066591,"('daring', 'anxious')",0.24400294,0.10888237,-0.4289399981498718,-0.47885432839393616,-0.04991433024406433
95,-1.029487,-1.0918049,"('rich', 'poor')",-5.451661,-5.62284,-3.2405741214752197,-3.3573224544525146,-0.11674833297729492
54,0.9934492,0.8567121,"('smart', 'stupid')",0.39580706,0.27799726,0.694628119468689,0.567354679107666,-0.12727344036102295
38,-0.96958506,-0.91788226,"('kind', 'unkind')",-2.3694293,-2.254987,-1.6695072650909424,-1.5864346027374268,0.08307266235351562
53,-0.95927715,-0.77107024,"('smart', 'stupid')",-3.887413,-4.27024,-2.4233450889587402,-2.5206551551818848,-0.09731006622314453
21,0.95671016,0.8922204,"('nice', 'nasty')",0.11077392,0.056335986,0.5337420701980591,0.47427818179130554,-0.05946388840675354
0,0.9364651,0.6932514,"('sociable', 'unsociable')",-0.8480689,-0.57440233,0.04419809579849243,0.059424519538879395,0.015226423740386963
100,0.8993901,0.8247774,"('influential', 'uninfluential')",-1.3297918,-1.0706582,-0.21520084142684937,-0.12294039130210876,0.0922604501247406
90,0.8965398,0.4639991,"('motivated', 'unmotivated')",1.070176,0.9148468,0.9833579063415527,0.6894229650497437,-0.2939349412918091
5,0.863542,0.6529106,"('pleasant', 'repellent')",-0.555156,-0.7123134,0.15419301390647888,-0.029701411724090576,-0.18389442563056946
70,0.82144666,0.835761,"('wise', 'unwise')",0.2777657,0.3339048,0.549606204032898,0.5848329067230225,0.03522670269012451
23,0.811681,0.7927159,"('hospitable', 'inhospitable')",-0.052122235,0.07813719,0.3797793686389923,0.4354265332221985,0.05564716458320618
30,0.7718037,0.721856,"('honest', 'dishonest')",-0.28849593,-0.2063247,0.24165387451648712,0.25776565074920654,0.01611177623271942
15,0.72929627,0.88039154,"('polite', 'impolite')",0.26644337,0.3272746,0.4978698194026947,0.6038330793380737,0.10596325993537903
32,-0.7238039,-0.7385237,"('benevolent', 'hardhearted')",-2.232848,-1.9178953,-1.4783258438110352,-1.3282095193862915,0.15011632442474365
27,-0.719445,-0.7931329,"('sincere', 'insincere')",-6.1949396,-6.313304,-3.4571924209594727,-3.553218364715576,-0.09602594375610352
72,0.7094953,0.7116623,"('logical', 'illogical')",-0.7019197,-0.4388909,0.003787815570831299,0.1363856941461563,0.132597878575325
