,CME_male,CME_female,tuple,Group_male,Group_female,average_male,average_female,female-male
75,3.184715,2.985055,"('confident', 'shy')",4.330084,4.403369,3.7573996,3.694212,-0.0631876
95,-2.9926825,-2.5008152,"('rich', 'poor')",-3.2088473,-3.3658519,-3.1007648,-2.9333334,0.1674314
27,-2.8937879,-2.3851674,"('sincere', 'insincere')",-4.028051,-4.101017,-3.4609194,-3.2430921,0.2178273
53,-2.6656816,-2.5167272,"('smart', 'stupid')",-3.2346156,-3.323663,-2.9501486,-2.9201951,0.0299535
40,-2.323444,-2.1974273,"('honorable', 'mean')",-2.9508104,-3.2380543,-2.6371272,-2.7177408,-0.0806136
6,2.2792542,1.9467804,"('liked', 'disliked')",4.451727,4.5145626,3.3654904,3.2306714,-0.134819
50,1.6698775,1.1858232,"('unprejudiced', 'prejudiced')",1.6028581,1.3919308,1.6363678,1.288877,-0.3474908
73,-1.4568349,-1.4389038,"('brilliant', 'incompetent')",-0.9880754,-1.3039889,-1.2224551,-1.3714464,-0.1489913
65,-1.4261138,-1.1358011,"('practical', 'impractical')",-1.2370186,-1.487025,-1.3315662,-1.311413,0.0201532
74,-1.3652809,-1.3575772,"('insightful', 'unperceptive')",-1.1269684,-1.2388266,-1.2461246,-1.2982019,-0.0520773
25,-1.3272047,-1.015902,"('moral', 'immoral')",-0.5393187,-0.6099379,-0.9332617,-0.81292,0.1203417
87,-1.2235186,-0.94215333,"('dedicated', 'undedicated')",-1.4256592,-1.3672001,-1.3245889,-1.1546767,0.1699122
38,-1.216511,-0.6425692,"('kind', 'unkind')",-1.3174757,-1.2073994,-1.2669933,-0.9249843,0.342009
78,1.1921598,0.771291,"('active', 'inactive')",1.5981884,1.3527603,1.395174,1.0620257,-0.3331483
72,-1.12942,-0.9167822,"('logical', 'illogical')",-0.6342237,-0.31073445,-0.8818219,-0.6137583,0.2680636
51,-1.1171111,-0.66629374,"('competent', 'incompetent')",-0.47496414,-0.6529809,-0.7960376,-0.6596373,0.1364003
58,-1.0831395,-0.73091877,"('able', 'clumsy')",-0.7362431,-0.76308596,-0.9096913,-0.7470024,0.1626889
66,1.0469887,1.178005,"('imaginative', 'unimaginative')",1.5260242,1.4117614,1.2865064,1.2948833,0.0083769
7,1.0296556,0.44535482,"('outgoing', 'distant')",0.43886712,0.337091,0.7342613,0.3912229,-0.3430384
101,-1.0069155,-0.9346871,"('successful', 'unsuccessful')",-0.7481835,-0.6485225,-0.8775495,-0.7916048,0.0859447
13,-0.98492056,-0.7090857,"('helpful', 'unhelpful')",-1.2622983,-1.499664,-1.1236094,-1.1043749,0.0192345
64,-0.9822576,-0.5678481,"('clever', 'incompetent')",-0.59013754,-0.609126,-0.7861975,-0.588487,0.1977105
86,0.9752077,0.63570005,"('self-reliant', 'helpless')",1.7320676,1.7339982,1.3536377,1.1848491,-0.1687886
61,0.96931005,0.7838775,"('rational', 'irrational')",0.47612983,0.8306458,0.7227199,0.8072616,0.0845417
24,-0.96048886,-0.8191948,"('thoughtful', 'rough')",-1.2523534,-1.0907497,-1.1064211,-0.9549723,0.1514488
29,-0.93159074,-0.6280061,"('honest', 'immoral')",-0.6200409,-0.6491418,-0.7758158,-0.6385739,0.1372419
60,-0.9221164,-0.36137936,"('educated', 'uneducated')",0.7259495,0.9361188,-0.0980834,0.2873697,0.3854531
49,-0.9005406,-0.8464339,"('responsible', 'irresponsible')",-1.5279363,-1.7914209,-1.2142384,-1.3189274,-0.104689
4,-0.8869556,-1.0284622,"('likable', 'unlikable')",-0.5960393,-0.56140864,-0.7414975,-0.7949354,-0.0534379
106,-0.87375605,-0.7242104,"('conventional', 'unconventional')",-0.87603605,-0.38358027,-0.874896,-0.5538954,0.3210006
26,-0.8700953,-0.59222066,"('trustworthy', 'untrustworthy')",-0.5411313,-0.5285998,-0.7056133,-0.5604103,0.145203
36,-0.86516285,-0.61734164,"('tolerant', 'intolerant')",-0.5715789,-0.51427734,-0.7183709,-0.5658095,0.1525614
8,0.8564251,0.38353115,"('open', 'distant')",0.3030251,0.30584526,0.5797251,0.3446882,-0.2350369
34,-0.84672546,-0.37806702,"('loyal', 'disloyal')",-1.2414966,-1.0604396,-1.044111,-0.7192533,0.3248577
83,-0.8429129,-0.61717665,"('energetic', 'lethargic')",-0.09243578,-0.27982312,-0.4676743,-0.4484999,0.0191744
21,0.83690554,0.608583,"('nice', 'nasty')",1.1434602,0.79416955,0.9901829,0.7013763,-0.2888066
70,0.83147347,1.0621146,"('wise', 'unwise')",1.1611629,1.1209686,0.9963182,1.0915415,0.0952233
77,0.83070666,0.6340085,"('active', 'inactive')",0.78179425,0.8371195,0.8062505,0.735564,-0.0706865
68,-0.8277813,-1.1682012,"('clever', 'inept')",-0.7700175,-0.95294595,-0.7988994,-1.0605736,-0.2616742
9,-0.8175483,-0.52699757,"('sensitive', 'insensitive')",-0.8002304,-0.91652274,-0.8088893,-0.7217602,0.0871291
67,-0.7841386,-0.61084235,"('discriminating', 'undiscriminating')",-1.1680825,-1.0991418,-0.9761106,-0.8549921,0.1211185
42,0.7319699,0.59355444,"('amicable', 'hostile')",0.9479014,1.2951589,0.8399357,0.9443567,0.104421
