,MetLife_male,MetLife_female,tuple,average_male,average_female,female-male
3,2.6730757,2.5927508,"('liked', 'disliked')",2.6730756759643555,2.5927507877349854,-0.08032488822937012
1,-2.6404085,-2.4431696,"('friendly', 'unfriendly')",-2.640408515930176,-2.443169593811035,0.19723892211914062
57,2.4032018,2.283256,"('conservative', 'liberal')",2.4032018184661865,2.2832560539245605,-0.11994576454162598
30,-2.3378508,-2.4005795,"('smart', 'stupid')",-2.33785080909729,-2.4005794525146484,-0.0627286434173584
22,-2.2721403,-2.0507,"('amicable', 'hostile')",-2.2721402645111084,-2.0506999492645264,0.22144031524658203
49,1.7570227,1.6107926,"('motivated', 'unmotivated')",1.757022738456726,1.610792636871338,-0.14623010158538818
13,1.6977584,1.5957537,"('sincere', 'insincere')",1.697758436203003,1.5957536697387695,-0.1020047664642334
50,-1.6637295,-1.6165535,"('rich', 'poor')",-1.6637295484542847,-1.616553544998169,0.04717600345611572
23,1.5602657,1.5230911,"('truthful', 'untruthful')",1.5602656602859497,1.5230910778045654,-0.03717458248138428
55,-1.5438889,-1.3345559,"('conventional', 'unconventional')",-1.5438889265060425,-1.3345558643341064,0.20933306217193604
11,1.4609075,1.2616632,"('moral', 'immoral')",1.4609074592590332,1.2616631984710693,-0.19924426078796387
42,1.341498,1.2609488,"('secure', 'insecure')",1.3414980173110962,1.2609487771987915,-0.08054924011230469
18,-1.3219228,-1.2319622,"('good', 'evil')",-1.321922779083252,-1.2319622039794922,0.08996057510375977
35,-1.1822221,-0.92628014,"('creative', 'uncreative')",-1.1822221279144287,-0.92628014087677,0.2559419870376587
26,1.1577663,0.9300209,"('reliable', 'unreliable')",1.157766342163086,0.9300209283828735,-0.2277454137802124
38,-1.0714009,-0.89977086,"('discriminating', 'undiscriminating')",-1.0714008808135986,-0.8997708559036255,0.17163002490997314
29,1.0066428,0.8848344,"('competent', 'incompetent')",1.0066428184509277,0.8848344087600708,-0.12180840969085693
7,0.9814987,0.9835999,"('polite', 'impolite')",0.9814987182617188,0.9835999011993408,0.0021011829376220703
28,0.9650247,0.8193616,"('unprejudiced', 'prejudiced')",0.9650247097015381,0.8193616271018982,-0.1456630825996399
46,0.8980694,0.86559355,"('energetic', 'lethargic')",0.8980693817138672,0.8655935525894165,-0.032475829124450684
24,0.84228677,0.9982221,"('generous', 'stingy')",0.8422867655754089,0.9982221126556396,0.1559353470802307
10,-0.8259594,-0.7756973,"('hospitable', 'inhospitable')",-0.8259593844413757,-0.7756972908973694,0.05026209354400635
43,-0.8098092,-0.6777694,"('active', 'inactive')",-0.8098092079162598,-0.6777694225311279,0.13203978538513184
41,0.78629315,0.6749362,"('confident', 'shy')",0.7862931489944458,0.6749361753463745,-0.11135697364807129
39,-0.7625146,-0.7963896,"('wise', 'foolish')",-0.762514591217041,-0.7963895797729492,-0.0338749885559082
36,-0.7338868,-0.75221276,"('capable', 'incapable')",-0.7338867783546448,-0.7522127628326416,-0.018325984477996826
17,0.694373,0.6438777,"('tolerant', 'intolerant')",0.6943730115890503,0.6438776850700378,-0.05049532651901245
20,-0.6895889,-0.5982535,"('right', 'wrong')",-0.6895889043807983,-0.5982534885406494,0.09133541584014893
34,-0.6647316,-0.5602378,"('rational', 'irrational')",-0.6647316217422485,-0.5602378249168396,0.10449379682540894
12,0.66153806,0.68507326,"('trustworthy', 'untrustworthy')",0.6615380644798279,0.6850732564926147,0.023535192012786865
51,-0.62356377,-0.6287739,"('powerful', 'powerless')",-0.6235637664794922,-0.6287739276885986,-0.005210161209106445
45,0.55651534,0.6360502,"('independent', 'dependent')",0.5565153360366821,0.6360502243041992,0.07953488826751709
19,-0.5511018,-0.47166044,"('kind', 'unkind')",-0.551101803779602,-0.47166043519973755,0.0794413685798645
47,0.5322466,0.41999742,"('ambitious', 'unambitious')",0.5322465896606445,0.4199974238872528,-0.11224916577339172
21,-0.5318096,-0.31888962,"('incorrupt', 'corrupt')",-0.5318096280097961,-0.3188896179199219,0.21292001008987427
56,-0.51132643,-0.45814648,"('conventional', 'unconventional')",-0.5113264322280884,-0.45814648270606995,0.05317994952201843
31,0.40266138,0.46615404,"('intelligent', 'unintelligent')",0.40266138315200806,0.4661540389060974,0.06349265575408936
9,-0.40249878,-0.49246934,"('nice', 'nasty')",-0.4024987816810608,-0.49246934056282043,-0.08997055888175964
15,-0.39126867,-0.2562458,"('loyal', 'disloyal')",-0.39126867055892944,-0.25624579191207886,0.13502287864685059
4,0.38595355,0.28166953,"('sensitive', 'insensitive')",0.38595354557037354,0.2816695272922516,-0.10428401827812195
6,0.35397857,0.1940281,"('supportive', 'unsupportive')",0.35397857427597046,0.1940280944108963,-0.15995047986507416
27,0.32636705,0.15529406,"('responsible', 'irresponsible')",0.326367050409317,0.15529406070709229,-0.17107298970222473
8,-0.31756425,-0.3104642,"('popular', 'unpopular')",-0.3175642490386963,-0.31046420335769653,0.007100045680999756
52,-0.2923044,-0.24937338,"('superior', 'inferior')",-0.2923043966293335,-0.24937337636947632,0.04293102025985718
2,0.24892834,0.36495423,"('likable', 'unlikable')",0.24892833828926086,0.36495423316955566,0.1160258948802948
14,0.23946778,0.23490599,"('honest', 'dishonest')",0.2394677847623825,0.23490598797798157,-0.00456179678440094
44,0.21473047,0.08636241,"('active', 'inactive')",0.21473047137260437,0.08636240661144257,-0.1283680647611618
33,0.18644416,0.2669557,"('educated', 'uneducated')",0.18644416332244873,0.266955703496933,0.08051154017448425
54,-0.17567986,-0.28021595,"('successful', 'unsuccessful')",-0.17567986249923706,-0.28021594882011414,-0.10453608632087708
16,0.17511725,0.26018646,"('fair', 'unfair')",0.17511725425720215,0.26018646359443665,0.0850692093372345
0,-0.16906142,-0.113592446,"('sociable', 'unsociable')",-0.16906142234802246,-0.11359244585037231,0.055468976497650146
40,-0.12548763,0.12172052,"('logical', 'illogical')",-0.12548762559890747,0.12172052264213562,0.2472081482410431
37,-0.120916545,-0.35239756,"('practical', 'impractical')",-0.12091654539108276,-0.3523975610733032,-0.23148101568222046
48,-0.11278105,-0.03742604,"('dedicated', 'undedicated')",-0.11278104782104492,-0.03742603957653046,0.07535500824451447
53,0.10102376,0.24574658,"('influential', 'uninfluential')",0.10102376341819763,0.24574658274650574,0.1447228193283081
32,0.091718614,0.027907908,"('able', 'unable')",0.09171861410140991,0.027907907962799072,-0.06381070613861084
25,-0.0379681,-0.029745907,"('forgiving', 'unforgiving')",-0.03796809911727905,-0.029745906591415405,0.008222192525863647
5,0.013447344,-0.1501233,"('helpful', 'unhelpful')",0.013447344303131104,-0.15012329816818237,-0.16357064247131348
