,ConocoPhillips_male,ConocoPhillips_female,tuple,average_male,average_female,female-male
23,1.7192081,1.707962,"('truthful', 'untruthful')",1.7192081212997437,1.7079620361328125,-0.011246085166931152
29,1.6033728,1.5901904,"('competent', 'incompetent')",1.6033728122711182,1.5901904106140137,-0.013182401657104492
3,1.3488948,1.3304527,"('liked', 'disliked')",1.3488948345184326,1.3304526805877686,-0.018442153930664062
7,1.250535,1.5473183,"('polite', 'impolite')",1.250535011291504,1.5473183393478394,0.29678332805633545
43,-1.2336221,-1.102334,"('active', 'inactive')",-1.2336220741271973,-1.1023340225219727,0.1312880516052246
31,1.2069569,1.2634138,"('intelligent', 'unintelligent')",1.2069568634033203,1.2634137868881226,0.056456923484802246
50,-1.1490263,-1.0583212,"('rich', 'poor')",-1.1490262746810913,-1.058321237564087,0.0907050371170044
21,-1.1243004,-1.3297435,"('incorrupt', 'corrupt')",-1.1243003606796265,-1.329743504524231,-0.2054431438446045
49,1.0995729,0.890927,"('motivated', 'unmotivated')",1.0995728969573975,0.8909270167350769,-0.20864588022232056
57,1.0726147,1.2897272,"('conservative', 'liberal')",1.0726146697998047,1.2897272109985352,0.21711254119873047
17,1.0615319,1.2553593,"('tolerant', 'intolerant')",1.061531901359558,1.2553592920303345,0.19382739067077637
0,1.0404485,1.3319036,"('sociable', 'unsociable')",1.040448546409607,1.3319035768508911,0.2914550304412842
18,-1.0281557,-1.3485138,"('good', 'evil')",-1.0281556844711304,-1.3485138416290283,-0.32035815715789795
53,0.9838088,1.2219446,"('influential', 'uninfluential')",0.9838088154792786,1.2219445705413818,0.23813575506210327
42,0.9465148,0.9626076,"('secure', 'insecure')",0.9465147852897644,0.9626076221466064,0.01609283685684204
19,-0.92274904,-0.67063886,"('kind', 'unkind')",-0.9227490425109863,-0.6706388592720032,0.25211018323898315
4,0.91641814,0.81881136,"('sensitive', 'insensitive')",0.9164181351661682,0.8188113570213318,-0.09760677814483643
11,0.91464245,0.9758904,"('moral', 'immoral')",0.9146424531936646,0.9758903980255127,0.061247944831848145
20,-0.8938949,-0.92736435,"('right', 'wrong')",-0.8938949108123779,-0.9273643493652344,-0.033469438552856445
27,0.89368516,0.768206,"('responsible', 'irresponsible')",0.8936851620674133,0.768206000328064,-0.12547916173934937
