,Berkshire_male,Berkshire_female,tuple,Hathaway_male,Hathaway_female,average_male,average_female,female-male
50,-4.446829,-4.335561,"('rich', 'poor')",-0.57996476,-0.74732506,-2.513396739959717,-2.54144287109375,-0.028046131134033203
30,-4.1258326,-3.9654078,"('smart', 'stupid')",-0.060274422,0.27776927,-2.0930535793304443,-1.843819260597229,0.24923431873321533
3,3.8956957,3.8363829,"('liked', 'disliked')",0.86314964,0.88445044,2.379422664642334,2.3604166507720947,-0.019006013870239258
1,-2.8584561,-2.6244617,"('friendly', 'unfriendly')",-1.2195905,-1.3075987,-2.0390233993530273,-1.9660301208496094,0.07299327850341797
35,-2.5447268,-2.3018112,"('creative', 'uncreative')",-0.32420775,-0.4079337,-1.4344673156738281,-1.354872465133667,0.07959485054016113
28,2.150892,2.0934262,"('unprejudiced', 'prejudiced')",0.0012692511,-0.117325544,1.0760806798934937,0.9880503416061401,-0.08803033828735352
57,2.0562088,1.965321,"('conservative', 'liberal')",2.6074643,2.6190374,2.331836700439453,2.2921791076660156,-0.0396575927734375
15,-2.0274725,-1.7538065,"('loyal', 'disloyal')",0.83795834,1.0332806,-0.594757080078125,-0.360262930393219,0.234494149684906
49,1.9731108,1.826402,"('motivated', 'unmotivated')",2.4318337,2.0670812,2.20247220993042,1.9467415809631348,-0.25573062896728516
26,1.841975,1.7039698,"('reliable', 'unreliable')",0.94552547,1.0180552,1.3937501907348633,1.3610124588012695,-0.03273773193359375
55,-1.8253096,-1.5361478,"('conventional', 'unconventional')",-1.853082,-1.7788721,-1.839195728302002,-1.6575100421905518,0.1816856861114502
40,-1.7814702,-1.6858666,"('logical', 'illogical')",0.010130703,0.17317054,-0.8856697082519531,-0.7563480138778687,0.12932169437408447
14,-1.7292502,-1.6939372,"('honest', 'dishonest')",0.60288054,0.74736446,-0.5631848573684692,-0.47328636050224304,0.0898984968662262
36,-1.6832759,-1.5998331,"('capable', 'incapable')",-0.3666017,-0.64681476,-1.0249388217926025,-1.123323917388916,-0.09838509559631348
41,1.6708516,1.422885,"('confident', 'shy')",0.31206566,0.35366434,0.9914586544036865,0.8882746696472168,-0.10318398475646973
22,-1.4284477,-1.1385107,"('amicable', 'hostile')",-2.0167093,-2.1144774,-1.722578525543213,-1.62649405002594,0.09608447551727295
23,1.3205326,1.1199701,"('truthful', 'untruthful')",1.7706382,1.9270269,1.5455853939056396,1.52349853515625,-0.02208685874938965
4,-1.2536135,-1.3644807,"('sensitive', 'insensitive')",1.501667,1.50576,0.12402677536010742,0.07063961029052734,-0.05338716506958008
20,-1.0580161,-0.97560906,"('right', 'wrong')",-0.8402776,-1.1437126,-0.9491468667984009,-1.0596609115600586,-0.11051404476165771
53,-1.050096,-0.95722777,"('influential', 'uninfluential')",1.2149246,1.4159869,0.08241426944732666,0.2293795645236969,0.14696529507637024
7,1.0277449,1.1785647,"('polite', 'impolite')",2.6419911,2.8975093,1.8348679542541504,2.038037061691284,0.2031691074371338
11,0.90226394,0.6169051,"('moral', 'immoral')",2.115472,1.9166849,1.5088679790496826,1.2667949199676514,-0.24207305908203125
43,-0.80303955,-0.61925626,"('active', 'inactive')",-1.1186154,-1.0643748,-0.9608274698257446,-0.8418155312538147,0.11901193857192993
27,-0.7759259,-0.9529418,"('responsible', 'irresponsible')",2.0699835,2.1392734,0.6470288038253784,0.5931658148765564,-0.05386298894882202
52,-0.76709044,-0.85311574,"('superior', 'inferior')",0.17254733,0.25681612,-0.2972715497016907,-0.29814982414245605,-0.0008782744407653809
