,Coterra_male,Coterra_female,tuple,average_male,average_female,female-male
75,3.6750302,3.5432034,"('confident', 'shy')",3.6750302,3.5432034,-0.1318268
6,3.6117501,3.7670338,"('liked', 'disliked')",3.6117501,3.7670338,0.1552837
95,-2.8933873,-2.905921,"('rich', 'poor')",-2.8933873,-2.905921,-0.0125337
53,-2.525972,-2.5752177,"('smart', 'stupid')",-2.5259719,-2.5752177,-0.0492458
27,-2.4096918,-2.5528297,"('sincere', 'insincere')",-2.4096918,-2.5528297,-0.1431379
40,-2.1112566,-2.3034315,"('honorable', 'mean')",-2.1112566,-2.3034315,-0.1921749
105,-1.5824403,-1.4079185,"('conventional', 'modern')",-1.5824403,-1.4079185,0.1745218
3,1.4577229,1.4091959,"('likable', 'unlikable')",1.4577229,1.4091959,-0.048527
48,1.3457272,1.2014546,"('reliable', 'unreliable')",1.3457272,1.2014546,-0.1442726
66,1.3190359,1.4463744,"('imaginative', 'unimaginative')",1.3190359,1.4463744,0.1273385
90,1.2373127,1.1071919,"('motivated', 'unmotivated')",1.2373127,1.1071919,-0.1301208
33,-1.1569196,-0.90580934,"('softhearted', 'hardhearted')",-1.1569196,-0.9058093,0.2511103
110,-1.0881693,-1.070642,"('narrow-minded', 'open-minded')",-1.0881693,-1.070642,0.0175273
70,1.0860734,1.1659822,"('wise', 'unwise')",1.0860734,1.1659822,0.0799088
106,-1.0374459,-1.0029362,"('conventional', 'unconventional')",-1.0374459,-1.0029362,0.0345097
93,1.0221349,0.86482716,"('dominating', 'dominated')",1.0221349,0.8648272,-0.1573077
14,1.0093914,0.92881286,"('supportive', 'unsupportive')",1.0093914,0.9288129,-0.0805785
25,1.009328,0.7221907,"('moral', 'immoral')",1.009328,0.7221907,-0.2871373
94,0.9923864,0.8052211,"('aggressive', 'submissive')",0.9923864,0.8052211,-0.1871653
15,0.9491383,0.7729522,"('polite', 'impolite')",0.9491383,0.7729522,-0.1761861
60,0.94186753,0.9206156,"('educated', 'uneducated')",0.9418675,0.9206156,-0.0212519
50,0.89882845,0.76346016,"('unprejudiced', 'prejudiced')",0.8988284,0.7634602,-0.1353682
23,0.83774424,0.92833877,"('hospitable', 'inhospitable')",0.8377442,0.9283388,0.0905946
86,0.8244491,0.7711196,"('self-reliant', 'helpless')",0.8244491,0.7711196,-0.0533295
63,-0.801977,-0.56215405,"('capable', 'incapable')",-0.801977,-0.5621541,0.2398229
104,-0.79404306,-0.53056425,"('conventional', 'unconventional')",-0.7940431,-0.5305642,0.2634789
79,0.7880431,0.54905945,"('determined', 'doubtful')",0.7880431,0.5490595,-0.2389836
67,-0.7733587,-0.77527034,"('discriminating', 'undiscriminating')",-0.7733587,-0.7752703,-0.0019116
32,-0.7516384,-0.5046121,"('benevolent', 'hardhearted')",-0.7516384,-0.5046121,0.2470263
71,0.7306148,0.29245025,"('efficient', 'inefficient')",0.7306148,0.2924502,-0.4381646
54,0.72992396,0.5300075,"('smart', 'stupid')",0.729924,0.5300075,-0.1999165
109,0.7283528,0.40034923,"('conservative', 'liberal')",0.7283528,0.4003492,-0.3280036
108,0.7283528,0.40034923,"('conservative', 'liberal')",0.7283528,0.4003492,-0.3280036
102,0.7205963,0.5328727,"('eminent', 'low')",0.7205963,0.5328727,-0.1877236
52,0.7147575,0.506845,"('competitive', 'uncompetitive')",0.7147575,0.506845,-0.2079125
80,0.6974888,0.64292,"('independent', 'dependent')",0.6974888,0.64292,-0.0545688
2,0.6709566,0.44403633,"('friendly', 'unfriendly')",0.6709566,0.4440363,-0.2269203
1,-0.6568308,-0.30808038,"('friendly', 'unfriendly')",-0.6568308,-0.3080804,0.3487504
30,0.6520759,0.54650384,"('honest', 'dishonest')",0.6520759,0.5465038,-0.1055721
16,0.63418865,0.38914913,"('social', 'antisocial')",0.6341887,0.3891491,-0.2450396
103,0.6328186,0.5737814,"('traditional', 'modern')",0.6328186,0.5737814,-0.0590372
43,-0.62052596,-0.67780596,"('genuine', 'fake')",-0.620526,-0.677806,-0.05728
11,-0.6186954,-0.45156044,"('caring', 'unaffectionate')",-0.6186954,-0.4515604,0.167135
57,0.614813,0.41045627,"('able', 'unable')",0.614813,0.4104563,-0.2043567
46,0.5931667,0.859467,"('generous', 'stingy')",0.5931667,0.859467,0.2663003
100,0.58833945,0.7061704,"('influential', 'uninfluential')",0.5883394,0.7061704,0.117831
10,-0.5656768,-0.24655093,"('affectionate', 'unaffectionate')",-0.5656768,-0.2465509,0.3191259
24,-0.55835664,-0.6008655,"('thoughtful', 'rough')",-0.5583566,-0.6008655,-0.0425089
77,0.54882216,0.63760597,"('active', 'inactive')",0.5488222,0.637606,0.0887838
22,0.54492307,0.53819287,"('welcoming', 'disagreeable')",0.5449231,0.5381929,-0.0067302
76,0.53380775,0.3893143,"('secure', 'insecure')",0.5338078,0.3893143,-0.1444935
91,0.5334086,0.5113039,"('resilient', 'nonresilient')",0.5334086,0.5113039,-0.0221047
96,0.527956,0.39842176,"('powerful', 'powerless')",0.527956,0.3984218,-0.1295342
31,-0.51809686,-0.25157604,"('altruistic', 'egoistic')",-0.5180969,-0.251576,0.2665209
78,0.5050277,0.3721127,"('active', 'inactive')",0.5050277,0.3721127,-0.132915
58,-0.49653214,-0.6315365,"('able', 'clumsy')",-0.4965321,-0.6315365,-0.1350044
0,0.49390322,0.5612075,"('sociable', 'unsociable')",0.4939032,0.5612075,0.0673043
21,0.48066247,0.37538546,"('nice', 'nasty')",0.4806625,0.3753855,-0.105277
18,-0.47363174,-0.53655154,"('social', 'asocial')",-0.4736317,-0.5365515,-0.0629198
49,-0.4097769,-0.63187015,"('responsible', 'irresponsible')",-0.4097769,-0.6318702,-0.2220933
34,-0.40617114,-0.34775043,"('loyal', 'disloyal')",-0.4061711,-0.3477504,0.0584207
36,-0.3903845,-0.5779246,"('tolerant', 'intolerant')",-0.3903845,-0.5779246,-0.1875401
97,-0.3830966,-0.3299686,"('superior', 'inferior')",-0.3830966,-0.3299686,0.053128
83,-0.36872387,-0.59366083,"('energetic', 'lethargic')",-0.3687239,-0.5936608,-0.2249369
44,0.3361268,0.292094,"('truthful', 'untruthful')",0.3361268,0.292094,-0.0440328
69,-0.3115471,-0.20690143,"('wise', 'foolish')",-0.3115471,-0.2069014,0.1046457
61,-0.30071947,0.17817579,"('rational', 'irrational')",-0.3007195,0.1781758,0.4788953
8,-0.30012614,0.019890413,"('open', 'distant')",-0.3001261,0.0198904,0.3200165
41,-0.289232,-0.0025595427,"('incorrupt', 'corrupt')",-0.289232,-0.0025595,0.2866725
26,0.28881484,0.22885291,"('trustworthy', 'untrustworthy')",0.2888148,0.2288529,-0.0599619
98,-0.28604686,-0.16173682,"('prestigious', 'insignificant')",-0.2860469,-0.1617368,0.1243101
84,-0.26909,-0.31438726,"('self-confident', 'diffident')",-0.26909,-0.3143873,-0.0452973
12,0.26885036,0.23461252,"('sympathetic', 'unsympathetic')",0.2688504,0.2346125,-0.0342379
87,-0.26586434,-0.42606428,"('dedicated', 'undedicated')",-0.2658643,-0.4260643,-0.1602
74,0.25494465,0.05624485,"('insightful', 'unperceptive')",0.2549447,0.0562449,-0.1986998
56,0.24327151,0.20874503,"('intelligent', 'dumb')",0.2432715,0.208745,-0.0345265
85,-0.23569843,-0.12197177,"('ambitious', 'unambitious')",-0.2356984,-0.1219718,0.1137266
55,0.23224169,0.28643835,"('intelligent', 'unintelligent')",0.2322417,0.2864383,0.0541966
20,-0.22211722,0.033697665,"('popular', 'unpopular')",-0.2221172,0.0336977,0.2558149
101,0.22009306,0.06460251,"('successful', 'unsuccessful')",0.2200931,0.0646025,-0.1554906
5,0.21702424,-0.039740704,"('pleasant', 'repellent')",0.2170242,-0.0397407,-0.2567649
17,-0.2126926,-0.12354551,"('social', 'antisocial')",-0.2126926,-0.1235455,0.0891471
42,-0.20911503,0.23160225,"('amicable', 'hostile')",-0.209115,0.2316023,0.4407173
88,0.20111302,0.33520567,"('impulsive', 'meek')",0.201113,0.3352057,0.1340927
39,-0.19700643,0.02111134,"('right', 'wrong')",-0.1970064,0.0211113,0.2181177
82,0.18986207,0.3256079,"('industrious', 'meek')",0.1898621,0.3256079,0.1357458
13,-0.18648794,-0.42840374,"('helpful', 'unhelpful')",-0.1864879,-0.4284037,-0.2419158
35,-0.17076188,0.05570525,"('fair', 'unfair')",-0.1707619,0.0557052,0.2264671
51,0.16621104,0.040613472,"('competent', 'incompetent')",0.166211,0.0406135,-0.1255975
38,-0.1308967,-0.113521665,"('kind', 'unkind')",-0.1308967,-0.1135217,0.017375
89,0.12816316,-0.048699588,"('daring', 'anxious')",0.1281632,-0.0486996,-0.1768628
7,0.12401813,0.25382748,"('outgoing', 'distant')",0.1240181,0.2538275,0.1298094
107,0.11299703,0.19605707,"('conventional', 'modern')",0.112997,0.1960571,0.0830601
62,0.11175093,0.3324893,"('creative', 'uncreative')",0.1117509,0.3324893,0.2207384
59,0.10780722,0.11604616,"('skillful', 'clumsy')",0.1078072,0.1160462,0.008239
9,-0.106502354,-0.34288797,"('sensitive', 'insensitive')",-0.1065024,-0.342888,-0.2363856
92,0.098536074,0.1408131,"('unwavering', 'wavering')",0.0985361,0.1408131,0.042277
47,0.09834367,0.13003892,"('forgiving', 'unforgiving')",0.0983437,0.1300389,0.0316952
68,-0.09569122,-0.35418332,"('clever', 'inept')",-0.0956912,-0.3541833,-0.2584921
45,-0.09082177,-0.399606,"('cooperative', 'exploitative')",-0.0908218,-0.399606,-0.3087842
29,-0.057087585,-0.22107941,"('honest', 'immoral')",-0.0570876,-0.2210794,-0.1639918
37,0.040293366,0.2001727,"('good', 'evil')",0.0402934,0.2001727,0.1598793
4,0.03913699,0.044593364,"('likable', 'unlikable')",0.039137,0.0445934,0.0054564
99,-0.03379932,0.1981498,"('prestigious', 'insignificant')",-0.0337993,0.1981498,0.2319491
81,0.033792913,0.006595522,"('industrious', 'lazy')",0.0337929,0.0065955,-0.0271974
73,-0.031241357,-0.36068478,"('brilliant', 'incompetent')",-0.0312414,-0.3606848,-0.3294434
28,-0.022769928,0.03681627,"('honest', 'dishonest')",-0.0227699,0.0368163,0.0595862
64,-0.020472288,-0.18899646,"('clever', 'incompetent')",-0.0204723,-0.1889965,-0.1685242
72,-0.01252982,0.06325731,"('logical', 'illogical')",-0.0125298,0.0632573,0.0757871
19,0.008979857,0.1999008,"('funny', 'boring')",0.0089799,0.1999008,0.1909209
65,-0.0026763976,-0.3645654,"('practical', 'impractical')",-0.0026764,-0.3645654,-0.361889
