,Cboe_male,Cboe_female,tuple,Global_male,Global_female,Markets_male,Markets_female,average_male,average_female,female-male
50,-2.8898978,-2.8361568,"('rich', 'poor')",-4.578368,-4.708813,-4.335269,-4.731897,-3.9345118204752603,-4.092288970947266,-0.15777715047200536
30,-2.8039742,-2.720099,"('smart', 'stupid')",-3.676663,-3.625287,-4.1215363,-4.3173966,-3.5340576171875,-3.5542608896891275,-0.020203272501627456
3,2.7624435,2.650425,"('liked', 'disliked')",4.839508,4.81172,3.5622277,3.6213114,3.7213929494222007,3.694485346476237,-0.026907602945963838
5,-1.7157581,-1.3430967,"('helpful', 'unhelpful')",-3.381545,-3.3019705,-1.9837551,-2.283782,-2.3603528340657554,-2.3096164067586265,0.050736427307128906
37,-1.6682935,-1.5287415,"('practical', 'impractical')",-1.1880007,-1.2590193,-1.7606819,-2.175134,-1.538991928100586,-1.6542981465657551,-0.1153062184651692
21,1.3144841,1.2256846,"('incorrupt', 'corrupt')",1.2846223,1.3196917,1.6423087,1.6977036,1.4138050079345703,1.4143600463867188,0.0005550384521484375
29,-1.2653863,-1.1776024,"('competent', 'incompetent')",-0.09449429,-0.21857513,-0.98432165,-1.1458607,-0.7814007600148519,-0.8473460674285889,-0.06594530741373694
14,-1.2555714,-1.0261111,"('honest', 'dishonest')",-1.0717225,-0.9608809,-0.86997855,-1.1311767,-1.065757433573405,-1.0393896102905273,0.026367823282877678
19,-1.1812104,-0.82922804,"('kind', 'unkind')",-2.1662838,-1.9520346,-1.9606348,-1.8871437,-1.769376277923584,-1.5561354955037434,0.21324078241984057
4,-1.1700547,-1.0524141,"('sensitive', 'insensitive')",-1.5129756,-1.5523255,-0.9046237,-1.2091222,-1.1958846251169841,-1.2712872823079426,-0.07540265719095851
54,-1.1167858,-0.97826385,"('successful', 'unsuccessful')",-2.0802026,-1.9882942,-1.6978877,-1.5741098,-1.6316253344217937,-1.5135558446248372,0.11806948979695653
27,-1.1130719,-1.0212071,"('responsible', 'irresponsible')",-2.2320948,-2.3708932,-1.2075878,-1.6638343,-1.5175848007202148,-1.6853116353352864,-0.16772683461507154
40,-1.0916157,-0.73944473,"('logical', 'illogical')",-1.498185,-1.3381164,-1.2834064,-1.297873,-1.2910690307617188,-1.1251447200775146,0.1659243106842041
44,1.0831542,0.72397673,"('active', 'inactive')",1.2361777,0.97867197,1.3369566,0.91546047,1.2187628746032715,0.8727030754089355,-0.34605979919433594
46,-1.0698537,-0.87047803,"('energetic', 'lethargic')",-0.40715265,-0.46128893,-0.27111018,-0.49660707,-0.5827054977416992,-0.6094580094019572,-0.026752511660257938
48,-1.0534372,-0.9674691,"('dedicated', 'undedicated')",-1.3227706,-1.373246,-0.9809844,-1.2405262,-1.1190640926361084,-1.1937470436096191,-0.07468295097351074
28,1.0319537,0.82117957,"('unprejudiced', 'prejudiced')",1.6449511,1.6052346,2.327352,2.2760334,1.6680855751037598,1.567482630411784,-0.10060294469197584
15,-1.0241941,-0.72357976,"('loyal', 'disloyal')",-1.0043559,-0.92162913,-1.9193144,-1.7316802,-1.3159548441569011,-1.1256296634674072,0.1903251806894939
17,-0.99125814,-0.732918,"('tolerant', 'intolerant')",-1.3323798,-1.179863,-1.1223855,-1.5339237,-1.148674488067627,-1.1489016215006511,-0.00022713343302416256
22,0.9693086,0.8376082,"('amicable', 'hostile')",0.80472016,0.86530125,0.39201924,0.87642753,0.7220160166422526,0.8597790400187174,0.13776302337646484
49,0.87964916,0.8835346,"('motivated', 'unmotivated')",0.44104064,0.32919893,1.512723,1.0959351,0.9444708824157715,0.7695562044779459,-0.17491467793782556
38,-0.8676244,-0.77591777,"('discriminating', 'undiscriminating')",-0.78051805,-0.77309686,-0.9109684,-0.89501,-0.8530369599660238,-0.8146748542785645,0.03836210568745935
1,-0.82154167,-0.8943469,"('friendly', 'unfriendly')",-1.7983384,-1.7364489,-1.2281156,-1.3460381,-1.2826652526855469,-1.3256112734476726,-0.042946020762125725
23,0.79091406,0.78009963,"('truthful', 'untruthful')",1.1421894,1.1648932,-0.40589318,-0.5234108,0.509070078531901,0.4738606611887614,-0.03520941734313959
57,0.776695,1.14468,"('conservative', 'liberal')",0.06857437,0.15835458,0.58728313,0.61491066,0.4775175253550212,0.6393150488535563,0.1617975234985351
13,-0.73977274,-0.5062165,"('sincere', 'insincere')",0.48664027,0.5282041,-0.35479698,-0.62266827,-0.20264315605163574,-0.20022690296173096,0.002416253089904785
