,average_male,0,1,average_female,female-male,tuple
27,-5.4523654,sincere,insincere,-5.6371555,-0.18479013,"('sincere', 'insincere')"
75,4.7341576,confident,shy,4.696164,-0.03799343,"('confident', 'shy')"
40,-4.56759,honorable,mean,-4.4852266,0.082363605,"('honorable', 'mean')"
6,4.249315,liked,disliked,4.473577,0.22426224,"('liked', 'disliked')"
37,3.0543692,good,evil,3.155641,0.10127187,"('good', 'evil')"
13,-2.8011355,helpful,unhelpful,-2.9680333,-0.16689777,"('helpful', 'unhelpful')"
95,-2.6441808,rich,poor,-2.8862062,-0.24202538,"('rich', 'poor')"
86,2.4078937,self-reliant,helpless,2.3420055,-0.06588817,"('self-reliant', 'helpless')"
55,-2.3760002,intelligent,unintelligent,-1.964987,0.41101313,"('intelligent', 'unintelligent')"
77,2.3095329,active,inactive,2.4301453,0.12061238,"('active', 'inactive')"
81,2.2333844,industrious,lazy,2.157436,-0.07594848,"('industrious', 'lazy')"
54,2.2205276,smart,stupid,2.068467,-0.15206075,"('smart', 'stupid')"
53,-2.1714642,smart,stupid,-2.2965083,-0.1250441,"('smart', 'stupid')"
7,2.1652613,outgoing,distant,1.9313446,-0.23391664,"('outgoing', 'distant')"
47,-2.1166973,forgiving,unforgiving,-1.6833117,0.4333856,"('forgiving', 'unforgiving')"
34,-2.0312033,loyal,disloyal,-1.5371306,0.49407268,"('loyal', 'disloyal')"
66,1.9412125,imaginative,unimaginative,1.6397555,-0.30145705,"('imaginative', 'unimaginative')"
104,-1.8936112,conventional,unconventional,-1.092177,0.80143416,"('conventional', 'unconventional')"
65,-1.8479323,practical,impractical,-2.0942621,-0.24632978,"('practical', 'impractical')"
8,1.8465378,open,distant,1.5123487,-0.33418918,"('open', 'distant')"
74,-1.7966534,insightful,unperceptive,-1.9333829,-0.13672948,"('insightful', 'unperceptive')"
38,-1.7883787,kind,unkind,-2.0711534,-0.2827747,"('kind', 'unkind')"
71,-1.7019843,efficient,inefficient,-2.299306,-0.5973216,"('efficient', 'inefficient')"
78,1.6683859,active,inactive,1.5245041,-0.1438818,"('active', 'inactive')"
61,1.6559839,rational,irrational,2.0676038,0.4116199,"('rational', 'irrational')"
97,-1.5977689,superior,inferior,-1.1798093,0.41795957,"('superior', 'inferior')"
50,1.5645599,unprejudiced,prejudiced,1.4336361,-0.13092387,"('unprejudiced', 'prejudiced')"
36,-1.5480362,tolerant,intolerant,-1.50178,0.046256185,"('tolerant', 'intolerant')"
28,-1.5226126,honest,dishonest,-1.6772331,-0.15462053,"('honest', 'dishonest')"
32,-1.5018733,benevolent,hardhearted,-1.4608314,0.04104185,"('benevolent', 'hardhearted')"
105,-1.4609067,conventional,modern,-1.405791,0.0551157,"('conventional', 'modern')"
44,-1.4429421,truthful,untruthful,-1.6078972,-0.16495502,"('truthful', 'untruthful')"
58,-1.4021533,able,clumsy,-1.4507852,-0.048631907,"('able', 'clumsy')"
11,-1.3327323,caring,unaffectionate,-1.7849399,-0.45220757,"('caring', 'unaffectionate')"
88,1.3290093,impulsive,meek,1.3667479,0.03773856,"('impulsive', 'meek')"
48,1.3039334,reliable,unreliable,1.2848924,-0.019040942,"('reliable', 'unreliable')"
49,-1.2806667,responsible,irresponsible,-1.8561924,-0.57552564,"('responsible', 'irresponsible')"
3,1.255244,likable,unlikable,1.317467,0.062222958,"('likable', 'unlikable')"
82,1.2430964,industrious,meek,1.418978,0.17588162,"('industrious', 'meek')"
25,-1.2327329,moral,immoral,-1.0679834,0.1647495,"('moral', 'immoral')"
56,1.1227906,intelligent,dumb,1.2335486,0.110758066,"('intelligent', 'dumb')"
20,1.1007954,popular,unpopular,1.3388466,0.23805118,"('popular', 'unpopular')"
103,1.0622699,traditional,modern,1.10799,0.0457201,"('traditional', 'modern')"
85,-1.0515796,ambitious,unambitious,-1.4914957,-0.43991613,"('ambitious', 'unambitious')"
23,1.0330609,hospitable,inhospitable,1.1421144,0.10905349,"('hospitable', 'inhospitable')"
46,1.016345,generous,stingy,1.0576355,0.04129052,"('generous', 'stingy')"
76,-1.0151398,secure,insecure,-0.9773797,0.03776014,"('secure', 'insecure')"
98,0.96747416,prestigious,insignificant,1.0346363,0.0671621,"('prestigious', 'insignificant')"
101,0.8948704,successful,unsuccessful,0.71294755,-0.18192285,"('successful', 'unsuccessful')"
62,0.8721161,creative,uncreative,0.89542973,0.023313642,"('creative', 'uncreative')"
0,-0.8206299,sociable,unsociable,-0.7154404,0.1051895,"('sociable', 'unsociable')"
4,0.8035388,likable,unlikable,0.5888164,-0.2147224,"('likable', 'unlikable')"
21,0.7671045,nice,nasty,0.7967862,0.029681683,"('nice', 'nasty')"
64,-0.7399244,clever,incompetent,-1.0526597,-0.31273538,"('clever', 'incompetent')"
35,0.72183025,fair,unfair,0.8018379,0.08000767,"('fair', 'unfair')"
89,-0.7205968,daring,anxious,-0.5521803,0.1684165,"('daring', 'anxious')"
41,0.71686924,incorrupt,corrupt,1.138124,0.42125475,"('incorrupt', 'corrupt')"
17,0.71278554,social,antisocial,0.57670116,-0.13608438,"('social', 'antisocial')"
9,-0.63249636,sensitive,insensitive,-1.1125007,-0.4800043,"('sensitive', 'insensitive')"
87,-0.6216508,dedicated,undedicated,-0.67770225,-0.056051433,"('dedicated', 'undedicated')"
26,0.61677635,trustworthy,untrustworthy,0.17966017,-0.43711618,"('trustworthy', 'untrustworthy')"
99,0.6061946,prestigious,insignificant,0.93617415,0.32997954,"('prestigious', 'insignificant')"
63,0.6023002,capable,incapable,0.68977904,0.08747882,"('capable', 'incapable')"
1,-0.5637171,friendly,unfriendly,-0.51436305,0.049354076,"('friendly', 'unfriendly')"
5,0.5631992,pleasant,repellent,0.2700787,-0.29312053,"('pleasant', 'repellent')"
12,-0.55129546,sympathetic,unsympathetic,-0.8866322,-0.33533674,"('sympathetic', 'unsympathetic')"
110,-0.53050447,narrow-minded,open-minded,-0.2630928,0.26741168,"('narrow-minded', 'open-minded')"
45,-0.505652,cooperative,exploitative,-1.011652,-0.506,"('cooperative', 'exploitative')"
100,-0.48062313,influential,uninfluential,-0.37775788,0.10286525,"('influential', 'uninfluential')"
33,-0.45862746,softhearted,hardhearted,-0.7102002,-0.25157273,"('softhearted', 'hardhearted')"
69,0.43553844,wise,foolish,0.40275794,-0.0327805,"('wise', 'foolish')"
109,0.43142927,conservative,liberal,0.24442728,-0.18700199,"('conservative', 'liberal')"
108,0.43142927,conservative,liberal,0.24442728,-0.18700199,"('conservative', 'liberal')"
80,0.42828527,independent,dependent,0.48281997,0.054534703,"('independent', 'dependent')"
67,-0.40197372,discriminating,undiscriminating,-0.17023882,0.2317349,"('discriminating', 'undiscriminating')"
94,-0.39582402,aggressive,submissive,-0.23285854,0.16296548,"('aggressive', 'submissive')"
10,-0.390965,affectionate,unaffectionate,-0.40863326,-0.017668247,"('affectionate', 'unaffectionate')"
24,-0.3881589,thoughtful,rough,-0.20570375,0.18245514,"('thoughtful', 'rough')"
73,-0.34394026,brilliant,incompetent,-0.8054636,-0.46152335,"('brilliant', 'incompetent')"
18,-0.3389259,social,asocial,-0.52616954,-0.18724364,"('social', 'asocial')"
59,0.3299895,skillful,clumsy,0.4747088,0.1447193,"('skillful', 'clumsy')"
102,-0.32968032,eminent,low,-0.30806267,0.021617651,"('eminent', 'low')"
96,0.30187893,powerful,powerless,0.44278532,0.1409064,"('powerful', 'powerless')"
90,0.28422895,motivated,unmotivated,0.062728226,-0.22150072,"('motivated', 'unmotivated')"
16,0.26760083,social,antisocial,0.17023212,-0.09736872,"('social', 'antisocial')"
42,0.26360738,amicable,hostile,0.76679707,0.5031897,"('amicable', 'hostile')"
84,-0.25978845,self-confident,diffident,-0.53398806,-0.2741996,"('self-confident', 'diffident')"
91,0.24116492,resilient,nonresilient,-0.08304724,-0.32421216,"('resilient', 'nonresilient')"
30,-0.2374933,honest,dishonest,-0.5316317,-0.2941384,"('honest', 'dishonest')"
