,Pfizer_male,Pfizer_female,tuple,average_male,average_female,female-male
13,2.5352056,2.7855573,"('sincere', 'insincere')",2.535205602645874,2.785557270050049,0.2503516674041748
21,-2.1515658,-2.2441947,"('incorrupt', 'corrupt')",-2.1515657901763916,-2.244194746017456,-0.09262895584106445
23,2.1445282,2.1891832,"('truthful', 'untruthful')",2.1445281505584717,2.189183235168457,0.04465508460998535
22,-2.074913,-1.9965277,"('amicable', 'hostile')",-2.0749130249023438,-1.9965276718139648,0.0783853530883789
7,2.0724103,2.1398683,"('polite', 'impolite')",2.0724103450775146,2.1398682594299316,0.06745791435241699
29,1.9659046,2.0459948,"('competent', 'incompetent')",1.9659045934677124,2.045994758605957,0.08009016513824463
57,1.9457989,2.0466554,"('conservative', 'liberal')",1.9457988739013672,2.0466554164886475,0.10085654258728027
46,1.862904,1.907535,"('energetic', 'lethargic')",1.8629039525985718,1.9075349569320679,0.044631004333496094
39,-1.8462001,-1.7731838,"('wise', 'foolish')",-1.8462001085281372,-1.773183822631836,0.07301628589630127
18,-1.8324354,-1.9247844,"('good', 'evil')",-1.8324353694915771,-1.9247844219207764,-0.09234905242919922
12,1.8309219,1.8778555,"('trustworthy', 'untrustworthy')",1.8309218883514404,1.8778555393218994,0.046933650970458984
3,1.8279885,1.6270667,"('liked', 'disliked')",1.8279885053634644,1.627066731452942,-0.20092177391052246
11,1.8057442,1.9142784,"('moral', 'immoral')",1.8057441711425781,1.9142783880233765,0.10853421688079834
27,1.7442181,1.5942233,"('responsible', 'irresponsible')",1.744218111038208,1.5942232608795166,-0.1499948501586914
0,1.7376856,1.8218595,"('sociable', 'unsociable')",1.7376855611801147,1.8218594789505005,0.08417391777038574
5,1.7332056,1.7910707,"('helpful', 'unhelpful')",1.7332055568695068,1.7910706996917725,0.057865142822265625
4,1.7081987,1.7398604,"('sensitive', 'insensitive')",1.7081986665725708,1.7398604154586792,0.0316617488861084
42,1.6993394,1.8803912,"('secure', 'insecure')",1.6993393898010254,1.880391240119934,0.1810518503189087
34,-1.688735,-1.5726587,"('rational', 'irrational')",-1.688735008239746,-1.572658658027649,0.11607635021209717
17,1.5758717,1.7304593,"('tolerant', 'intolerant')",1.5758717060089111,1.7304593324661255,0.15458762645721436
