,Celanese_male,Celanese_female,tuple,average_male,average_female,female-male
75,2.0370069,2.0057628,"('confident', 'shy')",2.0370069,2.0057628,-0.0312441
53,-1.5603824,-1.5436465,"('smart', 'stupid')",-1.5603824,-1.5436465,0.0167359
107,1.4384149,1.6585431,"('conventional', 'modern')",1.4384149,1.6585431,0.2201282
66,1.3740623,1.6720821,"('imaginative', 'unimaginative')",1.3740623,1.6720821,0.2980198
40,-1.3458074,-1.2661445,"('honorable', 'mean')",-1.3458074,-1.2661445,0.0796629
15,1.3286948,1.4348298,"('polite', 'impolite')",1.3286948,1.4348298,0.106135
95,-1.3264008,-1.3156084,"('rich', 'poor')",-1.3264008,-1.3156084,0.0107924
6,1.3161385,1.56535,"('liked', 'disliked')",1.3161385,1.5653501,0.2492116
104,-1.305587,-1.1087815,"('conventional', 'unconventional')",-1.3055871,-1.1087815,0.1968056
70,1.2787168,1.3142715,"('wise', 'unwise')",1.2787168,1.3142715,0.0355547
61,-1.2450159,-1.0604557,"('rational', 'irrational')",-1.2450159,-1.0604557,0.1845602
106,-1.2092139,-1.0889311,"('conventional', 'unconventional')",-1.2092139,-1.0889311,0.1202828
81,-1.1474028,-1.2958754,"('industrious', 'lazy')",-1.1474028,-1.2958754,-0.1484726
38,-1.1437652,-0.73326635,"('kind', 'unkind')",-1.1437652,-0.7332664,0.4104988
109,1.0908638,0.95081365,"('conservative', 'liberal')",1.0908638,0.9508137,-0.1400501
108,1.0908638,0.95081365,"('conservative', 'liberal')",1.0908638,0.9508137,-0.1400501
90,1.0868556,1.2198585,"('motivated', 'unmotivated')",1.0868556,1.2198585,0.1330029
31,-1.0177739,-0.96562123,"('altruistic', 'egoistic')",-1.0177739,-0.9656212,0.0521527
12,1.0058465,1.1785601,"('sympathetic', 'unsympathetic')",1.0058465,1.1785601,0.1727136
16,0.99662,0.96001464,"('social', 'antisocial')",0.99662,0.9600146,-0.0366054
4,-0.9727553,-0.89210725,"('likable', 'unlikable')",-0.9727553,-0.8921072,0.0806481
103,0.9693465,1.1580001,"('traditional', 'modern')",0.9693465,1.1580001,0.1886536
10,-0.9286517,-0.48862743,"('affectionate', 'unaffectionate')",-0.9286517,-0.4886274,0.4400243
32,-0.921262,-0.69943655,"('benevolent', 'hardhearted')",-0.921262,-0.6994365,0.2218255
89,0.91115505,0.6147708,"('daring', 'anxious')",0.911155,0.6147708,-0.2963842
1,-0.9083878,-0.354639,"('friendly', 'unfriendly')",-0.9083878,-0.354639,0.5537488
45,-0.89003164,-1.0877756,"('cooperative', 'exploitative')",-0.8900316,-1.0877756,-0.197744
41,-0.8366914,-0.9454958,"('incorrupt', 'corrupt')",-0.8366914,-0.9454958,-0.1088044
14,0.83235735,1.1718059,"('supportive', 'unsupportive')",0.8323573,1.1718059,0.3394486
24,-0.8301672,-0.80918664,"('thoughtful', 'rough')",-0.8301672,-0.8091866,0.0209806
76,0.80477107,0.54030097,"('secure', 'insecure')",0.8047711,0.540301,-0.2644701
29,0.79911995,0.8595839,"('honest', 'immoral')",0.7991199,0.8595839,0.060464
71,0.7892835,0.6428912,"('efficient', 'inefficient')",0.7892835,0.6428912,-0.1463923
99,-0.7800949,-0.58788085,"('prestigious', 'insignificant')",-0.7800949,-0.5878808,0.1922141
5,0.7623224,0.8074516,"('pleasant', 'repellent')",0.7623224,0.8074516,0.0451292
69,-0.75109506,-0.8195477,"('wise', 'foolish')",-0.7510951,-0.8195477,-0.0684526
36,0.74863505,0.79646444,"('tolerant', 'intolerant')",0.7486351,0.7964644,0.0478293
79,0.7450801,0.7032261,"('determined', 'doubtful')",0.7450801,0.7032261,-0.041854
39,-0.73545414,-0.48922667,"('right', 'wrong')",-0.7354541,-0.4892267,0.2462274
23,0.7245186,0.79116386,"('hospitable', 'inhospitable')",0.7245186,0.7911639,0.0666453
85,0.69230956,0.6592534,"('ambitious', 'unambitious')",0.6923096,0.6592534,-0.0330562
27,-0.6701442,-0.36566713,"('sincere', 'insincere')",-0.6701442,-0.3656671,0.3044771
42,-0.6679525,-0.43153578,"('amicable', 'hostile')",-0.6679525,-0.4315358,0.2364167
55,-0.65777934,-0.420235,"('intelligent', 'unintelligent')",-0.6577793,-0.420235,0.2375443
