,NXP_male,NXP_female,tuple,average_male,average_female,female-male
53,-1.6103809,-1.5684828,"('smart', 'stupid')",-1.6103809,-1.5684828,0.0418981
70,1.5937972,1.6384397,"('wise', 'unwise')",1.5937972,1.6384397,0.0446425
91,1.5284138,1.5068139,"('resilient', 'nonresilient')",1.5284138,1.5068139,-0.0215999
75,1.3986523,1.2767266,"('confident', 'shy')",1.3986523,1.2767266,-0.1219257
95,-1.219636,-1.1308861,"('rich', 'poor')",-1.219636,-1.1308861,0.0887499
55,1.1852638,1.3859935,"('intelligent', 'unintelligent')",1.1852638,1.3859935,0.2007297
83,-1.119657,-1.0191242,"('energetic', 'lethargic')",-1.119657,-1.0191242,0.1005328
6,1.0932422,0.8069527,"('liked', 'disliked')",1.0932422,0.8069527,-0.2862895
65,-1.0667194,-0.9612811,"('practical', 'impractical')",-1.0667194,-0.9612811,0.1054383
90,1.0397034,0.9906677,"('motivated', 'unmotivated')",1.0397034,0.9906677,-0.0490357
15,1.0135748,1.1574931,"('polite', 'impolite')",1.0135748,1.1574931,0.1439183
12,0.9274603,1.162263,"('sympathetic', 'unsympathetic')",0.9274603,1.162263,0.2348027
78,0.8700222,0.67531776,"('active', 'inactive')",0.8700222,0.6753178,-0.1947044
4,-0.79471964,-0.8154019,"('likable', 'unlikable')",-0.7947196,-0.8154019,-0.0206823
69,-0.79126984,-0.87743586,"('wise', 'foolish')",-0.7912698,-0.8774359,-0.0861661
73,-0.78533757,-0.8257581,"('brilliant', 'incompetent')",-0.7853376,-0.8257581,-0.0404205
21,0.7788858,0.47219652,"('nice', 'nasty')",0.7788858,0.4721965,-0.3066893
3,0.7775651,0.7212109,"('likable', 'unlikable')",0.7775651,0.7212109,-0.0563542
63,-0.7589587,-0.6666727,"('capable', 'incapable')",-0.7589587,-0.6666727,0.092286
100,0.71732646,1.038197,"('influential', 'uninfluential')",0.7173265,1.038197,0.3208705
14,0.71599346,0.6343035,"('supportive', 'unsupportive')",0.7159935,0.6343035,-0.08169
22,0.70807457,0.66291916,"('welcoming', 'disagreeable')",0.7080746,0.6629192,-0.0451554
27,-0.7046266,-0.37028134,"('sincere', 'insincere')",-0.7046266,-0.3702813,0.3343453
19,-0.7044977,-0.7375144,"('funny', 'boring')",-0.7044977,-0.7375144,-0.0330167
2,0.69502306,0.9954089,"('friendly', 'unfriendly')",0.6950231,0.9954089,0.3003858
40,-0.66554594,-0.6328492,"('honorable', 'mean')",-0.6655459,-0.6328492,0.0326967
66,0.6500921,0.7103983,"('imaginative', 'unimaginative')",0.6500921,0.7103983,0.0603062
77,0.64234155,0.6002116,"('active', 'inactive')",0.6423416,0.6002116,-0.04213
42,0.6328374,0.6053221,"('amicable', 'hostile')",0.6328374,0.6053221,-0.0275153
37,0.5953156,0.32362124,"('good', 'evil')",0.5953156,0.3236212,-0.2716944
36,-0.570828,-0.43941936,"('tolerant', 'intolerant')",-0.570828,-0.4394194,0.1314086
45,-0.5655472,-0.52808374,"('cooperative', 'exploitative')",-0.5655472,-0.5280837,0.0374635
52,0.5574569,0.73198104,"('competitive', 'uncompetitive')",0.5574569,0.731981,0.1745241
104,0.5413667,0.6195771,"('conventional', 'unconventional')",0.5413667,0.6195771,0.0782104
101,-0.5307195,-0.6266156,"('successful', 'unsuccessful')",-0.5307195,-0.6266156,-0.0958961
10,0.53053063,0.5752185,"('affectionate', 'unaffectionate')",0.5305306,0.5752185,0.0446879
57,0.5278939,0.3775196,"('able', 'unable')",0.5278939,0.3775196,-0.1503743
82,0.5101189,0.22916956,"('industrious', 'meek')",0.5101189,0.2291696,-0.2809493
20,0.4971925,0.40161192,"('popular', 'unpopular')",0.4971925,0.4016119,-0.0955806
76,0.48677468,0.6949205,"('secure', 'insecure')",0.4867747,0.6949205,0.2081458
50,-0.48358622,-0.69252694,"('unprejudiced', 'prejudiced')",-0.4835862,-0.6925269,-0.2089407
102,-0.47398734,-0.3792128,"('eminent', 'low')",-0.4739873,-0.3792128,0.0947745
29,0.46074057,0.599288,"('honest', 'immoral')",0.4607406,0.599288,0.1385474
80,0.45878077,0.60944647,"('independent', 'dependent')",0.4587808,0.6094465,0.1506657
105,-0.4515995,-0.30056542,"('conventional', 'modern')",-0.4515995,-0.3005654,0.1510341
87,-0.45151937,-0.2910543,"('dedicated', 'undedicated')",-0.4515194,-0.2910543,0.1604651
103,0.4488791,0.5671793,"('traditional', 'modern')",0.4488791,0.5671793,0.1183002
49,-0.4485296,-0.38771322,"('responsible', 'irresponsible')",-0.4485296,-0.3877132,0.0608164
58,-0.44514394,-0.36903542,"('able', 'clumsy')",-0.4451439,-0.3690354,0.0761085
110,-0.4384325,-0.53448963,"('narrow-minded', 'open-minded')",-0.4384325,-0.5344896,-0.0960571
96,0.42567062,0.4573742,"('powerful', 'powerless')",0.4256706,0.4573742,0.0317036
107,-0.4044961,-0.27007937,"('conventional', 'modern')",-0.4044961,-0.2700794,0.1344167
106,0.4023515,0.60464704,"('conventional', 'unconventional')",0.4023515,0.604647,0.2022955
48,-0.40144753,-0.5297376,"('reliable', 'unreliable')",-0.4014475,-0.5297376,-0.1282901
62,0.40057954,0.5308358,"('creative', 'uncreative')",0.4005795,0.5308358,0.1302563
60,0.3956573,0.74209476,"('educated', 'uneducated')",0.3956573,0.7420948,0.3464375
1,0.3946415,0.5530977,"('friendly', 'unfriendly')",0.3946415,0.5530977,0.1584562
46,0.37444103,0.45275572,"('generous', 'stingy')",0.374441,0.4527557,0.0783147
18,-0.37290406,-0.2660093,"('social', 'asocial')",-0.3729041,-0.2660093,0.1068948
26,-0.37279633,-0.21362782,"('trustworthy', 'untrustworthy')",-0.3727963,-0.2136278,0.1591685
47,0.37002775,0.5512055,"('forgiving', 'unforgiving')",0.3700278,0.5512055,0.1811777
9,0.36352092,0.49853042,"('sensitive', 'insensitive')",0.3635209,0.4985304,0.1350095
23,0.3598498,0.15548752,"('hospitable', 'inhospitable')",0.3598498,0.1554875,-0.2043623
11,0.35104704,0.43537855,"('caring', 'unaffectionate')",0.351047,0.4353786,0.0843316
79,-0.32403374,-0.36203307,"('determined', 'doubtful')",-0.3240337,-0.3620331,-0.0379994
0,0.32188636,0.62261957,"('sociable', 'unsociable')",0.3218864,0.6226196,0.3007332
38,-0.31826738,0.06224504,"('kind', 'unkind')",-0.3182674,0.062245,0.3805124
32,-0.30579534,-0.28823423,"('benevolent', 'hardhearted')",-0.3057953,-0.2882342,0.0175611
61,-0.30201417,-0.251796,"('rational', 'irrational')",-0.3020142,-0.251796,0.0502182
44,0.29645336,0.33870232,"('truthful', 'untruthful')",0.2964534,0.3387023,0.0422489
68,-0.29364723,-0.5025835,"('clever', 'inept')",-0.2936472,-0.5025835,-0.2089363
28,-0.29254475,-0.1035795,"('honest', 'dishonest')",-0.2925448,-0.1035795,0.1889653
41,0.28150147,0.22777261,"('incorrupt', 'corrupt')",0.2815015,0.2277726,-0.0537289
24,0.27035385,0.47195727,"('thoughtful', 'rough')",0.2703539,0.4719573,0.2016034
92,0.25096753,0.14598545,"('unwavering', 'wavering')",0.2509675,0.1459855,-0.104982
13,-0.24160512,-0.026452348,"('helpful', 'unhelpful')",-0.2416051,-0.0264523,0.2151528
85,0.23369712,0.1866678,"('ambitious', 'unambitious')",0.2336971,0.1866678,-0.0470293
25,0.23364143,0.45345417,"('moral', 'immoral')",0.2336414,0.4534542,0.2198128
54,0.2312355,0.084016845,"('smart', 'stupid')",0.2312355,0.0840168,-0.1472187
72,-0.21838194,0.04575698,"('logical', 'illogical')",-0.2183819,0.045757,0.2641389
56,0.20101619,0.09652668,"('intelligent', 'dumb')",0.2010162,0.0965267,-0.1044895
34,0.20008314,0.44941944,"('loyal', 'disloyal')",0.2000831,0.4494194,0.2493363
109,-0.19012815,0.046079993,"('conservative', 'liberal')",-0.1901281,0.04608,0.2362081
108,-0.19012815,0.046079993,"('conservative', 'liberal')",-0.1901281,0.04608,0.2362081
39,-0.18741246,-0.14111009,"('right', 'wrong')",-0.1874125,-0.1411101,0.0463024
84,-0.18331885,-0.30964908,"('self-confident', 'diffident')",-0.1833189,-0.3096491,-0.1263302
35,-0.17245051,0.118376136,"('fair', 'unfair')",-0.1724505,0.1183761,0.2908266
8,-0.16762471,-0.37793967,"('open', 'distant')",-0.1676247,-0.3779397,-0.210315
64,-0.16219261,0.10269882,"('clever', 'incompetent')",-0.1621926,0.1026988,0.2648914
