,UnitedHealth_male,UnitedHealth_female,tuple,Group_male,Group_female,average_male,average_female,female-male
64,3.8113623,3.5317929,"('clever', 'incompetent')",-0.59013754,-0.609126,1.6106124,1.4613335,-0.1492789
52,3.3176866,3.0527835,"('competitive', 'uncompetitive')",-0.0655148,-0.03451228,1.6260859,1.5091356,-0.1169503
81,-2.9035728,-2.9299445,"('industrious', 'lazy')",0.85116386,1.0533849,-1.0262045,-0.9382798,0.0879247
2,2.7440856,2.5316641,"('friendly', 'unfriendly')",-0.44472814,-0.44586506,1.1496787,1.0428995,-0.1067792
109,2.5100489,2.4803967,"('conservative', 'liberal')",-0.16389841,-0.30879396,1.1730752,1.0858014,-0.0872738
108,2.5100489,2.4803967,"('conservative', 'liberal')",-0.16389841,-0.30879396,1.1730752,1.0858014,-0.0872738
8,-2.4620674,-2.4341164,"('open', 'distant')",0.3030251,0.30584526,-1.0795212,-1.0641356,0.0153856
82,-2.382713,-2.22332,"('industrious', 'meek')",0.9025123,1.1112237,-0.7401004,-0.5560482,0.1840522
103,2.3474965,2.2834656,"('traditional', 'modern')",0.87036145,0.92975515,1.6089289,1.6066104,-0.0023185
12,2.3209894,2.042307,"('sympathetic', 'unsympathetic')",-0.7666068,-0.9300687,0.7771913,0.5561191,-0.2210722
71,2.3044815,2.0868862,"('efficient', 'inefficient')",-0.76204103,-1.0111597,0.7712202,0.5378633,-0.2333569
41,-2.2952394,-2.1097136,"('incorrupt', 'corrupt')",0.68986225,1.0056114,-0.8026886,-0.5520511,0.2506375
107,2.275539,2.027912,"('conventional', 'modern')",0.738622,0.5124657,1.5070804,1.2701888,-0.2368916
16,2.2640603,2.128873,"('social', 'antisocial')",-0.76079905,-0.7872024,0.7516306,0.6708354,-0.0807952
17,2.2244859,2.2414258,"('social', 'antisocial')",-1.5508528,-1.3880534,0.3368165,0.4266862,0.0898697
0,2.1954935,2.0198019,"('sociable', 'unsociable')",-0.40689105,-0.3461396,0.8943012,0.8368311,-0.0574701
92,-2.1823082,-2.2111454,"('unwavering', 'wavering')",0.5523386,0.48339194,-0.8149848,-0.8638767,-0.0488919
15,2.1580043,2.0255485,"('polite', 'impolite')",0.6039482,0.6048941,1.3809762,1.3152213,-0.0657549
69,-2.1543722,-2.0526872,"('wise', 'foolish')",0.4258079,0.60023564,-0.8642821,-0.7262257,0.1380564
51,2.152587,1.7331524,"('competent', 'incompetent')",-0.47496414,-0.6529809,0.8388114,0.5400857,-0.2987257
99,-2.0780072,-1.9818462,"('prestigious', 'insignificant')",0.30995694,0.51857895,-0.8840252,-0.7316337,0.1523915
60,1.9477521,1.8978925,"('educated', 'uneducated')",0.7259495,0.9361188,1.3368509,1.4170057,0.0801548
7,-1.9062502,-1.8646327,"('outgoing', 'distant')",0.43886712,0.337091,-0.7336916,-0.7637709,-0.0300793
36,1.9030828,1.7115575,"('tolerant', 'intolerant')",-0.5715789,-0.51427734,0.6657519,0.5986401,-0.0671118
67,1.8879895,1.843565,"('discriminating', 'undiscriminating')",-1.1680825,-1.0991418,0.3599535,0.3722116,0.0122581
76,1.8854173,1.8953822,"('secure', 'insecure')",-0.33648872,-0.32083607,0.7744643,0.787273,0.0128087
5,1.8138766,1.6477845,"('pleasant', 'repellent')",0.15378407,-0.012486555,0.9838303,0.8176489,-0.1661814
94,1.7525796,1.5794246,"('aggressive', 'submissive')",0.06651914,-0.14785033,0.9095494,0.7157872,-0.1937622
73,1.7043558,1.394558,"('brilliant', 'incompetent')",-0.9880754,-1.3039889,0.3581402,0.0452845,-0.3128557
98,-1.7008537,-1.5153184,"('prestigious', 'insignificant')",0.3881728,0.41579565,-0.6563405,-0.5497614,0.1065791
