,NiSource_male,NiSource_female,tuple,average_male,average_female,female-male
49,1.4989057,1.3100581,"('motivated', 'unmotivated')",1.4989056587219238,1.3100581169128418,-0.18884754180908203
53,1.3554132,1.5814008,"('influential', 'uninfluential')",1.3554131984710693,1.581400752067566,0.22598755359649658
30,-1.2309868,-1.3970109,"('smart', 'stupid')",-1.2309868335723877,-1.3970109224319458,-0.1660240888595581
23,1.2126224,1.39751,"('truthful', 'untruthful')",1.2126224040985107,1.397510051727295,0.18488764762878418
50,-1.1655827,-1.1060287,"('rich', 'poor')",-1.1655826568603516,-1.10602867603302,0.05955398082733154
6,1.0367326,1.129628,"('supportive', 'unsupportive')",1.03673255443573,1.1296279430389404,0.09289538860321045
13,1.0249364,0.80938506,"('sincere', 'insincere')",1.0249364376068115,0.8093850612640381,-0.21555137634277344
20,-0.96784294,-0.5749021,"('right', 'wrong')",-0.9678429365158081,-0.5749021172523499,0.39294081926345825
57,0.93998194,0.59311503,"('conservative', 'liberal')",0.9399819374084473,0.5931150317192078,-0.3468669056892395
41,0.93056697,0.33584398,"('confident', 'shy')",0.9305669665336609,0.3358439803123474,-0.5947229862213135
36,-0.9275003,-0.5045004,"('capable', 'incapable')",-0.927500307559967,-0.5045003890991211,0.42299991846084595
8,-0.88895166,-0.360534,"('popular', 'unpopular')",-0.8889516592025757,-0.36053401231765747,0.5284176468849182
34,-0.8530073,-0.2837943,"('rational', 'irrational')",-0.8530073165893555,-0.2837943136692047,0.5692130029201508
21,-0.8262254,-0.43138683,"('incorrupt', 'corrupt')",-0.8262253999710083,-0.4313868284225464,0.3948385715484619
4,0.79885256,0.8085678,"('sensitive', 'insensitive')",0.7988525629043579,0.8085678219795227,0.009715259075164795
3,0.7602481,0.87400997,"('liked', 'disliked')",0.7602481245994568,0.8740099668502808,0.11376184225082397
0,0.7146387,0.9125384,"('sociable', 'unsociable')",0.7146387100219727,0.9125384092330933,0.1978996992111206
44,0.7032504,0.6066122,"('active', 'inactive')",0.7032504081726074,0.6066122055053711,-0.09663820266723633
28,-0.7020824,-0.8664713,"('unprejudiced', 'prejudiced')",-0.7020823955535889,-0.8664712905883789,-0.16438889503479004
31,0.6960794,0.98219424,"('intelligent', 'unintelligent')",0.6960793733596802,0.9821942448616028,0.2861148715019226
12,-0.69207585,-0.37699074,"('trustworthy', 'untrustworthy')",-0.6920758485794067,-0.37699073553085327,0.31508511304855347
43,-0.68209755,-0.5607956,"('active', 'inactive')",-0.6820975542068481,-0.5607956051826477,0.12130194902420044
29,0.6727,0.6857199,"('competent', 'incompetent')",0.6726999878883362,0.685719907283783,0.013019919395446777
