,Goldman_male,Goldman_female,tuple,Sachs_male,Sachs_female,average_male,average_female,female-male
75,6.4078326,6.1585517,"('confident', 'shy')",5.829232,5.2939405,6.118532180786133,5.726245880126953,-0.3922863006591797
27,-5.40399,-5.165553,"('sincere', 'insincere')",-4.5873146,-4.230131,-4.995652198791504,-4.697842121124268,0.29781007766723633
40,-4.890583,-4.947874,"('honorable', 'mean')",-4.273468,-4.1967964,-4.582025527954102,-4.572335243225098,0.009690284729003906
6,4.6482315,4.434041,"('liked', 'disliked')",3.4347773,3.0522203,4.041504383087158,3.743130683898926,-0.2983736991882324
95,-3.9158113,-3.7755666,"('rich', 'poor')",-3.699288,-3.569,-3.807549476623535,-3.672283172607422,0.13526630401611328
53,-3.7131376,-3.5433753,"('smart', 'stupid')",-3.7019544,-3.5746663,-3.7075459957122803,-3.559020757675171,0.14852523803710938
86,2.9988735,2.8747904,"('self-reliant', 'helpless')",1.5431752,1.3837587,2.271024227142334,2.129274606704712,-0.14174962043762207
50,2.9769428,2.8291864,"('unprejudiced', 'prejudiced')",2.4597645,2.3525243,2.718353748321533,2.590855360031128,-0.12749838829040527
1,-2.8842854,-2.6287475,"('friendly', 'unfriendly')",-2.2608347,-2.0774698,-2.5725600719451904,-2.3531086444854736,0.2194514274597168
11,-2.6444964,-2.5859115,"('caring', 'unaffectionate')",-2.1196706,-1.9172573,-2.3820834159851074,-2.251584529876709,0.13049888610839844
32,-2.490767,-2.3123837,"('benevolent', 'hardhearted')",-2.0706697,-2.1560266,-2.2807183265686035,-2.2342052459716797,0.04651308059692383
66,2.3539698,2.3842697,"('imaginative', 'unimaginative')",1.4911026,1.4216155,1.9225361347198486,1.9029426574707031,-0.019593477249145508
104,-2.1343217,-1.9177217,"('conventional', 'unconventional')",-1.3739482,-1.2640109,-1.7541348934173584,-1.5908663272857666,0.1632685661315918
48,2.0074556,1.6996188,"('reliable', 'unreliable')",2.717359,2.3818407,2.3624072074890137,2.0407297611236572,-0.32167744636535645
99,-1.9738967,-1.7947733,"('prestigious', 'insignificant')",-1.9071909,-1.7797704,-1.9405438899993896,-1.7872718572616577,0.15327203273773193
3,1.9628706,1.8770317,"('likable', 'unlikable')",2.3707585,2.2682233,2.1668145656585693,2.072627544403076,-0.09418702125549316
10,-1.7740111,-1.61147,"('affectionate', 'unaffectionate')",-1.5767392,-1.4464877,-1.67537522315979,-1.5289788246154785,0.14639639854431152
107,1.7437557,1.845347,"('conventional', 'modern')",1.4273436,1.4411962,1.5855495929718018,1.6432716846466064,0.05772209167480469
105,-1.6945832,-1.6671927,"('conventional', 'modern')",-0.75745976,-0.8968042,-1.2260215282440186,-1.2819983959197998,-0.05597686767578125
24,-1.688555,-1.5656803,"('thoughtful', 'rough')",-0.86090064,-0.93918943,-1.2747278213500977,-1.2524348497390747,0.02229297161102295
49,-1.6345365,-1.6401371,"('responsible', 'irresponsible')",-0.903045,-0.70902157,-1.2687907218933105,-1.174579381942749,0.09421133995056152
8,-1.5926313,-1.796274,"('open', 'distant')",-0.37396693,-0.23342231,-0.9832991361618042,-1.0148481130599976,-0.03154897689819336
28,-1.5770196,-1.6007595,"('honest', 'dishonest')",-1.5415562,-1.5240369,-1.5592879056930542,-1.5623981952667236,-0.0031102895736694336
15,1.5745413,1.7455368,"('polite', 'impolite')",1.3796407,1.5268224,1.4770910739898682,1.6361796855926514,0.1590886116027832
47,-1.4937687,-1.4245977,"('forgiving', 'unforgiving')",-0.66474307,-0.6189447,-1.0792558193206787,-1.0217711925506592,0.05748462677001953
88,1.4807751,1.4951737,"('impulsive', 'meek')",0.61111677,0.8784694,1.0459458827972412,1.1868215799331665,0.1408756971359253
98,-1.4717019,-1.3356674,"('prestigious', 'insignificant')",-1.5846221,-1.3072824,-1.5281620025634766,-1.3214749097824097,0.2066870927810669
109,1.4486624,1.4511096,"('conservative', 'liberal')",1.22334,1.3865447,1.3360011577606201,1.4188271760940552,0.08282601833343506
108,1.4486624,1.4511096,"('conservative', 'liberal')",1.22334,1.3865447,1.3360011577606201,1.4188271760940552,0.08282601833343506
33,-1.446576,-1.1812713,"('softhearted', 'hardhearted')",-1.3574063,-1.1385722,-1.4019911289215088,-1.1599217653274536,0.24206936359405518
63,-1.3933444,-1.5399696,"('capable', 'incapable')",-0.8221229,-0.60862356,-1.1077336072921753,-1.0742965936660767,0.03343701362609863
13,-1.3509382,-1.3833606,"('helpful', 'unhelpful')",-0.9466118,-0.68357027,-1.1487749814987183,-1.0334653854370117,0.11530959606170654
34,-1.3187585,-1.0805702,"('loyal', 'disloyal')",-1.2767708,-0.89526,-1.2977646589279175,-0.9879150986671448,0.3098495602607727
100,-1.299744,-1.1211338,"('influential', 'uninfluential')",-0.6703994,-0.5564829,-0.9850717186927795,-0.8388083577156067,0.14626336097717285
84,-1.2761501,-1.3389655,"('self-confident', 'diffident')",-0.6739385,-0.6200861,-0.975044310092926,-0.9795258045196533,-0.004481494426727295
94,1.2049019,0.9836654,"('aggressive', 'submissive')",1.0730004,0.87663186,1.1389511823654175,0.9301486015319824,-0.20880258083343506
65,-1.1811602,-1.3072796,"('practical', 'impractical')",-0.57708114,-0.74486905,-0.8791207075119019,-1.0260742902755737,-0.14695358276367188
74,-1.1476403,-1.0503912,"('insightful', 'unperceptive')",-0.16541311,-0.0053673238,-0.6565267443656921,-0.5278792381286621,0.12864750623703003
101,-1.1237473,-1.0456796,"('successful', 'unsuccessful')",-1.1130438,-1.2521722,-1.1183955669403076,-1.1489259004592896,-0.030530333518981934
29,-1.122081,-1.1703124,"('honest', 'immoral')",-0.7309555,-0.8010646,-0.9265182614326477,-0.9856885075569153,-0.05917024612426758
