,Linde_male,Linde_female,tuple,average_male,average_female,female-male
3,1.7721202,1.97156,"('liked', 'disliked')",1.7721202373504639,1.971560001373291,0.19943976402282715
44,1.7663901,1.654253,"('active', 'inactive')",1.766390085220337,1.6542530059814453,-0.1121370792388916
57,1.6854725,1.8310516,"('conservative', 'liberal')",1.6854724884033203,1.8310515880584717,0.14557909965515137
13,1.4216793,1.4922603,"('sincere', 'insincere')",1.4216792583465576,1.4922603368759155,0.07058107852935791
1,-1.3564854,-0.87965333,"('friendly', 'unfriendly')",-1.356485366821289,-0.8796533346176147,0.4768320322036743
20,-1.2886456,-0.9174932,"('right', 'wrong')",-1.288645625114441,-0.9174932241439819,0.371152400970459
45,1.2208065,1.2522283,"('independent', 'dependent')",1.2208064794540405,1.2522282600402832,0.031421780586242676
47,1.1868907,1.1559429,"('ambitious', 'unambitious')",1.186890721321106,1.1559429168701172,-0.03094780445098877
7,1.172331,1.5384922,"('polite', 'impolite')",1.1723309755325317,1.538492202758789,0.3661612272262573
49,1.1509373,1.009229,"('motivated', 'unmotivated')",1.1509373188018799,1.0092289447784424,-0.1417083740234375
11,1.1188844,1.082563,"('moral', 'immoral')",1.1188844442367554,1.082563042640686,-0.036321401596069336
50,-1.0988189,-1.1307676,"('rich', 'poor')",-1.0988188982009888,-1.130767583847046,-0.03194868564605713
21,-1.0151051,-0.9186332,"('incorrupt', 'corrupt')",-1.015105128288269,-0.918633222579956,0.09647190570831299
55,-0.97914124,-0.72496194,"('conventional', 'unconventional')",-0.9791412353515625,-0.7249619364738464,0.25417929887771606
36,-0.97718966,-0.56658256,"('capable', 'incapable')",-0.9771896600723267,-0.5665825605392456,0.41060709953308105
15,-0.9441282,-0.79840225,"('loyal', 'disloyal')",-0.9441282153129578,-0.7984022498130798,0.14572596549987793
10,-0.91406214,-0.7129181,"('hospitable', 'inhospitable')",-0.9140621423721313,-0.7129181027412415,0.2011440396308899
41,0.89123416,0.58498454,"('confident', 'shy')",0.8912341594696045,0.584984540939331,-0.30624961853027344
23,0.8583958,0.7545979,"('truthful', 'untruthful')",0.8583958148956299,0.7545979022979736,-0.10379791259765625
51,-0.8572713,-0.8656453,"('powerful', 'powerless')",-0.8572713136672974,-0.8656452894210815,-0.00837397575378418
22,-0.7885772,-0.3678633,"('amicable', 'hostile')",-0.7885771989822388,-0.3678632974624634,0.4207139015197754
39,-0.7649,-0.5194205,"('wise', 'foolish')",-0.7649000287055969,-0.5194205045700073,0.2454795241355896
30,-0.75398195,-0.7757426,"('smart', 'stupid')",-0.7539819478988647,-0.7757425904273987,-0.021760642528533936
28,0.69280934,0.6717026,"('unprejudiced', 'prejudiced')",0.6928093433380127,0.6717026233673096,-0.021106719970703125
2,-0.6751622,-0.6552196,"('likable', 'unlikable')",-0.6751621961593628,-0.6552196145057678,0.01994258165359497
42,0.6673389,0.7050438,"('secure', 'insecure')",0.6673389077186584,0.7050437927246094,0.03770488500595093
19,-0.65341645,-0.3094605,"('kind', 'unkind')",-0.6534164547920227,-0.30946049094200134,0.34395596385002136
40,0.6085619,0.76539195,"('logical', 'illogical')",0.6085618734359741,0.7653919458389282,0.1568300724029541
6,0.5929216,0.84775066,"('supportive', 'unsupportive')",0.5929216146469116,0.8477506637573242,0.2548290491104126
29,0.57448184,0.51922554,"('competent', 'incompetent')",0.5744818449020386,0.519225537776947,-0.05525630712509155
54,0.573153,0.9449571,"('successful', 'unsuccessful')",0.573153018951416,0.9449570775032043,0.37180405855178833
43,-0.53480977,-0.36620703,"('active', 'inactive')",-0.5348097681999207,-0.3662070333957672,0.16860273480415344
16,0.5321844,0.8136032,"('fair', 'unfair')",0.5321844220161438,0.8136032223701477,0.2814188003540039
38,-0.517097,-0.40779677,"('discriminating', 'undiscriminating')",-0.517096996307373,-0.4077967703342438,0.10930022597312927
48,0.4739036,0.19496319,"('dedicated', 'undedicated')",0.4739035964012146,0.19496318697929382,-0.2789404094219208
27,0.418693,0.52478445,"('responsible', 'irresponsible')",0.41869300603866577,0.5247844457626343,0.1060914397239685
25,-0.41085973,-0.28963333,"('forgiving', 'unforgiving')",-0.41085973381996155,-0.2896333336830139,0.12122640013694763
34,-0.39520502,-0.15881586,"('rational', 'irrational')",-0.395205020904541,-0.15881586074829102,0.23638916015625
9,0.39351782,0.26405597,"('nice', 'nasty')",0.3935178220272064,0.2640559673309326,-0.1294618546962738
24,0.3832056,0.56543297,"('generous', 'stingy')",0.3832055926322937,0.5654329657554626,0.18222737312316895
31,0.3674515,0.5683321,"('intelligent', 'unintelligent')",0.3674514889717102,0.5683320760726929,0.20088058710098267
8,-0.3582897,-0.00081676245,"('popular', 'unpopular')",-0.3582896888256073,-0.0008167624473571777,0.3574729263782501
33,0.35163704,0.70688677,"('educated', 'uneducated')",0.3516370356082916,0.7068867683410645,0.3552497327327728
4,0.3077281,0.4486004,"('sensitive', 'insensitive')",0.307728111743927,0.4486004114151001,0.1408722996711731
46,0.30614886,0.2928277,"('energetic', 'lethargic')",0.30614885687828064,0.29282769560813904,-0.013321161270141602
0,0.30277044,0.36681193,"('sociable', 'unsociable')",0.3027704358100891,0.36681193113327026,0.06404149532318115
5,-0.28797472,-0.080026,"('helpful', 'unhelpful')",-0.2879747152328491,-0.08002600073814392,0.2079487144947052
52,0.26437578,0.366441,"('superior', 'inferior')",0.264375776052475,0.366441011428833,0.10206523537635803
14,0.2598371,0.22158706,"('honest', 'dishonest')",0.2598370909690857,0.22158706188201904,-0.03825002908706665
56,0.25385886,0.18913248,"('conventional', 'unconventional')",0.25385886430740356,0.1891324818134308,-0.06472638249397278
12,0.23257321,0.27789724,"('trustworthy', 'untrustworthy')",0.23257321119308472,0.2778972387313843,0.04532402753829956
53,-0.2034002,0.05317229,"('influential', 'uninfluential')",-0.20340019464492798,0.053172290325164795,0.2565724849700928
37,-0.14141428,-0.32864633,"('practical', 'impractical')",-0.14141428470611572,-0.32864633202552795,-0.18723204731941223
17,-0.12375873,-0.1668691,"('tolerant', 'intolerant')",-0.12375873327255249,-0.16686910390853882,-0.04311037063598633
26,0.11553903,0.1497498,"('reliable', 'unreliable')",0.11553902924060822,0.14974980056285858,0.034210771322250366
32,0.06751153,0.06685895,"('able', 'unable')",0.06751152873039246,0.06685894727706909,-0.0006525814533233643
35,-0.042364687,0.3719867,"('creative', 'uncreative')",-0.042364686727523804,0.3719866871833801,0.41435137391090393
18,-0.037264407,0.023420572,"('good', 'evil')",-0.03726440668106079,0.02342057228088379,0.06068497896194458
