,Regeneron_male,Regeneron_female,tuple,Pharmaceuticals_male,Pharmaceuticals_female,average_male,average_female,female-male
75,2.981924,2.7779534,"('confident', 'shy')",3.8695025,3.8936691,3.4257133,3.3358111,-0.0899022
94,2.7724414,2.6285515,"('aggressive', 'submissive')",-0.15606382,-0.2590536,1.3081888,1.1847489,-0.1234399
109,2.5938578,2.412325,"('conservative', 'liberal')",1.5257363,1.3785373,2.059797,1.895431,-0.164366
108,2.5938578,2.412325,"('conservative', 'liberal')",1.5257363,1.3785373,2.059797,1.895431,-0.164366
71,2.558473,2.140452,"('efficient', 'inefficient')",-0.49935132,-0.7997031,1.0295609,0.6703744,-0.3591865
25,2.256461,1.8774654,"('moral', 'immoral')",-0.035934865,-0.089695394,1.110263,0.893885,-0.216378
76,2.226411,2.022088,"('secure', 'insecure')",0.2637818,0.18785986,1.2450964,1.1049739,-0.1401225
2,2.1988869,2.1658697,"('friendly', 'unfriendly')",-0.12999451,-0.09569442,1.0344462,1.0350876,0.0006414
8,-2.191738,-1.9408708,"('open', 'distant')",-0.14900145,-0.08465825,-1.1703696,-1.0127645,0.1576051
52,2.0988972,1.9407707,"('competitive', 'uncompetitive')",-0.25256455,-0.2735346,0.9231663,0.833618,-0.0895483
90,2.0904655,1.7994221,"('motivated', 'unmotivated')",0.76487327,0.5824586,1.4276694,1.1909404,-0.236729
99,-2.077652,-1.8879137,"('prestigious', 'insignificant')",-0.59021604,-0.35906,-1.3339341,-1.1234869,0.2104472
7,-2.0216384,-1.8909593,"('outgoing', 'distant')",-0.077637255,-0.11146988,-1.0496378,-1.0012146,0.0484232
15,2.004008,1.9596295,"('polite', 'impolite')",1.1413028,1.0956882,1.5726554,1.5276589,-0.0449965
16,1.9950578,1.6954395,"('social', 'antisocial')",0.52539563,0.49370503,1.2602267,1.0945723,-0.1656544
60,1.9125103,1.8986925,"('educated', 'uneducated')",-0.021251127,0.063848674,0.9456296,0.9812706,0.035641
41,-1.8850377,-1.5660715,"('incorrupt', 'corrupt')",0.6628432,0.767814,-0.6110972,-0.3991288,0.2119684
12,1.85671,1.900836,"('sympathetic', 'unsympathetic')",-0.3250921,-0.31682613,0.7658089,0.7920049,0.026196
64,1.8161818,1.5895973,"('clever', 'incompetent')",-0.67394435,-0.712483,0.5711187,0.4385572,-0.1325615
81,-1.7889811,-1.9648805,"('industrious', 'lazy')",0.24082811,0.27085596,-0.7740765,-0.8470123,-0.0729358
42,-1.7748339,-1.4499365,"('amicable', 'hostile')",0.5550055,0.7687513,-0.6099142,-0.3405926,0.2693216
103,1.7408097,1.6845942,"('traditional', 'modern')",1.5254104,1.5942616,1.63311,1.6394279,0.0063179
89,1.7281891,1.5018903,"('daring', 'anxious')",0.58615214,0.51764977,1.1571707,1.00977,-0.1474007
73,1.6686525,1.3840957,"('brilliant', 'incompetent')",-0.5359811,-0.729965,0.5663357,0.3270653,-0.2392704
98,-1.6676583,-1.6260496,"('prestigious', 'insignificant')",-0.14987248,-0.04408987,-0.9087654,-0.8350698,0.0736956
107,1.6400192,1.655244,"('conventional', 'modern')",1.2257581,1.2714314,1.4328886,1.4633377,0.0304491
104,-1.5759555,-1.4854127,"('conventional', 'unconventional')",-1.3616242,-1.0228528,-1.4687898,-1.2541327,0.2146571
10,-1.5217922,-1.30665,"('affectionate', 'unaffectionate')",-0.41346627,-0.22770602,-0.9676292,-0.7671781,0.2004511
5,1.5047038,1.3303859,"('pleasant', 'repellent')",0.8833431,0.7454194,1.1940234,1.0379026,-0.1561208
31,-1.4785404,-1.440408,"('altruistic', 'egoistic')",-0.6140056,-0.5185586,-1.046273,-0.9794833,0.0667897
53,-1.4314998,-1.4255067,"('smart', 'stupid')",-3.1220393,-3.2264192,-2.2767696,-2.325963,-0.0491934
1,-1.407968,-1.1624006,"('friendly', 'unfriendly')",-0.8942121,-0.6513229,-1.1510901,-0.9068618,0.2442283
69,-1.4078151,-1.2759281,"('wise', 'foolish')",0.35324717,0.44057238,-0.527284,-0.4176779,0.1096061
61,-1.4073877,-1.0887866,"('rational', 'irrational')",0.24832451,0.502361,-0.5795316,-0.2932128,0.2863188
92,-1.4010876,-1.3064443,"('unwavering', 'wavering')",0.2923185,0.3866503,-0.5543846,-0.459897,0.0944876
82,-1.3825139,-1.2714052,"('industrious', 'meek')",0.19692492,0.2260184,-0.5927945,-0.5226934,0.0701011
100,1.3158782,1.3833083,"('influential', 'uninfluential')",-0.5797968,-0.4089691,0.3680407,0.4871696,0.1191289
93,1.2701768,1.1957633,"('dominating', 'dominated')",0.016769603,-0.019377932,0.6434732,0.5881927,-0.0552805
83,1.2483395,1.0498755,"('energetic', 'lethargic')",0.30781794,0.24061954,0.7780787,0.6452475,-0.1328312
23,-1.2447155,-1.0470252,"('hospitable', 'inhospitable')",0.6229598,0.56446326,-0.3108778,-0.241281,0.0695968
55,1.2240888,1.1780286,"('intelligent', 'unintelligent')",-0.76246005,-0.79391736,0.2308144,0.1920556,-0.0387588
95,-1.1933305,-1.1860368,"('rich', 'poor')",-3.6890306,-3.688025,-2.4411807,-2.4370308,0.0041499
39,-1.1505846,-0.9693857,"('right', 'wrong')",-0.32507658,-0.21376652,-0.7378306,-0.5915761,0.1462545
49,1.1332744,0.97357434,"('responsible', 'irresponsible')",-0.76629984,-0.8942053,0.1834873,0.0396845,-0.1438028
37,-1.1077002,-1.0645382,"('good', 'evil')",1.387202,1.3952613,0.1397509,0.1653615,0.0256106
68,-1.0930321,-1.2120798,"('clever', 'inept')",-0.8043333,-0.94616425,-0.9486827,-1.0791221,-0.1304394
105,-1.0414981,-0.8203186,"('conventional', 'modern')",-0.5679751,-0.43231633,-0.8047366,-0.6263174,0.1784192
97,-1.0399827,-0.8555982,"('superior', 'inferior')",-1.0713015,-1.0709714,-1.0556421,-0.9632848,0.0923573
62,-1.0106051,-0.8657298,"('creative', 'uncreative')",0.24448076,0.33485004,-0.3830622,-0.2654399,0.1176223
40,-1.0103774,-1.2467415,"('honorable', 'mean')",-2.905117,-3.054789,-1.9577472,-2.1507654,-0.1930182
63,-0.9907708,-0.7996057,"('capable', 'incapable')",-0.37800515,-0.4014027,-0.684388,-0.6005042,0.0838838
13,0.9824648,0.91106474,"('helpful', 'unhelpful')",-1.7506173,-1.8071221,-0.3840762,-0.4480287,-0.0639525
0,0.9217765,1.0425843,"('sociable', 'unsociable')",-0.2281732,-0.12653433,0.3468016,0.458025,0.1112234
66,0.87977445,1.0563943,"('imaginative', 'unimaginative')",1.7067869,1.641499,1.2932806,1.3489467,0.0556661
9,0.8735424,0.81704164,"('sensitive', 'insensitive')",0.3075511,0.124506354,0.5905467,0.470774,-0.1197727
101,0.8720994,0.75233436,"('successful', 'unsuccessful')",-1.0957756,-1.1180856,-0.1118381,-0.1828756,-0.0710375
51,0.84038603,0.70967305,"('competent', 'incompetent')",-0.2017808,-0.25224438,0.3193026,0.2287143,-0.0905883
65,0.83292484,0.5547048,"('practical', 'impractical')",-0.7395989,-0.8877506,0.046663,-0.1665229,-0.2131859
32,-0.81494755,-0.70421946,"('benevolent', 'hardhearted')",-1.6623636,-1.4802185,-1.2386556,-1.092219,0.1464366
36,0.8089206,0.66999584,"('tolerant', 'intolerant')",-0.45674607,-0.5120292,0.1760873,0.0789833,-0.097104
11,-0.8045734,-0.60684675,"('caring', 'unaffectionate')",-1.2867954,-1.2287526,-1.0456843,-0.9177997,0.1278846
30,0.7655269,0.65521467,"('honest', 'dishonest')",-0.044991106,-0.09145528,0.3602679,0.2818797,-0.0783882
88,-0.7640846,-0.6223082,"('impulsive', 'meek')",1.3150408,1.2650259,0.2754781,0.3213588,0.0458807
14,0.74019444,0.76571393,"('supportive', 'unsupportive')",0.5310705,0.4833751,0.6356325,0.6245445,-0.011088
91,0.73072493,0.65436316,"('resilient', 'nonresilient')",-1.0372653,-0.9634664,-0.1532702,-0.1545516,-0.0012814
6,0.72794354,0.723346,"('liked', 'disliked')",3.401929,3.5307355,2.0649362,2.1270409,0.0621047
3,0.6762788,0.385904,"('likable', 'unlikable')",1.1299967,1.1487215,0.9031377,0.7673128,-0.1358249
33,-0.66401225,-0.3591928,"('softhearted', 'hardhearted')",-0.19363803,-0.08317155,-0.4288251,-0.2211822,0.2076429
110,-0.6488256,-0.80129814,"('narrow-minded', 'open-minded')",-0.09689747,-0.10482243,-0.3728615,-0.4530603,-0.0801988
102,0.61489606,0.5574706,"('eminent', 'low')",-0.9652183,-0.88346666,-0.1751611,-0.162998,0.0121631
17,0.61377406,0.7087147,"('social', 'antisocial')",0.061792314,0.071086586,0.3377832,0.3899007,0.0521175
50,0.59371895,0.4424383,"('unprejudiced', 'prejudiced')",1.6515906,1.4971313,1.1226548,0.9697849,-0.1528699
58,0.58309746,0.38193682,"('able', 'clumsy')",-0.50177085,-0.3625877,0.0406633,0.0096746,-0.0309887
59,-0.5707991,-0.59413886,"('skillful', 'clumsy')",0.58290845,0.799447,0.0060547,0.1026541,0.0965994
4,-0.5559831,-0.66187906,"('likable', 'unlikable')",-0.7956798,-0.7113521,-0.6758314,-0.6866156,-0.0107842
106,-0.55063593,-0.7098312,"('conventional', 'unconventional')",-0.5039767,-0.36417753,-0.5273063,-0.5370044,-0.0096981
67,-0.5448724,-0.29450738,"('discriminating', 'undiscriminating')",-0.16794804,-0.09869242,-0.3564102,-0.1965999,0.1598103
45,0.54265386,0.26436394,"('cooperative', 'exploitative')",0.346542,0.24568057,0.4445979,0.2550223,-0.1895756
35,-0.5335272,-0.39351267,"('fair', 'unfair')",1.106454,1.2092708,0.2864634,0.4078791,0.1214157
29,0.50268245,0.46889094,"('honest', 'immoral')",-0.22995788,-0.30352062,0.1363623,0.0826852,-0.0536771
77,-0.501837,-0.43984023,"('active', 'inactive')",0.6964841,0.82054436,0.0973235,0.1903521,0.0930286
86,-0.46602142,-0.43639636,"('self-reliant', 'helpless')",2.395753,2.4864159,0.9648657,1.0250098,0.0601441
56,-0.44964358,-0.4782194,"('intelligent', 'dumb')",0.32634676,0.34754187,-0.0616484,-0.0653388,-0.0036904
21,0.43098128,0.2956548,"('nice', 'nasty')",0.83410156,0.7064668,0.6325414,0.5010608,-0.1314806
26,0.38610613,0.4243559,"('trustworthy', 'untrustworthy')",0.746957,0.7718745,0.5665315,0.5981152,0.0315837
