,Regency_male,Regency_female,tuple,Centers_male,Centers_female,average_male,average_female,female-male
3,3.02261,3.2210023,"('liked', 'disliked')",3.7880383,3.9406707,3.4053239822387695,3.580836534500122,0.17551255226135254
50,-2.5469594,-3.2362287,"('rich', 'poor')",-4.729597,-5.1058025,-3.6382782459259033,-4.171015739440918,-0.5327374935150146
44,2.4336934,1.7074072,"('active', 'inactive')",1.3970299,1.1311736,1.9153616428375244,1.4192904233932495,-0.4960712194442749
49,2.1621199,1.9098971,"('motivated', 'unmotivated')",1.427842,0.93415,1.7949810028076172,1.4220235347747803,-0.3729574680328369
30,-2.1185293,-2.7427883,"('smart', 'stupid')",-4.0371423,-4.1588507,-3.07783579826355,-3.450819492340088,-0.3729836940765381
24,1.8934342,2.2621517,"('generous', 'stingy')",0.7090178,0.9341012,1.301226019859314,1.5981264114379883,0.2969003915786743
5,-1.7533422,-1.4429935,"('helpful', 'unhelpful')",-3.3234944,-3.4809937,-2.5384182929992676,-2.46199369430542,0.07642459869384766
1,-1.7149247,-1.8282874,"('friendly', 'unfriendly')",-1.4471277,-1.3450751,-1.5810261964797974,-1.5866812467575073,-0.005655050277709961
21,1.6844076,1.169777,"('incorrupt', 'corrupt')",2.048349,2.4411812,1.8663783073425293,1.8054790496826172,-0.06089925765991211
19,-1.6817769,-0.9540884,"('kind', 'unkind')",-2.4277446,-2.398872,-2.054760694503784,-1.6764801740646362,0.37828052043914795
33,-1.6264038,-0.9078299,"('educated', 'uneducated')",-2.195136,-2.2301335,-1.9107699394226074,-1.568981647491455,0.34178829193115234
52,-1.4666824,-0.90499735,"('superior', 'inferior')",0.25381792,0.3966566,-0.6064322590827942,-0.25417035818099976,0.35226190090179443
41,1.4648169,0.8350271,"('confident', 'shy')",2.2659261,1.7347105,1.8653714656829834,1.2848687171936035,-0.5805027484893799
28,1.3245122,1.1056757,"('unprejudiced', 'prejudiced')",2.140453,2.234944,1.732482671737671,1.6703099012374878,-0.062172770500183105
51,-1.3201888,-0.8645219,"('powerful', 'powerless')",-0.47167742,-0.26586923,-0.8959330916404724,-0.5651955604553223,0.33073753118515015
27,-1.2444693,-1.4355155,"('responsible', 'irresponsible')",-1.9355631,-2.2747314,-1.5900161266326904,-1.855123519897461,-0.2651073932647705
4,-1.2440281,-1.1422926,"('sensitive', 'insensitive')",-1.4178233,-1.8013451,-1.330925703048706,-1.4718189239501953,-0.14089322090148926
17,-1.24312,-0.82665503,"('tolerant', 'intolerant')",-1.4484015,-1.749611,-1.345760703086853,-1.2881330251693726,0.05762767791748047
35,-1.233973,-1.4276092,"('creative', 'uncreative')",-0.9588012,-1.0470701,-1.0963871479034424,-1.237339735031128,-0.14095258712768555
34,1.1699512,1.014343,"('rational', 'irrational')",0.8258059,1.0007486,0.9978785514831543,1.007545828819275,0.009667277336120605
37,-1.0943255,-1.2939236,"('practical', 'impractical')",-1.7193954,-2.024223,-1.4068604707717896,-1.6590733528137207,-0.25221288204193115
