,CBRE_male,CBRE_female,tuple,average_male,average_female,female-male
75,2.305288,2.130636,"('confident', 'shy')",2.3052881,2.130636,-0.1746521
109,2.1608825,2.3294559,"('conservative', 'liberal')",2.1608825,2.3294559,0.1685734
108,2.1608825,2.3294559,"('conservative', 'liberal')",2.1608825,2.3294559,0.1685734
53,-1.9086436,-1.8567951,"('smart', 'stupid')",-1.9086436,-1.8567951,0.0518485
40,-1.8659983,-1.8747714,"('honorable', 'mean')",-1.8659983,-1.8747714,-0.0087731
1,-1.6441221,-1.7174983,"('friendly', 'unfriendly')",-1.6441221,-1.7174983,-0.0733762
50,1.6395415,1.4271059,"('unprejudiced', 'prejudiced')",1.6395415,1.4271059,-0.2124356
32,-1.6043777,-1.6789012,"('benevolent', 'hardhearted')",-1.6043777,-1.6789012,-0.0745235
11,-1.5692425,-1.6014062,"('caring', 'unaffectionate')",-1.5692425,-1.6014062,-0.0321637
81,-1.547008,-1.7762192,"('industrious', 'lazy')",-1.547008,-1.7762192,-0.2292112
2,1.5286263,1.6420194,"('friendly', 'unfriendly')",1.5286263,1.6420194,0.1133931
102,-1.4769318,-1.2097611,"('eminent', 'low')",-1.4769318,-1.2097611,0.2671707
90,1.4739388,1.4030672,"('motivated', 'unmotivated')",1.4739388,1.4030672,-0.0708716
42,-1.3963287,-1.2979488,"('amicable', 'hostile')",-1.3963287,-1.2979488,0.0983799
84,-1.368465,-1.6246153,"('self-confident', 'diffident')",-1.3684649,-1.6246153,-0.2561504
38,-1.3589872,-1.1392443,"('kind', 'unkind')",-1.3589872,-1.1392443,0.2197429
52,1.3565123,1.4880428,"('competitive', 'uncompetitive')",1.3565123,1.4880428,0.1315305
63,-1.3541932,-1.2634668,"('capable', 'incapable')",-1.3541932,-1.2634668,0.0907264
99,-1.3142492,-1.4685583,"('prestigious', 'insignificant')",-1.3142492,-1.4685583,-0.1543091
104,-1.2843419,-1.3254336,"('conventional', 'unconventional')",-1.2843419,-1.3254336,-0.0410917
76,1.2795472,1.3676761,"('secure', 'insecure')",1.2795472,1.3676761,0.0881289
19,-1.2712338,-1.3240914,"('funny', 'boring')",-1.2712338,-1.3240914,-0.0528576
41,-1.2680999,-1.2516007,"('incorrupt', 'corrupt')",-1.2680999,-1.2516007,0.0164992
107,1.2500154,1.5076342,"('conventional', 'modern')",1.2500154,1.5076342,0.2576188
101,-1.2351102,-1.0229678,"('successful', 'unsuccessful')",-1.2351102,-1.0229678,0.2121424
4,-1.228049,-1.2679905,"('likable', 'unlikable')",-1.228049,-1.2679905,-0.0399415
31,-1.217402,-1.4403626,"('altruistic', 'egoistic')",-1.217402,-1.4403626,-0.2229606
69,-1.2166246,-1.354868,"('wise', 'foolish')",-1.2166246,-1.3548681,-0.1382435
67,-1.213914,-1.0459913,"('discriminating', 'undiscriminating')",-1.213914,-1.0459913,0.1679227
39,-1.2101524,-1.1190017,"('right', 'wrong')",-1.2101524,-1.1190017,0.0911507
71,1.1900675,1.2732902,"('efficient', 'inefficient')",1.1900675,1.2732902,0.0832227
27,-1.1782818,-0.863816,"('sincere', 'insincere')",-1.1782818,-0.863816,0.3144658
82,-1.174493,-1.5024213,"('industrious', 'meek')",-1.174493,-1.5024213,-0.3279283
103,1.1490669,1.2816297,"('traditional', 'modern')",1.1490669,1.2816297,0.1325628
61,-1.0484817,-1.0520736,"('rational', 'irrational')",-1.0484817,-1.0520736,-0.0035919
10,-1.0456684,-1.0495524,"('affectionate', 'unaffectionate')",-1.0456684,-1.0495524,-0.003884
95,-0.9409765,-0.5795852,"('rich', 'poor')",-0.9409765,-0.5795852,0.3613913
79,0.9164663,0.77530575,"('determined', 'doubtful')",0.9164663,0.7753057,-0.1411606
80,0.9090346,0.9712188,"('independent', 'dependent')",0.9090346,0.9712188,0.0621842
93,0.897363,0.9166532,"('dominating', 'dominated')",0.897363,0.9166532,0.0192902
5,0.8962429,1.0187109,"('pleasant', 'repellent')",0.8962429,1.0187109,0.122468
20,-0.8960714,-0.759711,"('popular', 'unpopular')",-0.8960714,-0.759711,0.1363604
65,-0.8880165,-0.76974046,"('practical', 'impractical')",-0.8880165,-0.7697405,0.118276
16,0.8827865,0.98873204,"('social', 'antisocial')",0.8827865,0.988732,0.1059455
70,0.85524064,0.93448454,"('wise', 'unwise')",0.8552406,0.9344845,0.0792439
12,0.83798665,0.98549414,"('sympathetic', 'unsympathetic')",0.8379866,0.9854941,0.1475075
15,0.8359104,0.9318636,"('polite', 'impolite')",0.8359104,0.9318636,0.0959532
78,0.76504344,0.4289283,"('active', 'inactive')",0.7650434,0.4289283,-0.3361151
77,-0.72778517,-0.79965603,"('active', 'inactive')",-0.7277852,-0.799656,-0.0718708
64,0.7161031,0.86066425,"('clever', 'incompetent')",0.7161031,0.8606642,0.1445611
89,0.7146368,0.7077725,"('daring', 'anxious')",0.7146368,0.7077725,-0.0068643
45,-0.7024887,-0.73934036,"('cooperative', 'exploitative')",-0.7024887,-0.7393404,-0.0368517
62,-0.6930969,-0.63874507,"('creative', 'uncreative')",-0.6930969,-0.6387451,0.0543518
92,-0.67363954,-0.6920061,"('unwavering', 'wavering')",-0.6736395,-0.6920061,-0.0183666
25,0.67032886,0.73545486,"('moral', 'immoral')",0.6703289,0.7354549,0.065126
73,-0.636284,-0.6572916,"('brilliant', 'incompetent')",-0.636284,-0.6572916,-0.0210076
46,0.6279106,0.5164383,"('generous', 'stingy')",0.6279106,0.5164383,-0.1114723
28,-0.5993938,-0.4494622,"('honest', 'dishonest')",-0.5993938,-0.4494622,0.1499316
98,-0.5989275,-0.6973328,"('prestigious', 'insignificant')",-0.5989275,-0.6973328,-0.0984053
72,-0.59538,-0.35713512,"('logical', 'illogical')",-0.59538,-0.3571351,0.2382449
