,McKesson_male,McKesson_female,tuple,Corporation_male,Corporation_female,average_male,average_female,female-male
2,3.1015365,3.2436795,"('friendly', 'unfriendly')",-1.0376813,-1.04854,1.0319276,1.0975697,0.0656421
94,2.958314,2.9771404,"('aggressive', 'submissive')",0.5067985,0.31398696,1.7325562,1.6455637,-0.0869925
12,2.9428797,3.0636857,"('sympathetic', 'unsympathetic')",-0.8327242,-0.94881463,1.0550778,1.0574355,0.0023577
16,2.9349432,3.0205424,"('social', 'antisocial')",-1.0976408,-1.0759275,0.9186512,0.9723074,0.0536562
99,-2.8961406,-3.0591564,"('prestigious', 'insignificant')",-0.36734855,-0.14205799,-1.6317446,-1.6006072,0.0311374
41,-2.688838,-2.6789896,"('incorrupt', 'corrupt')",1.7075706,2.043691,-0.4906337,-0.3176494,0.1729843
82,-2.676536,-2.9427488,"('industrious', 'meek')",0.82638836,1.0624516,-0.9250739,-0.9401486,-0.0150747
76,2.67579,2.8425727,"('secure', 'insecure')",-0.25611198,-0.39448076,1.2098391,1.224046,0.0142069
71,2.627547,2.5862827,"('efficient', 'inefficient')",-0.31214243,-0.66582847,1.1577023,0.9602271,-0.1974752
81,-2.5738192,-2.8018427,"('industrious', 'lazy')",1.5114976,1.6851848,-0.5311608,-0.5583289,-0.0271681
75,2.5078526,2.4250295,"('confident', 'shy')",5.5090284,5.785636,4.0084405,4.1053329,0.0968924
8,-2.454294,-2.59014,"('open', 'distant')",1.0239071,1.0725777,-0.7151935,-0.7587812,-0.0435877
25,2.3153608,2.2256258,"('moral', 'immoral')",-0.66990954,-0.86645496,0.8227257,0.6795854,-0.1431403
15,2.2827673,2.3036385,"('polite', 'impolite')",0.60729504,0.55079806,1.4450312,1.4272182,-0.017813
0,2.2818975,2.289995,"('sociable', 'unsociable')",-1.0868596,-0.87454176,0.597519,0.7077266,0.1102076
52,2.2086196,2.2286592,"('competitive', 'uncompetitive')",-1.0085267,-1.0554684,0.6000465,0.5865954,-0.0134511
55,2.1979818,2.2334921,"('intelligent', 'unintelligent')",-0.8582853,-0.7608187,0.6698483,0.7363367,0.0664884
98,-2.1940494,-2.1717186,"('prestigious', 'insignificant')",-0.4130975,-0.3233846,-1.3035734,-1.2475516,0.0560218
13,2.153749,2.2522502,"('helpful', 'unhelpful')",-2.9682832,-3.1371207,-0.4072671,-0.4424353,-0.0351682
7,-2.094114,-2.2097785,"('outgoing', 'distant')",1.2203294,1.2222133,-0.4368923,-0.4937826,-0.0568903
109,2.0816782,1.997592,"('conservative', 'liberal')",0.95013714,0.72841185,1.5159076,1.3630019,-0.1529057
108,2.0816782,1.997592,"('conservative', 'liberal')",0.95013714,0.72841185,1.5159076,1.3630019,-0.1529057
14,2.055456,2.032015,"('supportive', 'unsupportive')",0.2834552,0.3673225,1.1694555,1.1996688,0.0302133
74,2.0330038,2.0259478,"('insightful', 'unperceptive')",-1.6700075,-1.6634356,0.1814982,0.1812561,-0.0002421
5,2.0135717,2.0099828,"('pleasant', 'repellent')",-0.25773704,-0.39348692,0.8779173,0.8082479,-0.0696694
100,1.929189,2.0731,"('influential', 'uninfluential')",-1.2244661,-0.9625629,0.3523614,0.5552686,0.2029072
49,1.8617727,1.8871903,"('responsible', 'irresponsible')",-1.171669,-1.421817,0.3450518,0.2326867,-0.1123651
73,1.8571308,1.7683983,"('brilliant', 'incompetent')",-1.335294,-1.5418103,0.2609184,0.113294,-0.1476244
92,-1.855566,-1.8993576,"('unwavering', 'wavering')",-0.4527764,-0.27781996,-1.1541712,-1.0885887,0.0655825
65,1.8437858,1.7931755,"('practical', 'impractical')",-1.4706507,-1.5633919,0.1865675,0.1148918,-0.0716757
64,1.8409711,1.8630202,"('clever', 'incompetent')",-1.1084907,-1.2355897,0.3662402,0.3137152,-0.052525
83,1.7964771,1.8951879,"('energetic', 'lethargic')",-0.8529256,-0.97785556,0.4717757,0.4586661,-0.0131096
85,1.759075,1.7594162,"('ambitious', 'unambitious')",-1.0209961,-0.9879769,0.3690395,0.3857197,0.0166802
107,1.7470496,1.9235617,"('conventional', 'modern')",0.15696877,0.04123503,0.9520092,0.9823984,0.0303892
42,-1.7223041,-1.7226841,"('amicable', 'hostile')",0.7175753,1.0475513,-0.5023644,-0.3375664,0.164798
66,1.7214811,1.6685861,"('imaginative', 'unimaginative')",1.4616767,1.5624113,1.591579,1.6154988,0.0239198
36,1.703884,1.8462064,"('tolerant', 'intolerant')",-1.0738385,-1.2501924,0.3150228,0.298007,-0.0170158
9,1.5804975,1.7095168,"('sensitive', 'insensitive')",-1.2989955,-1.4105285,0.140751,0.1494941,0.0087431
37,-1.5608685,-1.716945,"('good', 'evil')",1.363445,1.5317115,-0.0987117,-0.0926168,0.0060949
69,-1.5571254,-1.501483,"('wise', 'foolish')",0.46945584,0.6314868,-0.5438348,-0.4349981,0.1088367
104,-1.4332458,-1.2929074,"('conventional', 'unconventional')",-0.8936192,-0.5166974,-1.1634325,-0.9048024,0.2586301
60,1.4250467,1.5308592,"('educated', 'uneducated')",-0.63648766,-0.49107665,0.3942795,0.5198913,0.1256118
88,-1.3744044,-1.4860455,"('impulsive', 'meek')",1.1850227,1.1676286,-0.0946909,-0.1592084,-0.0645175
31,-1.3410927,-1.5088284,"('altruistic', 'egoistic')",-0.59159064,-0.43182242,-0.9663417,-0.9703254,-0.0039837
89,1.3340929,1.2604841,"('daring', 'anxious')",0.20823935,0.014363587,0.7711661,0.6374239,-0.1337422
39,-1.292443,-1.316508,"('right', 'wrong')",0.31192005,0.5375889,-0.4902615,-0.3894596,0.1008019
27,1.21908,1.5081677,"('sincere', 'insincere')",-5.9254746,-6.0872383,-2.3531973,-2.2895353,0.063662
77,-1.2067485,-1.2895461,"('active', 'inactive')",0.2532639,0.4833073,-0.4767423,-0.4031194,0.0736229
61,-1.1878749,-1.0849445,"('rational', 'irrational')",0.24241582,0.5365246,-0.4727296,-0.2742099,0.1985197
23,-1.1552949,-1.2111628,"('hospitable', 'inhospitable')",0.06715667,0.14862442,-0.5440691,-0.5312692,0.0127999
32,-1.1508191,-0.9177204,"('benevolent', 'hardhearted')",-2.5948312,-2.3815007,-1.8728251,-1.6496105,0.2232146
26,1.1111,1.1805476,"('trustworthy', 'untrustworthy')",-0.31007636,-0.3223795,0.4005118,0.4290841,0.0285723
47,1.1085575,1.1815064,"('forgiving', 'unforgiving')",-1.3958423,-1.2360581,-0.1436424,-0.0272759,0.1163665
18,1.0610521,1.1240531,"('social', 'asocial')",-1.1269926,-1.1898576,-0.0329702,-0.0329022,6.8e-05
93,1.0582006,1.1873664,"('dominating', 'dominated')",-0.0038221478,0.034066856,0.5271893,0.6107166,0.0835273
20,-1.0557846,-1.1950357,"('popular', 'unpopular')",-0.4259438,-0.17401364,-0.7408642,-0.6845247,0.0563395
96,1.0488514,1.0125244,"('powerful', 'powerless')",-0.17151986,-0.14666,0.4386657,0.4329322,-0.0057335
51,1.0224243,1.192733,"('competent', 'incompetent')",-0.86257654,-0.8091742,0.0799239,0.1917794,0.1118555
63,-1.022229,-1.1045637,"('capable', 'incapable')",-0.8338088,-0.82480395,-0.9280189,-0.9646838,-0.0366649
10,-0.9432715,-0.8276973,"('affectionate', 'unaffectionate')",-1.2556378,-1.1272457,-1.0994546,-0.9774715,0.1219831
105,-0.9336989,-0.7605536,"('conventional', 'modern')",-0.43854254,-0.4160932,-0.6861207,-0.5883234,0.0977973
68,-0.927559,-1.0490808,"('clever', 'inept')",-1.4786408,-1.5712712,-1.2031,-1.310176,-0.107076
17,0.90954244,1.0164835,"('social', 'antisocial')",-1.0290959,-0.7812415,-0.0597767,0.117621,0.1773977
90,0.8587627,0.63805044,"('motivated', 'unmotivated')",1.4671855,1.2563818,1.1629741,0.9472161,-0.215758
54,0.83779836,0.6184393,"('smart', 'stupid')",0.27648887,0.18502852,0.5571436,0.4017339,-0.1554097
110,-0.8158595,-0.66534394,"('narrow-minded', 'open-minded')",0.20299102,0.08157921,-0.3064342,-0.2918824,0.0145518
80,0.8077273,0.7726375,"('independent', 'dependent')",1.2020552,1.2808201,1.0048913,1.0267289,0.0218376
19,-0.79709363,-0.8606875,"('funny', 'boring')",-0.5628154,-0.45039928,-0.6799545,-0.6555434,0.0244111
38,0.7948005,0.9820353,"('kind', 'unkind')",-2.3360877,-2.1750834,-0.7706436,-0.5965241,0.1741195
29,0.74323565,0.6895516,"('honest', 'immoral')",-0.900992,-0.90648067,-0.0788782,-0.1084645,-0.0295863
58,0.7290495,0.92067134,"('able', 'clumsy')",-1.9668676,-1.9417025,-0.618909,-0.5105156,0.1083934
102,0.6927189,0.7043263,"('eminent', 'low')",-1.6142371,-1.3247689,-0.4607591,-0.3102213,0.1505378
11,-0.6870561,-0.59270966,"('caring', 'unaffectionate')",-1.7873064,-1.7140722,-1.2371813,-1.1533909,0.0837904
67,0.635593,0.6754563,"('discriminating', 'undiscriminating')",-1.0061553,-1.0121269,-0.1852811,-0.1683353,0.0169458
86,-0.61353654,-0.69208765,"('self-reliant', 'helpless')",2.936181,2.9082026,1.1613222,1.1080575,-0.0532647
46,0.58893955,0.65871125,"('generous', 'stingy')",1.4647251,1.7478253,1.0268323,1.2032683,0.176436
3,0.5807937,0.46903458,"('likable', 'unlikable')",1.2001915,1.255702,0.8904926,0.8623683,-0.0281243
79,0.57845926,0.4095675,"('determined', 'doubtful')",0.009210169,0.021496922,0.2938347,0.2155322,-0.0783025
91,0.56645924,0.48676074,"('resilient', 'nonresilient')",-0.13546547,-0.13475233,0.2154969,0.1760042,-0.0394927
6,-0.5476948,-0.65118974,"('liked', 'disliked')",4.609497,4.9865475,2.0309012,2.1676788,0.1367776
84,-0.5391066,-0.6292311,"('self-confident', 'diffident')",-0.6401853,-0.46615046,-0.589646,-0.5476907,0.0419553
72,0.5088752,0.695735,"('logical', 'illogical')",-0.87245774,-0.6190673,-0.1817913,0.0383338,0.2201251
50,-0.500823,-0.5857713,"('unprejudiced', 'prejudiced')",2.4974093,2.3457124,0.9982932,0.8799706,-0.1183226
48,0.4903611,0.33705232,"('reliable', 'unreliable')",1.7940993,1.8037168,1.1422303,1.0703845,-0.0718458
