,Sherwin-Williams_male,Sherwin-Williams_female,tuple,average_male,average_female,female-male
21,-4.1015396,-3.9349725,"('incorrupt', 'corrupt')",-4.101539611816406,-3.9349725246429443,0.16656708717346191
18,-3.0392783,-2.8090942,"('good', 'evil')",-3.039278268814087,-2.809094190597534,0.23018407821655273
0,3.006806,2.7969964,"('sociable', 'unsociable')",3.006805896759033,2.7969963550567627,-0.2098095417022705
11,2.739786,2.4311264,"('moral', 'immoral')",2.73978590965271,2.431126356124878,-0.30865955352783203
31,2.6699343,2.3431673,"('intelligent', 'unintelligent')",2.6699342727661133,2.343167304992676,-0.3267669677734375
22,-2.6319983,-2.392811,"('amicable', 'hostile')",-2.631998300552368,-2.3928110599517822,0.23918724060058594
49,2.5029287,2.274595,"('motivated', 'unmotivated')",2.5029287338256836,2.274595022201538,-0.2283337116241455
20,-2.4332561,-2.50146,"('right', 'wrong')",-2.433256149291992,-2.501460075378418,-0.06820392608642578
57,2.4234352,2.2337358,"('conservative', 'liberal')",2.4234352111816406,2.2337357997894287,-0.18969941139221191
27,2.319687,2.0304656,"('responsible', 'irresponsible')",2.3196868896484375,2.030465602874756,-0.28922128677368164
7,2.2536645,2.15449,"('polite', 'impolite')",2.253664493560791,2.1544899940490723,-0.09917449951171875
23,2.21158,1.9888811,"('truthful', 'untruthful')",2.2115800380706787,1.9888811111450195,-0.22269892692565918
37,2.158443,1.9991515,"('practical', 'impractical')",2.158442974090576,1.9991514682769775,-0.15929150581359863
17,2.1115303,1.885019,"('tolerant', 'intolerant')",2.111530303955078,1.8850189447402954,-0.22651135921478271
53,2.0783918,1.8620379,"('influential', 'uninfluential')",2.0783917903900146,1.8620378971099854,-0.2163538932800293
39,-2.0744085,-1.9949882,"('wise', 'foolish')",-2.074408531188965,-1.994988203048706,0.07942032814025879
13,2.0558188,1.6768967,"('sincere', 'insincere')",2.055818796157837,1.6768966913223267,-0.37892210483551025
33,2.0304625,1.811693,"('educated', 'uneducated')",2.0304625034332275,1.8116929531097412,-0.21876955032348633
15,2.015537,1.9347081,"('loyal', 'disloyal')",2.0155370235443115,1.9347081184387207,-0.08082890510559082
5,2.0010157,1.8349526,"('helpful', 'unhelpful')",2.0010156631469727,1.8349525928497314,-0.1660630702972412
34,-1.9957803,-1.7726742,"('rational', 'irrational')",-1.995780348777771,-1.7726742029190063,0.22310614585876465
30,1.9861702,1.8141174,"('smart', 'stupid')",1.9861701726913452,1.814117431640625,-0.17205274105072021
46,1.9515171,1.7468444,"('energetic', 'lethargic')",1.951517105102539,1.7468444108963013,-0.2046726942062378
42,1.9187987,1.8622665,"('secure', 'insecure')",1.9187986850738525,1.8622665405273438,-0.05653214454650879
