,Halliburton_male,Halliburton_female,tuple,average_male,average_female,female-male
57,2.6495545,2.3695364,"('conservative', 'liberal')",2.649554491043091,2.3695363998413086,-0.2800180912017822
21,-2.5994189,-2.5087364,"('incorrupt', 'corrupt')",-2.599418878555298,-2.5087363719940186,0.0906825065612793
11,2.3914967,1.992394,"('moral', 'immoral')",2.3914966583251953,1.992393970489502,-0.39910268783569336
53,1.9123048,2.019884,"('influential', 'uninfluential')",1.9123047590255737,2.0198841094970703,0.10757935047149658
0,1.8424596,1.9912227,"('sociable', 'unsociable')",1.8424595594406128,1.9912227392196655,0.14876317977905273
13,1.7819287,1.7432508,"('sincere', 'insincere')",1.7819286584854126,1.743250846862793,-0.03867781162261963
49,1.7561178,1.3116212,"('motivated', 'unmotivated')",1.756117820739746,1.3116211891174316,-0.44449663162231445
18,-1.7029626,-1.7275172,"('good', 'evil')",-1.7029626369476318,-1.7275172472000122,-0.02455461025238037
31,1.6798602,1.6205686,"('intelligent', 'unintelligent')",1.679860234260559,1.6205686330795288,-0.05929160118103027
27,1.5953975,1.4738374,"('responsible', 'irresponsible')",1.5953974723815918,1.4738373756408691,-0.12156009674072266
22,-1.4528712,-1.3481334,"('amicable', 'hostile')",-1.4528712034225464,-1.3481334447860718,0.10473775863647461
23,1.4267519,1.3988562,"('truthful', 'untruthful')",1.4267518520355225,1.3988561630249023,-0.027895689010620117
39,-1.4209427,-1.3393143,"('wise', 'foolish')",-1.4209426641464233,-1.339314341545105,0.08162832260131836
46,1.3832312,1.4398272,"('energetic', 'lethargic')",1.3832311630249023,1.4398272037506104,0.05659604072570801
7,1.355204,1.4869868,"('polite', 'impolite')",1.3552039861679077,1.486986756324768,0.13178277015686035
33,1.2409718,1.0955644,"('educated', 'uneducated')",1.2409718036651611,1.095564365386963,-0.14540743827819824
42,1.2114286,1.2553577,"('secure', 'insecure')",1.2114286422729492,1.2553577423095703,0.043929100036621094
47,1.1973163,1.2555177,"('ambitious', 'unambitious')",1.197316288948059,1.2555177211761475,0.05820143222808838
37,1.184513,0.9467157,"('practical', 'impractical')",1.184512972831726,0.9467157125473022,-0.23779726028442383
5,1.162387,1.3262984,"('helpful', 'unhelpful')",1.1623870134353638,1.3262983560562134,0.1639113426208496
17,1.1038213,1.0135498,"('tolerant', 'intolerant')",1.1038212776184082,1.0135498046875,-0.0902714729309082
