,IHS_male,IHS_female,tuple,Markit_male,Markit_female,average_male,average_female,female-male
50,-3.9280224,-4.14666,"('rich', 'poor')",-2.0721216,-1.7495418,-3.0000720024108887,-2.9481008052825928,0.0519711971282959
30,-2.4645474,-2.5803447,"('smart', 'stupid')",-1.8831232,-1.7126718,-2.173835277557373,-2.14650821685791,0.02732706069946289
3,2.4063597,2.4187367,"('liked', 'disliked')",1.8682759,1.7652149,2.137317657470703,2.091975688934326,-0.04534196853637695
26,1.7316421,1.4648528,"('reliable', 'unreliable')",0.010070413,0.024369985,0.8708562850952148,0.744611382484436,-0.1262449026107788
28,1.4983507,1.4366529,"('unprejudiced', 'prejudiced')",0.78490716,0.50326425,1.1416289806365967,0.9699585437774658,-0.17167043685913086
1,-1.46895,-1.2884266,"('friendly', 'unfriendly')",0.021397412,0.2872173,-0.7237763404846191,-0.5006046891212463,0.2231716513633728
33,-1.354464,-1.3325739,"('educated', 'uneducated')",-0.45189452,-0.122605145,-0.9031792879104614,-0.72758948802948,0.17558979988098145
9,1.2090385,1.0783706,"('nice', 'nasty')",0.65065485,0.6029342,0.9298466444015503,0.840652346611023,-0.08919429779052734
41,1.1257845,0.851683,"('confident', 'shy')",1.1948544,0.6797539,1.160319447517395,0.7657184600830078,-0.3946009874343872
42,1.0686568,0.8472151,"('secure', 'insecure')",-0.6330048,-0.32805127,0.2178260087966919,0.25958192348480225,0.04175591468811035
7,1.04807,0.8679876,"('polite', 'impolite')",0.8218901,1.1208163,0.934980034828186,0.9944019317626953,0.05942189693450928
36,-0.8228427,-0.7626821,"('capable', 'incapable')",-0.63966,-0.5610588,-0.7312513589859009,-0.6618704795837402,0.06938087940216064
6,0.8157121,0.6656827,"('supportive', 'unsupportive')",0.5035176,0.3813318,0.6596148610115051,0.5235072374343872,-0.13610762357711792
12,0.80807483,0.6584548,"('trustworthy', 'untrustworthy')",-0.61596197,-0.5204671,0.09605643153190613,0.06899383664131165,-0.027062594890594482
49,0.78753626,0.51236033,"('motivated', 'unmotivated')",0.7099104,0.51788133,0.7487233281135559,0.5151208639144897,-0.23360246419906616
54,-0.76447403,-0.9189087,"('successful', 'unsuccessful')",-0.5933702,-0.57272184,-0.6789221167564392,-0.7458152770996094,-0.06689316034317017
19,-0.7610893,-0.60269105,"('kind', 'unkind')",-0.8617687,-0.41519108,-0.8114290237426758,-0.5089410543441772,0.30248796939849854
8,-0.7379769,-0.7287854,"('popular', 'unpopular')",0.53617215,0.6525705,-0.10090237855911255,-0.038107454776763916,0.06279492378234863
55,-0.73733515,-0.7089308,"('conventional', 'unconventional')",-0.36940968,-0.20823988,-0.5533723831176758,-0.45858532190322876,0.09478706121444702
15,-0.70146835,-0.5575543,"('loyal', 'disloyal')",-0.5901081,-0.28265125,-0.6457881927490234,-0.4201027750968933,0.22568541765213013
48,-0.6636592,-0.55305445,"('dedicated', 'undedicated')",-0.8939945,-0.81354856,-0.7788268327713013,-0.6833015084266663,0.09552532434463501
13,0.66328114,0.5781553,"('sincere', 'insincere')",-0.94525236,-0.5815009,-0.1409856081008911,-0.0016728043556213379,0.13931280374526978
16,0.6527069,0.5467102,"('fair', 'unfair')",0.63200885,0.7796336,0.6423578858375549,0.6631718873977661,0.02081400156021118
39,-0.64326805,-0.5995143,"('wise', 'foolish')",-0.39490426,-0.38967544,-0.5190861225128174,-0.49459487199783325,0.02449125051498413
44,0.5822966,0.23088796,"('active', 'inactive')",1.7144376,1.2071109,1.148367166519165,0.718999445438385,-0.42936772108078003
57,0.57466507,0.499372,"('conservative', 'liberal')",-0.16646186,-0.07412018,0.20410160720348358,0.2126259207725525,0.008524313569068909
52,-0.561875,-0.5033483,"('superior', 'inferior')",0.038570017,0.09896518,-0.26165246963500977,-0.202191561460495,0.05946090817451477
35,-0.53449917,-0.4434077,"('creative', 'uncreative')",0.4239177,0.45024878,-0.05529072880744934,0.003420531749725342,0.05871126055717468
53,-0.5324089,-0.60117096,"('influential', 'uninfluential')",0.07587311,0.26375145,-0.22826789319515228,-0.16870975494384766,0.059558138251304626
14,-0.50821745,-0.5105221,"('honest', 'dishonest')",-0.24809766,0.061178073,-0.3781575560569763,-0.22467201948165894,0.15348553657531738
24,0.49959055,0.5346948,"('generous', 'stingy')",0.8586933,0.9046151,0.6791419386863708,0.71965491771698,0.04051297903060913
10,-0.46586713,-0.47818175,"('hospitable', 'inhospitable')",0.9416351,0.858904,0.23788397014141083,0.1903611272573471,-0.04752284288406372
23,0.4517671,0.50590074,"('truthful', 'untruthful')",0.5212108,0.5000106,0.486488938331604,0.5029556751251221,0.016466736793518066
20,-0.42993373,-0.37548402,"('right', 'wrong')",-0.30809724,-0.14586836,-0.36901548504829407,-0.26067620515823364,0.10833927989006042
56,-0.4217844,-0.26695645,"('conventional', 'unconventional')",0.6291909,0.53282326,0.10370326042175293,0.13293340802192688,0.02923014760017395
27,-0.41349977,-0.5707929,"('responsible', 'irresponsible')",-0.5002319,-0.3908553,-0.4568658471107483,-0.4808241128921509,-0.023958265781402588
43,-0.3649405,-0.40530086,"('active', 'inactive')",0.2286863,0.17993076,-0.0681270956993103,-0.11268504709005356,-0.044557951390743256
4,-0.3314717,-0.41515493,"('sensitive', 'insensitive')",-0.38139826,-0.24759266,-0.35643500089645386,-0.33137381076812744,0.025061190128326416
32,-0.32677543,-0.47112155,"('able', 'unable')",-0.17961389,-0.45301947,-0.253194659948349,-0.4620705246925354,-0.2088758647441864
29,0.30417576,-0.019979775,"('competent', 'incompetent')",-0.28079268,-0.25350964,0.011691540479660034,-0.13674470782279968,-0.14843624830245972
34,-0.2912377,-0.039563403,"('rational', 'irrational')",0.4192552,0.44448644,0.06400874257087708,0.20246151089668274,0.13845276832580566
40,-0.28105116,-0.34232607,"('logical', 'illogical')",0.18233338,0.2441841,-0.04935888946056366,-0.04907098412513733,0.00028790533542633057
21,-0.27302235,-0.08287835,"('incorrupt', 'corrupt')",1.5954156,1.3540988,0.6611965894699097,0.6356102228164673,-0.025586366653442383
46,-0.27117154,-0.47232345,"('energetic', 'lethargic')",-0.6479334,-0.53016233,-0.45955246686935425,-0.5012428760528564,-0.0416904091835022
