,Nasdaq_male,Nasdaq_female,tuple,average_male,average_female,female-male
99,-3.8664896,-4.0288177,"('prestigious', 'insignificant')",-3.8664896,-4.0288177,-0.1623281
42,-3.7498708,-3.6318517,"('amicable', 'hostile')",-3.7498708,-3.6318517,0.1180191
71,3.1691713,3.1639402,"('efficient', 'inefficient')",3.1691713,3.1639402,-0.0052311
8,-3.1150246,-3.2283592,"('open', 'distant')",-3.1150246,-3.2283592,-0.1133346
16,3.0395894,3.1096363,"('social', 'antisocial')",3.0395894,3.1096363,0.0700469
107,2.9777942,3.0214424,"('conventional', 'modern')",2.9777942,3.0214424,0.0436482
94,2.8694768,3.0296583,"('aggressive', 'submissive')",2.8694768,3.0296583,0.1601815
81,-2.8674917,-2.9325283,"('industrious', 'lazy')",-2.8674917,-2.9325283,-0.0650366
60,2.7767172,2.8728473,"('educated', 'uneducated')",2.7767172,2.8728473,0.0961301
1,-2.6845922,-2.573782,"('friendly', 'unfriendly')",-2.6845922,-2.573782,0.1108102
109,2.521406,2.6572514,"('conservative', 'liberal')",2.5214059,2.6572514,0.1358455
108,2.521406,2.6572514,"('conservative', 'liberal')",2.5214059,2.6572514,0.1358455
82,-2.5059524,-2.582588,"('industrious', 'meek')",-2.5059524,-2.582588,-0.0766356
58,2.474165,2.5381172,"('able', 'clumsy')",2.474165,2.5381172,0.0639522
41,-2.3805695,-2.463067,"('incorrupt', 'corrupt')",-2.3805695,-2.4630671,-0.0824976
12,2.348795,2.4885042,"('sympathetic', 'unsympathetic')",2.3487949,2.4885042,0.1397093
75,2.2896354,2.1402547,"('confident', 'shy')",2.2896354,2.1402547,-0.1493807
2,2.2609506,2.3463902,"('friendly', 'unfriendly')",2.2609506,2.3463902,0.0854396
65,2.2365417,2.2638652,"('practical', 'impractical')",2.2365417,2.2638652,0.0273235
15,2.1972458,2.1768274,"('polite', 'impolite')",2.1972458,2.1768274,-0.0204184
25,2.1672604,2.2598398,"('moral', 'immoral')",2.1672604,2.2598398,0.0925794
83,2.1426432,2.1906116,"('energetic', 'lethargic')",2.1426432,2.1906116,0.0479684
76,2.058218,2.1471834,"('secure', 'insecure')",2.058218,2.1471834,0.0889654
32,-1.9839046,-1.8652929,"('benevolent', 'hardhearted')",-1.9839046,-1.8652929,0.1186117
31,-1.9499372,-2.0147705,"('altruistic', 'egoistic')",-1.9499372,-2.0147705,-0.0648333
98,-1.9353456,-2.0479589,"('prestigious', 'insignificant')",-1.9353456,-2.0479589,-0.1126133
7,-1.8954544,-2.0429866,"('outgoing', 'distant')",-1.8954544,-2.0429866,-0.1475322
64,1.8622708,1.969511,"('clever', 'incompetent')",1.8622708,1.969511,0.1072402
49,1.7726147,1.7388957,"('responsible', 'irresponsible')",1.7726147,1.7388957,-0.033719
77,-1.7538692,-1.8352159,"('active', 'inactive')",-1.7538692,-1.8352159,-0.0813467
39,-1.7462931,-1.7146232,"('right', 'wrong')",-1.7462931,-1.7146232,0.0316699
104,-1.7153538,-1.5902227,"('conventional', 'unconventional')",-1.7153538,-1.5902227,0.1251311
85,1.6985229,1.6589905,"('ambitious', 'unambitious')",1.6985229,1.6589905,-0.0395324
28,1.6843659,1.7717624,"('honest', 'dishonest')",1.6843659,1.7717624,0.0873965
4,-1.6423787,-1.720614,"('likable', 'unlikable')",-1.6423787,-1.720614,-0.0782353
37,-1.6360027,-1.6594424,"('good', 'evil')",-1.6360027,-1.6594424,-0.0234397
51,1.6302533,1.8295528,"('competent', 'incompetent')",1.6302533,1.8295528,0.1992995
84,-1.6174078,-1.7490176,"('self-confident', 'diffident')",-1.6174078,-1.7490176,-0.1316098
5,1.601608,1.596698,"('pleasant', 'repellent')",1.601608,1.596698,-0.00491
19,-1.5868447,-1.5301145,"('funny', 'boring')",-1.5868447,-1.5301145,0.0567302
36,1.5646946,1.7191831,"('tolerant', 'intolerant')",1.5646946,1.7191831,0.1544885
66,1.5618119,1.6969962,"('imaginative', 'unimaginative')",1.5618119,1.6969962,0.1351843
61,-1.51355,-1.404071,"('rational', 'irrational')",-1.51355,-1.404071,0.109479
26,1.5132279,1.6427197,"('trustworthy', 'untrustworthy')",1.5132279,1.6427197,0.1294918
55,1.5067737,1.629319,"('intelligent', 'unintelligent')",1.5067737,1.629319,0.1225453
63,-1.4894048,-1.6283811,"('capable', 'incapable')",-1.4894048,-1.6283811,-0.1389763
13,1.4294317,1.4967496,"('helpful', 'unhelpful')",1.4294317,1.4967496,0.0673179
93,1.415407,1.3952698,"('dominating', 'dominated')",1.4154069,1.3952698,-0.0201371
80,1.3993043,1.4168693,"('independent', 'dependent')",1.3993043,1.4168693,0.017565
43,1.3765833,1.4649296,"('genuine', 'fake')",1.3765833,1.4649296,0.0883463
11,-1.3670996,-1.310472,"('caring', 'unaffectionate')",-1.3670996,-1.310472,0.0566276
89,1.3555498,1.2150719,"('daring', 'anxious')",1.3555498,1.2150719,-0.1404779
70,1.3165052,1.3908906,"('wise', 'unwise')",1.3165052,1.3908906,0.0743854
103,1.3074933,1.3837411,"('traditional', 'modern')",1.3074933,1.3837411,0.0762478
40,-1.3050894,-1.3208184,"('honorable', 'mean')",-1.3050894,-1.3208184,-0.015729
73,1.2988982,1.2707654,"('brilliant', 'incompetent')",1.2988982,1.2707654,-0.0281328
34,1.2614083,1.4164362,"('loyal', 'disloyal')",1.2614083,1.4164362,0.1550279
79,1.255949,1.1845968,"('determined', 'doubtful')",1.255949,1.1845968,-0.0713522
10,-1.2514428,-1.1214106,"('affectionate', 'unaffectionate')",-1.2514428,-1.1214106,0.1300322
69,-1.2047836,-1.2671976,"('wise', 'foolish')",-1.2047836,-1.2671976,-0.062414
90,1.1929915,1.2007455,"('motivated', 'unmotivated')",1.1929915,1.2007455,0.007754
62,-1.1653209,-1.2259355,"('creative', 'uncreative')",-1.1653209,-1.2259355,-0.0606146
17,1.1561415,1.3945163,"('social', 'antisocial')",1.1561415,1.3945163,0.2383748
20,-1.1416663,-1.1750098,"('popular', 'unpopular')",-1.1416663,-1.1750098,-0.0333435
0,1.1035397,1.3070179,"('sociable', 'unsociable')",1.1035397,1.3070179,0.2034782
30,0.95673144,1.078477,"('honest', 'dishonest')",0.9567314,1.078477,0.1217456
57,0.9519665,0.78894556,"('able', 'unable')",0.9519665,0.7889456,-0.1630209
92,-0.8913497,-0.9030851,"('unwavering', 'wavering')",-0.8913497,-0.9030851,-0.0117354
48,0.8858714,0.6948714,"('reliable', 'unreliable')",0.8858714,0.6948714,-0.191
