,ExxonMobil_male,ExxonMobil_female,tuple,average_male,average_female,female-male
46,2.2689807,2.2631655,"('energetic', 'lethargic')",2.2689807415008545,2.2631654739379883,-0.005815267562866211
0,2.1206594,2.225993,"('sociable', 'unsociable')",2.120659351348877,2.2259929180145264,0.10533356666564941
21,-1.9697201,-1.9868351,"('incorrupt', 'corrupt')",-1.9697201251983643,-1.9868351221084595,-0.017114996910095215
23,1.9284837,1.908664,"('truthful', 'untruthful')",1.9284837245941162,1.9086639881134033,-0.01981973648071289
22,-1.8583828,-1.7355032,"('amicable', 'hostile')",-1.8583828210830688,-1.7355031967163086,0.12287962436676025
29,1.7933912,1.818262,"('competent', 'incompetent')",1.793391227722168,1.818261981010437,0.024870753288269043
27,1.7843014,1.7920578,"('responsible', 'irresponsible')",1.7843014001846313,1.792057752609253,0.007756352424621582
6,1.6743212,1.7958024,"('supportive', 'unsupportive')",1.674321174621582,1.795802354812622,0.12148118019104004
3,1.5929463,1.5966352,"('liked', 'disliked')",1.5929462909698486,1.5966352224349976,0.0036889314651489258
11,1.568161,1.5489517,"('moral', 'immoral')",1.5681610107421875,1.5489517450332642,-0.01920926570892334
17,1.5502552,1.5780612,"('tolerant', 'intolerant')",1.5502551794052124,1.5780612230300903,0.02780604362487793
5,1.5389547,1.5932252,"('helpful', 'unhelpful')",1.538954734802246,1.5932252407073975,0.05427050590515137
57,1.4685183,1.3610195,"('conservative', 'liberal')",1.4685182571411133,1.361019492149353,-0.10749876499176025
49,1.4609934,1.4336531,"('motivated', 'unmotivated')",1.4609934091567993,1.4336531162261963,-0.027340292930603027
53,1.4125587,1.5264486,"('influential', 'uninfluential')",1.412558674812317,1.5264486074447632,0.11388993263244629
13,1.4097767,1.5320395,"('sincere', 'insincere')",1.4097766876220703,1.5320395231246948,0.12226283550262451
42,1.4013058,1.4138184,"('secure', 'insecure')",1.4013057947158813,1.413818359375,0.012512564659118652
39,-1.3938844,-1.3255951,"('wise', 'foolish')",-1.3938844203948975,-1.3255951404571533,0.06828927993774414
20,-1.3404438,-1.2147977,"('right', 'wrong')",-1.3404438495635986,-1.2147977352142334,0.12564611434936523
33,1.3281488,1.3523078,"('educated', 'uneducated')",1.3281488418579102,1.3523077964782715,0.024158954620361328
52,-1.1786472,-1.1524531,"('superior', 'inferior')",-1.1786471605300903,-1.152453064918518,0.026194095611572266
1,-1.1757183,-1.0000813,"('friendly', 'unfriendly')",-1.1757183074951172,-1.0000813007354736,0.17563700675964355
43,-1.1702933,-1.0601807,"('active', 'inactive')",-1.1702933311462402,-1.0601806640625,0.11011266708374023
4,1.1549037,1.1828899,"('sensitive', 'insensitive')",1.1549036502838135,1.1828899383544922,0.02798628807067871
26,1.1509604,1.0661962,"('reliable', 'unreliable')",1.1509604454040527,1.0661962032318115,-0.08476424217224121
7,1.1435839,1.1966013,"('polite', 'impolite')",1.14358389377594,1.1966012716293335,0.053017377853393555
2,1.0509602,1.1909666,"('likable', 'unlikable')",1.0509601831436157,1.1909666061401367,0.140006422996521
24,1.0387043,1.1888256,"('generous', 'stingy')",1.0387042760849,1.1888256072998047,0.15012133121490479
12,1.0313833,1.0773336,"('trustworthy', 'untrustworthy')",1.0313832759857178,1.0773335695266724,0.04595029354095459
18,-1.0025678,-0.97141606,"('good', 'evil')",-1.0025677680969238,-0.9714160561561584,0.03115171194076538
31,0.9749488,1.0421919,"('intelligent', 'unintelligent')",0.9749488234519958,1.0421918630599976,0.06724303960800171
