,Value 1,0,1,Value 2,female-male,tuple
3,4.558756,liked,disliked,4.701112,0.14235592,"('liked', 'disliked')"
50,-3.871977,rich,poor,-3.739678,0.13229918,"('rich', 'poor')"
28,3.0598545,unprejudiced,prejudiced,3.0700102,0.010155678,"('unprejudiced', 'prejudiced')"
30,-2.755378,smart,stupid,-2.220882,0.53449607,"('smart', 'stupid')"
5,-2.185423,helpful,unhelpful,-2.3277297,-0.1423068,"('helpful', 'unhelpful')"
40,-2.1029446,logical,illogical,-2.0996752,0.003269434,"('logical', 'illogical')"
26,2.1010365,reliable,unreliable,2.334628,0.23359156,"('reliable', 'unreliable')"
14,-2.0040593,honest,dishonest,-1.599403,0.4046563,"('honest', 'dishonest')"
44,1.8380411,active,inactive,1.5247977,-0.3132434,"('active', 'inactive')"
52,-1.7453084,superior,inferior,-1.7685766,-0.023268223,"('superior', 'inferior')"
15,-1.699725,loyal,disloyal,-1.3719003,0.3278247,"('loyal', 'disloyal')"
1,-1.5271168,friendly,unfriendly,-1.7187957,-0.19167888,"('friendly', 'unfriendly')"
24,1.4756372,generous,stingy,2.0852885,0.6096513,"('generous', 'stingy')"
38,-1.2227505,discriminating,undiscriminating,-1.1812203,0.04153025,"('discriminating', 'undiscriminating')"
4,-1.1941688,sensitive,insensitive,-0.9854244,0.2087444,"('sensitive', 'insensitive')"
19,-1.193434,kind,unkind,-1.1187727,0.074661255,"('kind', 'unkind')"
41,1.165676,confident,shy,0.79396415,-0.37171185,"('confident', 'shy')"
0,-1.1290643,sociable,unsociable,-0.68418646,0.44487786,"('sociable', 'unsociable')"
48,-1.1071212,dedicated,undedicated,-1.0284926,0.07862866,"('dedicated', 'undedicated')"
25,-1.0702295,forgiving,unforgiving,-0.98778856,0.08244097,"('forgiving', 'unforgiving')"
55,-1.0182308,conventional,unconventional,-1.1625967,-0.1443659,"('conventional', 'unconventional')"
49,0.9486686,motivated,unmotivated,0.4782223,-0.4704463,"('motivated', 'unmotivated')"
20,-0.8984362,right,wrong,-0.93927664,-0.040840447,"('right', 'wrong')"
27,-0.89109445,responsible,irresponsible,-0.64131963,0.24977481,"('responsible', 'irresponsible')"
6,0.8767128,supportive,unsupportive,0.6352558,-0.24145699,"('supportive', 'unsupportive')"
57,0.8332827,conservative,liberal,1.0336055,0.20032275,"('conservative', 'liberal')"
45,0.8093096,independent,dependent,0.7688738,-0.04043579,"('independent', 'dependent')"
16,0.7669453,fair,unfair,0.61063576,-0.15630955,"('fair', 'unfair')"
32,0.750512,able,unable,0.6367277,-0.11378431,"('able', 'unable')"
17,-0.740981,tolerant,intolerant,-0.32888865,0.41209233,"('tolerant', 'intolerant')"
36,-0.72521794,capable,incapable,-1.0523791,-0.3271612,"('capable', 'incapable')"
11,0.7184717,moral,immoral,0.6869091,-0.031562626,"('moral', 'immoral')"
21,0.6957564,incorrupt,corrupt,0.5104501,-0.18530625,"('incorrupt', 'corrupt')"
8,0.67366374,popular,unpopular,0.2401711,-0.43349263,"('popular', 'unpopular')"
37,-0.66030264,practical,impractical,-0.53722906,0.12307358,"('practical', 'impractical')"
9,0.6538565,nice,nasty,0.5929277,-0.06092882,"('nice', 'nasty')"
18,0.6003806,good,evil,0.17710987,-0.42327073,"('good', 'evil')"
33,-0.5991996,educated,uneducated,-0.39504242,0.20415717,"('educated', 'uneducated')"
23,0.5979705,truthful,untruthful,0.85476065,0.25679016,"('truthful', 'untruthful')"
22,0.57690495,amicable,hostile,0.2683565,-0.30854845,"('amicable', 'hostile')"
53,-0.4916744,influential,uninfluential,-0.114242375,0.37743202,"('influential', 'uninfluential')"
42,0.44118178,secure,insecure,0.7337326,0.2925508,"('secure', 'insecure')"
35,-0.4018932,creative,uncreative,-0.30709684,0.09479636,"('creative', 'uncreative')"
12,0.3926723,trustworthy,untrustworthy,1.1187727,0.72610044,"('trustworthy', 'untrustworthy')"
10,0.3560246,hospitable,inhospitable,-0.19727409,-0.5532987,"('hospitable', 'inhospitable')"
34,0.34068412,rational,irrational,-0.09972583,-0.44040996,"('rational', 'irrational')"
56,0.30833986,conventional,unconventional,0.13071445,-0.17762542,"('conventional', 'unconventional')"
39,0.30236202,wise,foolish,-0.06984419,-0.3722062,"('wise', 'foolish')"
29,-0.2584107,competent,incompetent,0.04385498,0.30226567,"('competent', 'incompetent')"
47,-0.23561904,ambitious,unambitious,0.052957892,0.28857693,"('ambitious', 'unambitious')"
54,-0.22646797,successful,unsuccessful,-0.38626963,-0.15980166,"('successful', 'unsuccessful')"
13,0.18125382,sincere,insincere,0.5419669,0.3607131,"('sincere', 'insincere')"
7,-0.123718366,polite,impolite,0.5225074,0.6462258,"('polite', 'impolite')"
43,-0.11422491,active,inactive,-0.009787947,0.104436964,"('active', 'inactive')"
31,-0.055616558,intelligent,unintelligent,-0.055752933,-0.00013637543,"('intelligent', 'unintelligent')"
51,0.04137653,powerful,powerless,0.15350725,0.11213072,"('powerful', 'powerless')"
46,0.034433976,energetic,lethargic,0.5820619,0.5476279,"('energetic', 'lethargic')"
2,0.02116102,likable,unlikable,0.35766244,0.33650142,"('likable', 'unlikable')"
