,Bio-Techne_male,Bio-Techne_female,tuple,average_male,average_female,female-male
107,2.2439473,2.2128525,"('conventional', 'modern')",2.2439473,2.2128525,-0.0310948
86,-2.0152931,-1.8815556,"('self-reliant', 'helpless')",-2.0152931,-1.8815556,0.1337375
12,1.9678229,2.0091338,"('sympathetic', 'unsympathetic')",1.9678229,2.0091338,0.0413109
99,-1.9204288,-1.669301,"('prestigious', 'insignificant')",-1.9204288,-1.669301,0.2511278
103,1.791015,1.9405711,"('traditional', 'modern')",1.791015,1.9405711,0.1495561
5,1.6947328,1.6131984,"('pleasant', 'repellent')",1.6947328,1.6131984,-0.0815344
61,-1.682658,-1.362566,"('rational', 'irrational')",-1.682658,-1.362566,0.320092
84,-1.5606716,-1.6048696,"('self-confident', 'diffident')",-1.5606716,-1.6048696,-0.044198
82,-1.5548648,-1.5654081,"('industrious', 'meek')",-1.5548648,-1.5654081,-0.0105433
52,1.5444014,1.4868455,"('competitive', 'uncompetitive')",1.5444014,1.4868455,-0.0575559
69,-1.5015576,-1.337717,"('wise', 'foolish')",-1.5015576,-1.3377171,0.1638405
89,1.4537152,1.3691773,"('daring', 'anxious')",1.4537152,1.3691773,-0.0845379
94,1.3790208,1.2780734,"('aggressive', 'submissive')",1.3790208,1.2780734,-0.1009474
2,1.3685831,1.267435,"('friendly', 'unfriendly')",1.3685831,1.267435,-0.1011481
81,-1.350301,-1.3920404,"('industrious', 'lazy')",-1.350301,-1.3920404,-0.0417394
32,-1.3150196,-1.1433969,"('benevolent', 'hardhearted')",-1.3150196,-1.1433969,0.1716227
83,1.2977403,1.2639068,"('energetic', 'lethargic')",1.2977403,1.2639068,-0.0338335
95,1.266812,1.3687234,"('rich', 'poor')",1.266812,1.3687234,0.1019114
109,1.229106,1.1209369,"('conservative', 'liberal')",1.2291059,1.1209369,-0.108169
108,1.229106,1.1209369,"('conservative', 'liberal')",1.2291059,1.1209369,-0.108169
31,-1.2250223,-1.2507484,"('altruistic', 'egoistic')",-1.2250223,-1.2507484,-0.0257261
4,-1.2233231,-1.1847274,"('likable', 'unlikable')",-1.2233231,-1.1847274,0.0385957
51,1.2224294,1.1959999,"('competent', 'incompetent')",1.2224294,1.1959999,-0.0264295
15,1.1966673,1.1058313,"('polite', 'impolite')",1.1966673,1.1058313,-0.090836
9,1.1872678,1.1037431,"('sensitive', 'insensitive')",1.1872678,1.1037431,-0.0835247
104,-1.1865913,-0.9163829,"('conventional', 'unconventional')",-1.1865913,-0.9163829,0.2702084
59,-1.149913,-0.9555506,"('skillful', 'clumsy')",-1.149913,-0.9555506,0.1943624
76,1.1043066,1.1116335,"('secure', 'insecure')",1.1043066,1.1116335,0.0073269
55,-1.1014969,-1.0738178,"('intelligent', 'unintelligent')",-1.1014969,-1.0738178,0.0276791
19,-1.030561,-0.96899873,"('funny', 'boring')",-1.030561,-0.9689987,0.0615623
98,-1.0156887,-0.8141907,"('prestigious', 'insignificant')",-1.0156887,-0.8141907,0.201498
60,0.9295163,0.9047955,"('educated', 'uneducated')",0.9295163,0.9047955,-0.0247208
29,0.9273793,0.91058576,"('honest', 'immoral')",0.9273793,0.9105858,-0.0167935
30,0.9271112,0.9999886,"('honest', 'dishonest')",0.9271112,0.9999886,0.0728774
16,0.8927065,0.74542665,"('social', 'antisocial')",0.8927065,0.7454267,-0.1472798
74,0.86192966,0.7634776,"('insightful', 'unperceptive')",0.8619297,0.7634776,-0.0984521
53,-0.85994816,-0.8496336,"('smart', 'stupid')",-0.8599482,-0.8496336,0.0103146
62,0.7924219,0.8669667,"('creative', 'uncreative')",0.7924219,0.8669667,0.0745448
66,0.78436947,0.794672,"('imaginative', 'unimaginative')",0.7843695,0.794672,0.0103025
71,0.78203464,0.54287964,"('efficient', 'inefficient')",0.7820346,0.5428796,-0.239155
90,0.7706008,0.6737735,"('motivated', 'unmotivated')",0.7706008,0.6737735,-0.0968273
27,0.75078595,0.8295332,"('sincere', 'insincere')",0.7507859,0.8295332,0.0787473
106,-0.72738665,-0.6981938,"('conventional', 'unconventional')",-0.7273867,-0.6981938,0.0291929
39,-0.7182885,-0.58017075,"('right', 'wrong')",-0.7182885,-0.5801708,0.1381177
57,-0.69756824,-0.8174443,"('able', 'unable')",-0.6975682,-0.8174443,-0.1198761
105,0.69739234,0.85209507,"('conventional', 'modern')",0.6973923,0.8520951,0.1547028
64,0.6773969,0.5662642,"('clever', 'incompetent')",0.6773969,0.5662642,-0.1111327
97,-0.67102,-0.57135516,"('superior', 'inferior')",-0.67102,-0.5713552,0.0996648
75,0.6464989,0.5817907,"('confident', 'shy')",0.6464989,0.5817907,-0.0647082
77,0.6366761,0.69853336,"('active', 'inactive')",0.6366761,0.6985334,0.0618573
93,0.63615465,0.58276904,"('dominating', 'dominated')",0.6361547,0.582769,-0.0533857
10,-0.6257187,-0.478006,"('affectionate', 'unaffectionate')",-0.6257187,-0.478006,0.1477127
37,-0.62424135,-0.67747957,"('good', 'evil')",-0.6242414,-0.6774796,-0.0532382
1,-0.5863986,-0.3671829,"('friendly', 'unfriendly')",-0.5863986,-0.3671829,0.2192157
14,-0.5702555,-0.63413984,"('supportive', 'unsupportive')",-0.5702555,-0.6341398,-0.0638843
70,0.56724286,0.6661129,"('wise', 'unwise')",0.5672429,0.6661129,0.09887
7,-0.5649102,-0.52736485,"('outgoing', 'distant')",-0.5649102,-0.5273649,0.0375453
18,-0.55378276,-0.569589,"('social', 'asocial')",-0.5537828,-0.569589,-0.0158062
100,0.5479275,0.64619505,"('influential', 'uninfluential')",0.5479275,0.6461951,0.0982676
41,-0.5471999,-0.40950894,"('incorrupt', 'corrupt')",-0.5471999,-0.4095089,0.137691
23,0.5392418,0.5953065,"('hospitable', 'inhospitable')",0.5392418,0.5953065,0.0560647
8,-0.49334908,-0.36633533,"('open', 'distant')",-0.4933491,-0.3663353,0.1270138
110,-0.48865223,-0.4380342,"('narrow-minded', 'open-minded')",-0.4886522,-0.4380342,0.050618
46,-0.48066086,-0.41517255,"('generous', 'stingy')",-0.4806609,-0.4151725,0.0654884
36,0.4762528,0.4673909,"('tolerant', 'intolerant')",0.4762528,0.4673909,-0.0088619
67,0.4683317,0.47198108,"('discriminating', 'undiscriminating')",0.4683317,0.4719811,0.0036494
