,Hormel_male,Hormel_female,tuple,average_male,average_female,female-male
15,1.9620376,2.0042095,"('polite', 'impolite')",1.9620376,2.0042095,0.0421719
75,1.9023768,1.6010399,"('confident', 'shy')",1.9023768,1.6010399,-0.3013369
41,-1.8602517,-1.4375383,"('incorrupt', 'corrupt')",-1.8602517,-1.4375383,0.4227134
12,1.7904098,1.8776104,"('sympathetic', 'unsympathetic')",1.7904098,1.8776104,0.0872006
99,-1.7892864,-1.456938,"('prestigious', 'insignificant')",-1.7892864,-1.456938,0.3323484
16,1.6866477,1.3850747,"('social', 'antisocial')",1.6866477,1.3850747,-0.301573
52,1.5887823,1.3981676,"('competitive', 'uncompetitive')",1.5887823,1.3981676,-0.1906147
76,1.5616684,1.2671564,"('secure', 'insecure')",1.5616684,1.2671564,-0.294512
5,1.490907,1.3318218,"('pleasant', 'repellent')",1.490907,1.3318218,-0.1590852
2,1.4859209,1.3542384,"('friendly', 'unfriendly')",1.4859209,1.3542384,-0.1316825
81,-1.4651101,-1.6191323,"('industrious', 'lazy')",-1.4651101,-1.6191323,-0.1540222
109,1.4244486,1.1335225,"('conservative', 'liberal')",1.4244486,1.1335225,-0.2909261
108,1.4244486,1.1335225,"('conservative', 'liberal')",1.4244486,1.1335225,-0.2909261
107,1.4118663,1.7442015,"('conventional', 'modern')",1.4118663,1.7442015,0.3323352
71,1.4108,0.7397469,"('efficient', 'inefficient')",1.4108,0.7397469,-0.6710531
69,-1.3455737,-0.9451418,"('wise', 'foolish')",-1.3455737,-0.9451418,0.4004319
104,-1.3439791,-1.1954472,"('conventional', 'unconventional')",-1.3439791,-1.1954472,0.1485319
90,1.3103765,1.0491159,"('motivated', 'unmotivated')",1.3103765,1.0491159,-0.2612606
88,-1.2563345,-1.0900704,"('impulsive', 'meek')",-1.2563345,-1.0900704,0.1662641
21,1.2552923,1.0601153,"('nice', 'nasty')",1.2552923,1.0601153,-0.195177
0,1.2035098,1.0488217,"('sociable', 'unsociable')",1.2035098,1.0488217,-0.1546881
33,-1.1988964,-0.74513197,"('softhearted', 'hardhearted')",-1.1988964,-0.745132,0.4537644
98,-1.1428888,-0.9622166,"('prestigious', 'insignificant')",-1.1428888,-0.9622166,0.1806722
9,1.1323982,1.1477495,"('sensitive', 'insensitive')",1.1323982,1.1477495,0.0153513
42,-1.105678,-0.57200164,"('amicable', 'hostile')",-1.105678,-0.5720016,0.5336764
66,1.0668659,0.9359798,"('imaginative', 'unimaginative')",1.0668659,0.9359798,-0.1308861
14,1.0085046,1.011504,"('supportive', 'unsupportive')",1.0085046,1.0115041,0.0029995
40,-0.9895315,-1.0202845,"('honorable', 'mean')",-0.9895315,-1.0202845,-0.030753
53,-0.9865562,-0.84220505,"('smart', 'stupid')",-0.9865562,-0.842205,0.1443512
8,-0.9735729,-0.54029274,"('open', 'distant')",-0.9735729,-0.5402927,0.4332802
4,-0.9714638,-0.9355638,"('likable', 'unlikable')",-0.9714638,-0.9355638,0.0359
60,0.9663045,1.1385474,"('educated', 'uneducated')",0.9663045,1.1385474,0.1722429
67,-0.9597565,-0.70132893,"('discriminating', 'undiscriminating')",-0.9597565,-0.7013289,0.2584276
25,0.9433347,0.66729885,"('moral', 'immoral')",0.9433347,0.6672989,-0.2760358
70,0.9327271,1.174622,"('wise', 'unwise')",0.9327271,1.1746221,0.241895
39,-0.9305546,-0.71011066,"('right', 'wrong')",-0.9305546,-0.7101107,0.2204439
55,0.9268781,0.6215843,"('intelligent', 'unintelligent')",0.9268781,0.6215843,-0.3052938
31,-0.91111875,-0.9999495,"('altruistic', 'egoistic')",-0.9111187,-0.9999495,-0.0888308
13,0.90838814,0.936934,"('helpful', 'unhelpful')",0.9083881,0.936934,0.0285459
51,0.8819836,0.7923603,"('competent', 'incompetent')",0.8819836,0.7923603,-0.0896233
56,-0.85629547,-0.67910993,"('intelligent', 'dumb')",-0.8562955,-0.6791099,0.1771856
30,0.84230685,0.8475284,"('honest', 'dishonest')",0.8423069,0.8475284,0.0052215
82,-0.7747903,-1.0089208,"('industrious', 'meek')",-0.7747903,-1.0089208,-0.2341305
