,Exelon_male,Exelon_female,tuple,average_male,average_female,female-male
16,2.8288717,2.6271079,"('social', 'antisocial')",2.8288717,2.6271079,-0.2017638
76,2.6399996,2.519352,"('secure', 'insecure')",2.6399996,2.519352,-0.1206476
75,2.5725052,2.390256,"('confident', 'shy')",2.5725052,2.3902559,-0.1822493
99,-2.5560596,-2.4187648,"('prestigious', 'insignificant')",-2.5560596,-2.4187648,0.1372948
15,2.5445423,2.5126295,"('polite', 'impolite')",2.5445423,2.5126295,-0.0319128
71,2.4693985,2.2898052,"('efficient', 'inefficient')",2.4693985,2.2898052,-0.1795933
2,2.3792136,2.355738,"('friendly', 'unfriendly')",2.3792136,2.3557379,-0.0234757
94,2.3355339,2.2838473,"('aggressive', 'submissive')",2.3355339,2.2838473,-0.0516866
8,-2.2783008,-2.0258117,"('open', 'distant')",-2.2783008,-2.0258117,0.2524891
107,2.0880876,2.2219841,"('conventional', 'modern')",2.0880876,2.2219841,0.1338965
98,-2.035396,-1.988642,"('prestigious', 'insignificant')",-2.0353961,-1.988642,0.0467541
12,2.0007563,2.1317563,"('sympathetic', 'unsympathetic')",2.0007563,2.1317563,0.131
52,1.9769422,2.035536,"('competitive', 'uncompetitive')",1.9769422,2.0355361,0.0585939
7,-1.9713022,-1.8226991,"('outgoing', 'distant')",-1.9713022,-1.8226991,0.1486031
104,-1.9607219,-1.8209515,"('conventional', 'unconventional')",-1.9607219,-1.8209515,0.1397704
60,1.8715103,1.9552293,"('educated', 'uneducated')",1.8715103,1.9552293,0.083719
64,1.8701868,1.8933599,"('clever', 'incompetent')",1.8701868,1.8933599,0.0231731
92,-1.8630078,-1.8032148,"('unwavering', 'wavering')",-1.8630078,-1.8032148,0.059793
42,-1.852843,-1.6159565,"('amicable', 'hostile')",-1.852843,-1.6159565,0.2368865
81,-1.791343,-2.0302348,"('industrious', 'lazy')",-1.791343,-2.0302348,-0.2388918
109,1.7833776,1.6766131,"('conservative', 'liberal')",1.7833776,1.6766131,-0.1067645
108,1.7833776,1.6766131,"('conservative', 'liberal')",1.7833776,1.6766131,-0.1067645
41,-1.749928,-1.7161784,"('incorrupt', 'corrupt')",-1.749928,-1.7161784,0.0337496
36,1.7286754,1.6765368,"('tolerant', 'intolerant')",1.7286754,1.6765368,-0.0521386
0,1.6789597,1.8421527,"('sociable', 'unsociable')",1.6789597,1.8421527,0.163193
106,-1.6533349,-1.6152041,"('conventional', 'unconventional')",-1.6533349,-1.6152041,0.0381308
63,-1.6365911,-1.5647326,"('capable', 'incapable')",-1.6365911,-1.5647326,0.0718585
93,1.6311152,1.5314721,"('dominating', 'dominated')",1.6311152,1.5314721,-0.0996431
1,-1.5614061,-1.2533675,"('friendly', 'unfriendly')",-1.5614061,-1.2533675,0.3080386
105,-1.490483,-1.099823,"('conventional', 'modern')",-1.490483,-1.099823,0.39066
61,-1.4813457,-1.3010731,"('rational', 'irrational')",-1.4813457,-1.3010731,0.1802726
88,-1.4721527,-1.4237994,"('impulsive', 'meek')",-1.4721527,-1.4237994,0.0483533
4,-1.431847,-1.5873237,"('likable', 'unlikable')",-1.431847,-1.5873237,-0.1554767
82,-1.4316374,-1.5596535,"('industrious', 'meek')",-1.4316374,-1.5596535,-0.1280161
25,1.4034834,1.3073263,"('moral', 'immoral')",1.4034834,1.3073263,-0.0961571
100,1.3730615,1.5739026,"('influential', 'uninfluential')",1.3730615,1.5739026,0.2008411
69,-1.3642907,-1.285259,"('wise', 'foolish')",-1.3642907,-1.285259,0.0790317
31,-1.3578742,-1.3576303,"('altruistic', 'egoistic')",-1.3578742,-1.3576303,0.0002439
39,-1.349807,-1.2970896,"('right', 'wrong')",-1.349807,-1.2970896,0.0527174
90,1.331116,1.2482553,"('motivated', 'unmotivated')",1.331116,1.2482553,-0.0828607
5,1.3050057,1.2327356,"('pleasant', 'repellent')",1.3050057,1.2327356,-0.0722701
51,1.2695705,1.3978598,"('competent', 'incompetent')",1.2695705,1.3978598,0.1282893
40,-1.2319099,-1.2730032,"('honorable', 'mean')",-1.2319099,-1.2730032,-0.0410933
83,1.2207942,1.2895778,"('energetic', 'lethargic')",1.2207942,1.2895778,0.0687836
10,-1.2169145,-0.99126494,"('affectionate', 'unaffectionate')",-1.2169145,-0.9912649,0.2256496
89,1.1510439,1.056358,"('daring', 'anxious')",1.1510439,1.056358,-0.0946859
17,1.1325817,1.2165663,"('social', 'antisocial')",1.1325817,1.2165663,0.0839846
65,1.1008719,1.0554166,"('practical', 'impractical')",1.1008719,1.0554166,-0.0454553
33,-1.0423323,-0.7395267,"('softhearted', 'hardhearted')",-1.0423323,-0.7395267,0.3028056
53,-1.0402504,-0.98304677,"('smart', 'stupid')",-1.0402504,-0.9830468,0.0572036
73,1.0058271,0.8749732,"('brilliant', 'incompetent')",1.0058271,0.8749732,-0.1308539
66,0.99993396,1.2204766,"('imaginative', 'unimaginative')",0.999934,1.2204766,0.2205426
6,0.97311,1.0124085,"('liked', 'disliked')",0.97311,1.0124085,0.0392985
9,0.95181596,1.0417426,"('sensitive', 'insensitive')",0.951816,1.0417426,0.0899266
