,Martin_male,Martin_female,tuple,Marietta_male,Marietta_female,Materials_male,Materials_female,average_male,average_female,female-male
75,7.597474,7.6623545,"('confident', 'shy')",2.9024954,2.9100175,2.917021,2.6937637,4.4723301,4.4220454,-0.0502847
6,7.0367966,6.9795203,"('liked', 'disliked')",1.6045692,1.6726841,3.5976508,3.4042983,4.0796722,4.0188344,-0.0608378
27,-6.5030937,-6.508277,"('sincere', 'insincere')",-1.3075593,-1.4636618,-3.9982672,-3.6902828,-3.9363066,-3.8874073,0.0488993
95,-5.626532,-5.685502,"('rich', 'poor')",-1.3134749,-1.3101556,-2.889095,-2.6583407,-3.2763675,-3.2179995,0.058368
53,-5.4257236,-5.5450153,"('smart', 'stupid')",-0.9930475,-1.0542749,-2.9301174,-2.7790003,-3.1162961,-3.1260967,-0.0098006
40,-4.6206403,-4.9713907,"('honorable', 'mean')",-1.1198357,-1.3364793,-2.5713162,-2.4946525,-2.7705975,-2.9341742,-0.1635767
48,3.4905684,3.4537742,"('reliable', 'unreliable')",0.6916366,0.6701797,1.3282045,1.0770655,1.8368033,1.7336731,-0.1031302
3,3.0570617,2.9549718,"('likable', 'unlikable')",0.853328,0.8621912,0.81607693,0.64778405,1.5754889,1.4883157,-0.0871732
86,3.0527542,3.1146226,"('self-reliant', 'helpless')",0.5530456,0.5533129,1.4779624,1.2286677,1.6945874,1.632201,-0.0623864
66,2.3492599,2.3617172,"('imaginative', 'unimaginative')",2.5264325,2.6448379,0.28346315,0.07392037,1.7197185,1.6934918,-0.0262267
50,2.156527,2.033907,"('unprejudiced', 'prejudiced')",0.052109025,-0.14960022,0.8565515,0.7118922,1.0217292,0.8653996,-0.1563296
11,-2.0823305,-1.9953954,"('caring', 'unaffectionate')",-0.57757837,-0.48251742,-1.3007271,-1.1915126,-1.320212,-1.2231418,0.0970702
13,-1.8826697,-1.9638283,"('helpful', 'unhelpful')",0.85991174,0.7821659,-1.6490538,-1.5877345,-0.8906039,-0.9231323,-0.0325284
1,-1.75073,-1.5375823,"('friendly', 'unfriendly')",-0.6588713,-0.44448346,-1.9473801,-1.7802178,-1.4523271,-1.2540944,0.1982327
33,-1.6509594,-1.336477,"('softhearted', 'hardhearted')",-1.2261615,-1.1315697,0.07742199,0.077650696,-0.933233,-0.7967986,0.1364344
81,1.5261745,1.5238682,"('industrious', 'lazy')",-1.2210598,-1.1780291,-0.0077631474,-0.13504204,0.0991172,0.0702657,-0.0288515
