,Moderna_male,Moderna_female,tuple,average_male,average_female,female-male
75,3.2566242,3.1714919,"('confident', 'shy')",3.2566242,3.1714919,-0.0851323
78,2.153656,2.07243,"('active', 'inactive')",2.153656,2.0724299,-0.0812261
107,2.018357,2.1009622,"('conventional', 'modern')",2.018357,2.1009622,0.0826052
6,1.999176,2.2241278,"('liked', 'disliked')",1.999176,2.2241278,0.2249518
27,-1.8685557,-1.9660953,"('sincere', 'insincere')",-1.8685557,-1.9660953,-0.0975396
32,-1.8305508,-1.7191633,"('benevolent', 'hardhearted')",-1.8305508,-1.7191633,0.1113875
103,1.7737584,1.8234422,"('traditional', 'modern')",1.7737584,1.8234422,0.0496838
40,-1.7310667,-1.8629212,"('honorable', 'mean')",-1.7310667,-1.8629212,-0.1318545
53,-1.6770971,-1.7328694,"('smart', 'stupid')",-1.6770971,-1.7328694,-0.0557723
95,-1.6546547,-1.7086465,"('rich', 'poor')",-1.6546547,-1.7086465,-0.0539918
1,-1.6123936,-1.436904,"('friendly', 'unfriendly')",-1.6123936,-1.436904,0.1754896
63,-1.4801998,-1.4182752,"('capable', 'incapable')",-1.4801998,-1.4182752,0.0619246
21,1.1895124,1.1442809,"('nice', 'nasty')",1.1895124,1.1442809,-0.0452315
33,-1.1164682,-0.8858688,"('softhearted', 'hardhearted')",-1.1164682,-0.8858688,0.2305994
18,-1.1061858,-1.0373365,"('social', 'asocial')",-1.1061858,-1.0373365,0.0688493
10,-1.0534903,-0.8574797,"('affectionate', 'unaffectionate')",-1.0534903,-0.8574797,0.1960106
3,0.985008,0.8948729,"('likable', 'unlikable')",0.985008,0.8948729,-0.0901351
77,0.98339456,0.91169363,"('active', 'inactive')",0.9833946,0.9116936,-0.071701
65,-0.94412667,-1.1864964,"('practical', 'impractical')",-0.9441267,-1.1864964,-0.2423697
99,-0.91834986,-0.695176,"('prestigious', 'insignificant')",-0.9183499,-0.695176,0.2231739
94,0.9078349,0.88528144,"('aggressive', 'submissive')",0.9078349,0.8852814,-0.0225535
50,0.89547575,0.7888656,"('unprejudiced', 'prejudiced')",0.8954757,0.7888656,-0.1066101
4,-0.88935953,-0.8907474,"('likable', 'unlikable')",-0.8893595,-0.8907474,-0.0013879
59,0.84490013,0.95272046,"('skillful', 'clumsy')",0.8449001,0.9527205,0.1078204
8,-0.8095983,-0.6937082,"('open', 'distant')",-0.8095983,-0.6937082,0.1158901
88,0.8081479,0.9972868,"('impulsive', 'meek')",0.8081479,0.9972868,0.1891389
66,0.8029783,0.8583216,"('imaginative', 'unimaginative')",0.8029783,0.8583216,0.0553433
86,0.7935181,0.71909136,"('self-reliant', 'helpless')",0.7935181,0.7190914,-0.0744267
29,-0.790605,-0.71675247,"('honest', 'immoral')",-0.790605,-0.7167525,0.0738525
37,0.750698,0.7293352,"('good', 'evil')",0.750698,0.7293352,-0.0213628
84,-0.7454307,-0.8056624,"('self-confident', 'diffident')",-0.7454307,-0.8056624,-0.0602317
62,-0.7391403,-0.5088056,"('creative', 'uncreative')",-0.7391403,-0.5088056,0.2303347
15,0.7007886,0.62350905,"('polite', 'impolite')",0.7007886,0.623509,-0.0772796
54,0.6780596,0.4469742,"('smart', 'stupid')",0.6780596,0.4469742,-0.2310854
106,-0.67372215,-0.7594606,"('conventional', 'unconventional')",-0.6737221,-0.7594606,-0.0857385
81,0.6640853,0.4669223,"('industrious', 'lazy')",0.6640853,0.4669223,-0.197163
11,-0.6610716,-0.4253924,"('caring', 'unaffectionate')",-0.6610716,-0.4253924,0.2356792
104,-0.6507708,-0.5828202,"('conventional', 'unconventional')",-0.6507708,-0.5828202,0.0679506
56,0.6443368,0.588946,"('intelligent', 'dumb')",0.6443368,0.588946,-0.0553908
87,-0.6303308,-0.7382829,"('dedicated', 'undedicated')",-0.6303308,-0.7382829,-0.1079521
67,-0.61734676,-0.5368618,"('discriminating', 'undiscriminating')",-0.6173468,-0.5368618,0.080485
31,-0.61049396,-0.2630453,"('altruistic', 'egoistic')",-0.610494,-0.2630453,0.3474487
52,0.6020342,0.7424051,"('competitive', 'uncompetitive')",0.6020342,0.7424051,0.1403709
24,-0.5899652,-0.76580715,"('thoughtful', 'rough')",-0.5899652,-0.7658072,-0.175842
26,-0.5880215,-0.28618217,"('trustworthy', 'untrustworthy')",-0.5880215,-0.2861822,0.3018393
20,0.58222044,0.96113336,"('popular', 'unpopular')",0.5822204,0.9611334,0.378913
14,0.5527486,0.6094346,"('supportive', 'unsupportive')",0.5527486,0.6094346,0.056686
48,0.5507877,0.47547588,"('reliable', 'unreliable')",0.5507877,0.4754759,-0.0753118
35,-0.5331621,-0.23974752,"('fair', 'unfair')",-0.5331621,-0.2397475,0.2934146
7,-0.5001878,-0.4308319,"('outgoing', 'distant')",-0.5001878,-0.4308319,0.0693559
68,-0.49875152,-0.56248724,"('clever', 'inept')",-0.4987515,-0.5624872,-0.0637357
90,0.4824686,0.41461194,"('motivated', 'unmotivated')",0.4824686,0.4146119,-0.0678567
